MutationType	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F
clustered_del_1-10Kb	0.007042261886235792	0.0007166005005074316	0.013892385647632182	0.010134576307609677	0.0018973130897369118	0.00011796233211498474
clustered_del_10-100Kb	0.009945630139789045	0.0002849153201469079	0.009979840278974734	0.010261987876147032	0.000636465556188206	8.758903298833332e-06
clustered_del_100Kb-1Mb	0.027359305401332676	0.0001377113928482241	0.02455019097775221	0.011278355557005853	0.0024879633937962354	6.404343002941459e-07
clustered_del_1Mb-10Mb	0.08093139341130154	0.00016845887604937702	0.024796410719214634	0.01303634092453251	1.7322906564772976e-05	1.5772647884748635e-05
clustered_del_>10Mb	0.08915925763375661	3.7830576089792347e-06	0.0013123708855865247	9.027758272794894e-06	3.5261982458401065e-08	2.3202447445580532e-08
clustered_tds_1-10Kb	0.004803969197673723	0.0017296261907162602	0.0029642956343013793	0.0017149567804398203	0.00020276504123785345	0.0036208418221212926
clustered_tds_10-100Kb	0.006346481370211734	7.312446284268858e-07	0.008034525013063103	0.0018077853649600684	0.007774940861854702	0.003933609353844077
clustered_tds_100Kb-1Mb	0.01943552991026081	3.302360148222716e-05	0.0190387607816956	0.005288044208947973	0.02432595144957304	3.659491157075756e-05
clustered_tds_1Mb-10Mb	0.07809798675496815	3.3115947190154314e-06	0.025836081249743188	0.011567892210452974	0.0029115493686308015	1.0070112370037797e-06
clustered_tds_>10Mb	0.08505627204587413	9.082126140924629e-07	0.0012619668708490313	1.74007186431524e-05	5.672833492198492e-07	4.1266922368166095e-09
clustered_inv_1-10Kb	0.012962031764909626	0.0038940551516134293	0.026468146415427326	0.016744071166031063	0.0032262251524662134	4.4525044249894566e-05
clustered_inv_10-100Kb	0.016408440060913562	0.00010852422471023804	0.022099347289185972	0.009655778473243117	0.0052976785227656364	0.0
clustered_inv_100Kb-1Mb	0.04091337835416198	0.00028629112051569593	0.03705469274893403	0.012029183773838667	0.008361576613970101	0.0
clustered_inv_1Mb-10Mb	0.15285612508654595	0.00020184723391633463	0.0503660901172546	0.022694041633954484	2.0495438329910203e-07	1.2445602934896272e-08
clustered_inv_>10Mb	0.16916231985671396	7.510174003417802e-06	0.004196150132207989	2.605337635754046e-07	1.991158335989951e-08	1.2234927788057349e-06
clustered_trans	4.5534376783606946e-06	4.411118034397532e-05	0.6005392453074455	2.8135158049789054e-05	6.138806325896482e-06	2.167320831344586e-05
non-clustered_del_1-10Kb	0.0001482219609705516	0.019688362468920514	5.495296302556802e-06	0.34039818495751545	0.00589675243282933	0.04692979767918587
non-clustered_del_10-100Kb	0.0018772728699454622	0.014612910209397817	0.0021687201335225835	0.20135514290072024	0.003359201301197672	0.007096648418810219
non-clustered_del_100Kb-1Mb	0.010899458981584757	0.03694766502827406	0.005961695462465286	0.09118852786719799	0.015598678300157189	2.421424796921201e-05
non-clustered_del_1Mb-10Mb	0.023649060800671577	0.05546170855872333	0.007351775307906792	0.009869106064784887	0.0036389888673147653	0.0012036139373435618
non-clustered_del_>10Mb	0.019926746021956206	0.06047572888433933	0.0018273009267247824	0.0048553991717715265	0.00020195310691633494	0.004993220978940371
non-clustered_tds_1-10Kb	0.006248178240482325	0.012067987513325456	9.066415024072683e-08	1.5306330446013433e-07	4.3935750029210874e-08	0.3566468633093518
non-clustered_tds_10-100Kb	3.1162179272570254e-07	9.466566731668458e-05	5.550786270376307e-06	0.0008498776703182553	0.11321936286985874	0.4012745678424835
non-clustered_tds_100Kb-1Mb	3.7165965183660887e-07	5.281175852278728e-07	2.8776895653952273e-07	5.7448562458262724e-08	0.5779255485534668	0.012699606104723671
non-clustered_tds_1Mb-10Mb	0.012760167084634304	0.030225801216438412	0.0033403105334651774	0.002065416340046511	0.12497723326086999	0.006321538200718351
non-clustered_tds_>10Mb	0.0186224821023643	0.04506585483439267	0.00181730111123134	0.0023136746137057997	8.45526871353286e-05	0.0035715519227488813
non-clustered_inv_1-10Kb	0.0070743290532846006	0.02546445150859654	0.009686351500004093	0.08321441298350692	0.015036069052293898	0.010658388491719961
non-clustered_inv_10-100Kb	0.005349897922715172	0.017747933277860284	0.004594085089629516	0.039775933455675844	0.032878869026899335	0.003825467131100595
non-clustered_inv_100Kb-1Mb	0.010262981527484954	0.03264098155777902	0.006472669078502804	0.009432646146015031	0.031729805152863264	2.744043100392446e-05
non-clustered_inv_1Mb-10Mb	0.03057780212722719	0.08258407269604504	0.019461831841617823	0.007898580205365508	0.016048226645216344	0.0005206537351477892
non-clustered_inv_>10Mb	0.03758748792111874	0.11309875372797251	0.0016837958063115365	0.00743911582368738	0.0011322290651393768	0.006764382041874342
non-clustered_trans	0.014530283864587545	0.44620118260383607	0.06323225413763907	0.07307592678815127	0.0011257664053142945	0.12963941959664227
