MutationType	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F
clustered_del_1-10Kb	0.010731584462550358	0.00045638309535080623	0.0	0.01018020220566541	0.005812493483390426	0.0004813688585359355
clustered_del_10-100Kb	0.011560245515466932	0.00035024263228528697	0.0	0.009172476943269175	0.003918963345024622	2.127246573856212e-05
clustered_del_100Kb-1Mb	0.03335950628410274	0.00041645526413095266	2.2331503584993583e-06	0.021594711193904173	0.002249121865462058	0.0009214172591276793
clustered_del_1Mb-10Mb	0.07603860390673461	0.001023966160980887	3.6978061700350205e-08	0.041026174704062016	5.041005317796276e-07	3.6576844896386304e-07
clustered_del_>10Mb	0.059741875249353316	0.017127511967938946	2.987570836121556e-07	0.007468483995856729	1.0417601984613612e-07	1.1601365930811667e-07
clustered_tds_1-10Kb	0.00514831868774337	0.00012843708601759652	0.003692053803242743	0.003386013703633637	0.0010971152451020316	0.0004991464489629039
clustered_tds_10-100Kb	0.0078601917513042	0.0001975277764177502	0.0019975552176765632	0.007639038854810565	0.000678572636951884	0.005932097921613604
clustered_tds_100Kb-1Mb	0.024212514372845818	3.0445479196691758e-05	4.5943582271945616e-11	0.017220288588640643	4.701700698906411e-07	0.016882803477346896
clustered_tds_1Mb-10Mb	0.06725349654537809	0.0004332825550416786	7.588495520849392e-10	0.04109965120907873	1.7252323684520963e-07	0.0019451832283021986
clustered_tds_>10Mb	0.060382588828623227	0.016900835549996315	7.119920159116032e-08	0.00692917044862267	8.36527515701846e-08	2.566565340700322e-08
clustered_inv_1-10Kb	0.023232709774747493	0.0008169623713749209	8.783637586873283e-07	0.02618750643217936	0.007381427033455168	2.4488814520502444e-05
clustered_inv_10-100Kb	0.021880933044012636	0.000854286949285843	7.267245188433691e-06	0.017922265497436456	0.0007012666609202256	0.000730165679075725
clustered_inv_100Kb-1Mb	0.04818257408071076	6.200426178470009e-06	0.00021688681187495082	0.034848026781119756	5.194926553256707e-05	0.0011385834426951647
clustered_inv_1Mb-10Mb	0.14381738579578734	0.0010406069081254558	1.1751495661904698e-07	0.07977866678163523	9.382910537869548e-08	3.9450368767290914e-08
clustered_inv_>10Mb	0.12120088263964761	0.034167660386622264	8.898409284585629e-08	0.014654558693554236	7.00061737957114e-08	3.8796730184031957e-08
clustered_trans	0.00013487027168537224	2.2515985047562026e-05	4.287344296435291e-06	0.5455283406376839	1.524518664020036e-07	5.987710204871751e-07
non-clustered_del_1-10Kb	0.0031323104005858225	0.012642592958028456	0.03843489977292663	9.036775456956426e-08	0.346397667825222	0.0007514203665547717
non-clustered_del_10-100Kb	0.004537374497171913	0.008860966468632448	0.0068320590039854774	0.000766041975651639	0.21979458262212576	0.00807122477859025
non-clustered_del_100Kb-1Mb	0.030421767915831878	0.029985959332761637	0.002118994540201129	0.0013140445781885007	0.08799830736661533	0.020303632831200957
non-clustered_del_1Mb-10Mb	0.02739759906195104	0.05491187209589612	0.0010042542095652614	0.007772503488813527	0.007065663386712916	0.011549241282045842
non-clustered_del_>10Mb	0.018912306958543467	0.06236248774453998	0.008377059025224298	0.0014123989478684962	0.011031209559951094	0.0007855653548540431
non-clustered_tds_1-10Kb	3.7474738133428057e-07	8.28223863607036e-07	0.4659235918521881	9.11173360422192e-08	7.640021331667412e-07	5.411740239960037e-07
non-clustered_tds_10-100Kb	0.014390991428980286	8.514838079047848e-06	0.22151412940599585	3.6732736857701456e-05	0.05729566621454978	0.14372761634930156
non-clustered_tds_100Kb-1Mb	0.0008604216036291845	0.00012792143104824565	0.0040500276576119635	2.1995393973739454e-07	0.0028624630310484633	0.5699782046675682
non-clustered_tds_1Mb-10Mb	0.014966935152187943	0.030763724583726528	0.0002403351899738482	0.00685611026653973	0.001739864800791766	0.14625213399529458
non-clustered_tds_>10Mb	0.016918316473793313	0.04720910359174013	0.007384905854705721	0.002330257670349459	0.006537961053011543	0.0009687928575658588
non-clustered_inv_1-10Kb	0.022429787981608343	0.046828160155865245	0.014350292114540935	0.013451043029490392	0.05309108420275152	0.009063741762820427
non-clustered_inv_10-100Kb	0.016883366423426197	0.02071466099977788	0.002972791979264002	0.002179572655455786	0.0330496289068833	0.02000106400810182
non-clustered_inv_100Kb-1Mb	0.02257199815940112	0.03590833576330397	0.0005604011224491901	0.0017174165403325502	0.009734832058738903	0.017738284189254046
non-clustered_inv_1Mb-10Mb	0.0542429088614881	0.07923121276999609	0.0015943890977364815	0.007123069619556197	0.004472185074077118	0.007655146136291932
non-clustered_inv_>10Mb	0.03580635031714337	0.11144784770905972	0.013140231419820339	0.003297156411887272	0.021052483301609755	0.004622999580916818
non-clustered_trans	0.0017889108885833593	0.38502248865086586	0.20557989723980427	0.06710766647746197	0.11598308030565932	0.009952670142302226
