Samples	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F
CURTIS_H004763_T01_01_WG01	60	40	69	10	2	1
CURTIS_H004623_T01_01_WG01	42	8	25	22	2	2
CURTIS_H001556_T01_01_WG01	11	23	0	14	0	8
CURTIS_H004447_T01_01_WG01	126	82	237	54	10	1
CURTIS_H004598_T01_01_WG01	71	35	53	140	11	36
CURTIS_H002066_T01_01_WG01	18	17	1	8	153	17
CURTIS_H004059_T01_01_WG01	2	8	0	4	0	2
CURTIS_H001612_T01_01_WG01	93	14	42	25	25	30
CURTIS_H004463_T01_01_WG01	4	34	19	321	0	5
CURTIS_H001404_T01_01_WG01	146	126	67	77	6	16
CURTIS_H000419_T01_01_WG01	8	16	15	1	0	1
CURTIS_H004013_T01_01_WG01	0	0	0	101	3	0
CURTIS_H000481_T01_01_WG01	20	49	2	0	0	0
CURTIS_H004508_T01_01_WG01	216	297	97	35	40	177
CURTIS_H004670_T01_01_WG01	0	20	0	19	1	7
CURTIS_H001398_T01_01_WG01	27	36	43	12	0	5
CURTIS_H000478_T01_01_WG01	0	46	0	49	3	0
CURTIS_H004245_T01_01_WG01	96	245	49	246	0	1
CURTIS_H004482_T01_01_WG01	222	32	199	63	0	92
CURTIS_H000509_T01_01_WG01	7	48	42	2	1	1
CURTIS_H000395_T01_01_WG01	73	27	3	11	1	13
CURTIS_H001602_T01_01_WG01	26	37	6	11	157	1
CURTIS_H004310_T01_01_WG01	60	31	61	12	1	17
CURTIS_H004550_T01_01_WG01	122	225	67	16	0	89
CURTIS_H004546_T01_01_WG01	0	187	40	182	17	0
CURTIS_H004543_T01_01_WG01	133	44	187	28	1	39
CURTIS_H001555_T01_01_WG01	16	9	32	2	0	1
CURTIS_H004040_T02_01_WG01	179	34	53	23	4	2
CURTIS_H001533_T01_01_WG01	21	4	1	4	0	1
CURTIS_H001705_T01_01_WG01	26	60	4	61	4	2
CURTIS_H004573_T01_01_WG01	4	66	13	2	0	249
CURTIS_H004697_T01_01_WG01	49	71	24	12	18	31
CURTIS_H001654_T01_01_WG01	90	53	101	19	1	0
CURTIS_H000585_T01_01_WG01	94	26	53	4	2	2
CURTIS_H000408_T01_01_WG01	0	5	8	28	4	4
CURTIS_H004368_T01_01_WG01	106	136	49	0	3	5
CURTIS_H001743_T01_01_WG01	25	0	10	5	1	1
CURTIS_H001503_T01_01_WG01	0	1	0	0	0	0
CURTIS_H004478_T01_01_WG01	77	13	112	24	0	9
CURTIS_H001702_T01_01_WG01	0	142	0	41	227	80
CURTIS_H000534_T01_01_WG01	90	16	7	18	0	1
CURTIS_H004317_T01_01_WG01	92	48	48	10	0	174
CURTIS_H004359_T01_01_WG01	0	0	1	10	0	2
CURTIS_H004468_T01_01_WG01	72	119	86	137	5	16
CURTIS_H001560_T01_01_WG01	0	9	0	0	0	1
CURTIS_H004181_T01_01_WG01	277	95	31	12	0	4
CURTIS_H001428_T01_01_WG01	0	9	0	0	1	0
CURTIS_H004090_T01_01_WG01	41	24	8	29	4	12
CURTIS_H004738_T01_01_WG01	4	0	0	3	122	30
CURTIS_H004532_T01_01_WG01	50	0	104	24	3	13
CURTIS_H001440_T01_01_WG01	123	5	1	11	1	5
CURTIS_H004346_T01_01_WG01	44	69	0	47	15	109
CURTIS_H004727_T01_01_WG01	136	26	2	53	8	29
CURTIS_H001390_T01_01_WG01	57	5	2	25	0	8
CURTIS_H004636_T01_01_WG01	0	57	4	69	3	5
CURTIS_H001467_T01_01_WG01	106	9	41	5	0	1
CURTIS_H001449_T01_01_WG01	0	37	0	24	163	20
CURTIS_H004160_T01_01_WG01	115	257	305	0	7	8
CURTIS_H004415_T01_01_WG01	0	9	0	24	0	9
CURTIS_H004412_T01_01_WG01	88	84	48	29	0	14
CURTIS_H000522_T01_01_WG01	0	4	0	0	0	3
CURTIS_H000779_T01_01_WG01	27	10	0	11	1	3
CURTIS_H001753_T01_01_WG01	0	1	0	0	1	2
CURTIS_H004211_T01_01_WG01	168	84	115	18	0	15
CURTIS_H004225_T01_01_WG01	0	0	0	0	502	73
CURTIS_H004191_T01_01_WG01	18	131	0	41	480	212
CURTIS_H001638_T01_01_WG01	0	6	8	3	5	2
CURTIS_H000545_T01_01_WG01	0	254	1	0	454	0
CURTIS_H004251_T01_01_WG01	0	5	0	2	0	3
CURTIS_H004125_T01_01_WG01	45	35	24	17	1	26
CURTIS_H002052_T01_01_WG01	0	94	3	101	10	12
CURTIS_H004378_T01_01_WG01	26	41	1	12	3	5
CURTIS_H000501_T01_01_WG01	148	46	19	61	569	179
CURTIS_H004048_T01_01_WG01	114	161	30	48	387	36
CURTIS_H004154_T01_01_WG01	139	52	21	36	2	64
CURTIS_H001414_T01_01_WG01	0	35	0	0	0	1
CURTIS_H004035_T01_01_WG01	7	14	10	3	0	0
CURTIS_H004341_T01_01_WG01	17	22	15	8	0	5
CURTIS_H004651_T01_01_WG01	0	17	0	31	169	13
CURTIS_H004243_T01_01_WG01	131	62	69	28	0	3
CURTIS_H000507_T01_01_WG01	59	47	19	55	0	10
CURTIS_H004344_T01_01_WG01	69	58	64	2	3	0
CURTIS_H004205_T01_01_WG01	101	37	121	8	2	0
CURTIS_H001609_T01_01_WG01	7	45	2	49	119	3
CURTIS_H000437_T01_01_WG01	46	17	10	2	0	1
CURTIS_H004700_T01_01_WG01	19	28	11	5	1	1
CURTIS_H000466_T01_01_WG01	1	7	0	2	0	0
CURTIS_H001644_T01_01_WG01	0	21	0	27	50	3
CURTIS_H004227_T01_01_WG01	44	20	16	31	2	15
CURTIS_H004629_T01_01_WG01	97	43	8	16	0	9
CURTIS_H004696_T01_01_WG01	341	26	121	0	0	0
CURTIS_H004491_T01_01_WG01	59	39	3	28	14	3
CURTIS_H004686_T01_01_WG01	93	133	81	15	0	3
CURTIS_H001714_T01_01_WG01	11	47	0	100	7	5
CURTIS_H001694_T01_01_WG01	0	81	3	69	136	46
CURTIS_H004276_T01_01_WG01	51	37	3	33	141	41
CURTIS_H004600_T01_01_WG01	218	49	473	58	0	206
CURTIS_H004395_T01_01_WG01	63	43	58	26	0	20
CURTIS_H004522_T01_01_WG01	24	10	90	18	0	3
CURTIS_H004100_T01_01_WG01	49	148	40	119	36	21
CURTIS_H001496_T01_01_WG01	0	2	0	0	0	0
CURTIS_H004613_T01_01_WG01	12	60	2	20	7	56
CURTIS_H004328_T01_01_WG01	0	335	6	131	363	68
CURTIS_H001728_T01_01_WG01	203	50	42	25	0	35
CURTIS_H004752_T01_01_WG01	31	50	31	10	0	1
CURTIS_H001448_T01_01_WG01	123	16	10	9	0	6
CURTIS_H000543_T01_01_WG01	14	54	5	0	9	282
CURTIS_H000553_T01_01_WG01	170	57	75	27	0	35
CURTIS_H004017_T01_01_WG01	64	154	116	22	16	15
CURTIS_H004172_T01_01_WG01	12	23	0	4	1	1
CURTIS_H004185_T01_01_WG01	0	32	7	317	0	0
