Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1,1.0,1.0,NO,N/A,71.92%,70.31%,188.8%,63.25%,99.23,0.4979,2.8851,0.239,0.793,0.628,0.004
2,1.0,1.0,NO,N/A,57.53%,58.4%,178.1%,53.71%,99.16,0.3698,2.3601,0.167,0.791,0.747,0.015
3,0.97,0.94,NO,N/A,46.68%,50.35%,168.55%,46.66%,99.03,0.3065,2.449,0.131,0.757,0.801,0.098
4,0.75,0.24,NO,N/A,39.57%,50.53%,165.55%,44.72%,102.54,0.3104,1.9684,0.125,0.765,0.808,0.0
5,0.82,0.62,NO,N/A,33.48%,40.95%,168.18%,35.77%,96.56,0.2411,1.9831,0.084,0.715,0.87,0.141
6,0.91,0.66,NO,N/A,29.18%,35.18%,160.72%,30.09%,97.07,0.199,1.7105,0.061,0.691,0.905,0.199
7,0.89,0.42,NO,N/A,27.55%,33.18%,159.16%,27.64%,97.57,0.1875,1.667,0.053,0.69,0.918,0.206
8,0.91,0.56,YES,8.20e-05,25.83%,29.72%,155.55%,24.76%,95.3,0.1688,1.8448,0.045,0.681,0.93,0.194
9,0.85,0.02,NO,N/A,23.98%,28.79%,154.35%,23.74%,90.02,0.1683,1.5973,0.042,0.562,0.934,0.321
10*,0.86,0.28,YES,Most Stab Sigs,23.91%,26.95%,112.49%,22.07%,82.1,0.1544,0.8905,0.037,0.424,0.943,0.435
