Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1,1.0,1.0,NO,N/A,72.5%,89.97%,196.0%,74.67%,106.17,0.8051,3.9128,0.335,0.918,0.508,-0.171
2,1.0,1.0,NO,N/A,53.58%,71.5%,196.1%,61.68%,102.19,0.6186,3.9269,0.236,0.924,0.667,-0.067
3,1.0,1.0,YES,8.29e-107,41.93%,60.33%,195.4%,52.94%,102.4,0.5142,3.7655,0.189,0.92,0.738,-0.037
4,0.78,0.29,NO,N/A,36.0%,57.96%,195.0%,50.19%,105.5,0.5042,3.6868,0.174,0.917,0.754,-0.028
5,0.79,0.29,NO,N/A,31.17%,49.95%,192.15%,43.17%,101.9,0.4545,3.2348,0.139,0.843,0.812,0.046
6,0.82,0.63,NO,N/A,26.88%,42.91%,194.5%,35.1%,103.7,0.3645,3.5973,0.101,0.894,0.859,-0.021
7,0.78,0.01,NO,N/A,25.92%,42.77%,192.7%,34.53%,105.7,0.3513,3.3126,0.097,0.867,0.861,0.028
8,0.77,0.22,NO,N/A,25.64%,41.23%,195.0%,34.25%,105.9,0.326,3.6928,0.09,0.92,0.871,-0.025
9,0.79,0.46,NO,N/A,25.81%,38.81%,188.0%,32.2%,99.3,0.2981,2.9362,0.079,0.816,0.888,0.107
10*,0.84,0.35,YES,Most Stab Sigs,15.15%,28.95%,183.8%,23.25%,98.3,0.228,2.5124,0.056,0.774,0.922,0.162
