"ER_early_sig"	"index"	"stage_code"	"Stage"	"group"
-0.159384129214862	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.414092702359536	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.0123419378761663	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
-0.263909777357452	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.151515852556481	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.133727802554321	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.0453158238802684	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.0603748478592909	"ER+ Typicala"	"a"	"Primary"	"ER+ Typical"
0.0286137919802107	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.000961003257610421	"HER2+a"	"a"	"Primary"	"HER2+"
0.109602246089169	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.341926315976317	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.268748219751573	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.177957992656839	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
-0.0310614367935764	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.0326060205783274	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
-0.361122058557108	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.0598510020427196	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.395132764155722	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.189241016293324	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.428997677750394	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.113697034215647	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.395995927345055	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.493392285425257	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.10790186314741	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.02902699349383	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.446191566864094	"HER2+b"	"b"	"Metastatic"	"HER2+"
-0.306960725000166	"ER+ Typicala"	"a"	"Primary"	"ER+ Typical"
0.254037903950398	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
-0.124771363511569	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.379246433720746	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
-0.342478149693271	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.148350607544844	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.29720285511399	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.0411139526270131	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.355082460177315	"HER2+b"	"b"	"Metastatic"	"HER2+"
-0.183862301050773	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.34391635906623	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.202067386003328	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.257273919476855	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.276187649118357	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.115618112107174	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.236063147849916	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.0588242398234815	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.281345021844894	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.0563315022229326	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.264431615552861	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.261950752640432	"ER+ Higha"	"a"	"Primary"	"ER+ High"
-0.192763833096615	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.206332551867384	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.211085109527063	"HER2+b"	"b"	"Metastatic"	"HER2+"
-0.226953394002096	"HER2+b"	"b"	"Metastatic"	"HER2+"
0.0970656174567748	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
-0.143336469534478	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.207972870426305	"ER+ Typicala"	"a"	"Primary"	"ER+ Typical"
0.169558693174318	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.245017931705754	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.359669075645538	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
-0.281052700473986	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.0904294076231304	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
-0.314228079480401	"HER2+b"	"b"	"Metastatic"	"HER2+"
0.346033159531774	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.323961244544988	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
-0.292246959147645	"HER2+b"	"b"	"Metastatic"	"HER2+"
0.200563239473334	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
-0.165912351463611	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.32892318295763	"HER2+b"	"b"	"Metastatic"	"HER2+"
0.260378331139466	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
-0.274853161629358	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.236408051702169	"HER2+b"	"b"	"Metastatic"	"HER2+"
-0.27316430687921	"HER2+b"	"b"	"Metastatic"	"HER2+"
-0.383615653774331	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.421674437050786	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.326605785193147	"HER2+a"	"a"	"Primary"	"HER2+"
0.0305809662685044	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.13891070076656	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.157899289402943	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.0502416825980503	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
-0.0842778120498212	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.23587030089114	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.337471862635249	"HER2+b"	"b"	"Metastatic"	"HER2+"
