Sample,group,name,value
CURTIS_H000379_T01_01_WG01,IC10,fraction_cna,0.67
CURTIS_H000379_T01_01_WG01,IC10,fraction_loh,0.33
CURTIS_H000379_T01_01_WG01,IC10,SV_dama,195
CURTIS_H000381_T01_01_WG01,IC4ER-,fraction_cna,0.72
CURTIS_H000381_T01_01_WG01,IC4ER-,fraction_loh,0
CURTIS_H000381_T01_01_WG01,IC4ER-,SV_dama,89
CURTIS_H000383_T01_01_WG01,IC10,fraction_cna,0.58
CURTIS_H000383_T01_01_WG01,IC10,fraction_loh,0.32
CURTIS_H000383_T01_01_WG01,IC10,SV_dama,125
CURTIS_H000384_T01_01_WG01,IC10,fraction_cna,0.95
CURTIS_H000384_T01_01_WG01,IC10,fraction_loh,0.14
CURTIS_H000384_T01_01_WG01,IC10,SV_dama,218
CURTIS_H000386_T01_01_WG01,IC10,fraction_cna,1
CURTIS_H000386_T01_01_WG01,IC10,fraction_loh,0.4
CURTIS_H000386_T01_01_WG01,IC10,SV_dama,29
CURTIS_H000388_T01_01_WG01,IC10,fraction_cna,0.89
CURTIS_H000388_T01_01_WG01,IC10,fraction_loh,0.084
CURTIS_H000388_T01_01_WG01,IC10,SV_dama,88
CURTIS_H000395_T01_01_WG01,IC10,fraction_cna,0.72
CURTIS_H000395_T01_01_WG01,IC10,fraction_loh,0.25
CURTIS_H000395_T01_01_WG01,IC10,SV_dama,52
CURTIS_H000397_T01_01_WG01,IC10,fraction_cna,0.94
CURTIS_H000397_T01_01_WG01,IC10,fraction_loh,0.22
CURTIS_H000397_T01_01_WG01,IC10,SV_dama,172
CURTIS_H000401_T01_01_WG01,IC10,fraction_cna,0.59
CURTIS_H000401_T01_01_WG01,IC10,fraction_loh,0.22
CURTIS_H000401_T01_01_WG01,IC10,SV_dama,173
CURTIS_H000403_T01_01_WG01,IC10,fraction_cna,0.87
CURTIS_H000403_T01_01_WG01,IC10,fraction_loh,0.026
CURTIS_H000403_T01_01_WG01,IC10,SV_dama,418
CURTIS_H000406_T01_01_WG01,IC10,fraction_cna,0.94
CURTIS_H000406_T01_01_WG01,IC10,fraction_loh,0.0088
CURTIS_H000406_T01_01_WG01,IC10,SV_dama,0
