Sample,group,name,value
CURTIS_H000379_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H000379_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000379_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H000381_T01_01_WG01,IC4ER-,ddr,TRUE
CURTIS_H000381_T01_01_WG01,IC4ER-,ubi,FALSE
CURTIS_H000381_T01_01_WG01,IC4ER-,cell_cycle,TRUE
CURTIS_H000383_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H000383_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000383_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H000384_T01_01_WG01,IC10,ddr,FALSE
CURTIS_H000384_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000384_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H000386_T01_01_WG01,IC10,ddr,FALSE
CURTIS_H000386_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000386_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H000388_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H000388_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000388_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H000395_T01_01_WG01,IC10,ddr,FALSE
CURTIS_H000395_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000395_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H000397_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H000397_T01_01_WG01,IC10,ubi,TRUE
CURTIS_H000397_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H000401_T01_01_WG01,IC10,ddr,FALSE
CURTIS_H000401_T01_01_WG01,IC10,ubi,TRUE
CURTIS_H000401_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H000403_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H000403_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000403_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H000406_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H000406_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000406_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H000407_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H000407_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000407_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H000408_T01_01_WG01,IC10,ddr,FALSE
CURTIS_H000408_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000408_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H000409_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H000409_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000409_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H000411_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H000411_T01_01_WG01,IC10,ubi,FALSE
