Group.1	event	count	prop
ER+ High	bfb	79	0.152509652509653
ER+ Typical	bfb	23	0.0463709677419355
HER2+	bfb	40	0.134228187919463
IC10	bfb	47	0.0505920344456405
IC4ER-	bfb	7	0.0578512396694215
ER+ High	chromoplexy	129	0.249034749034749
ER+ Typical	chromoplexy	126	0.254032258064516
HER2+	chromoplexy	95	0.318791946308725
IC10	chromoplexy	80	0.0861141011840689
IC4ER-	chromoplexy	21	0.173553719008264
ER+ High	chromothripsis	24	0.0463320463320463
ER+ Typical	chromothripsis	30	0.0604838709677419
HER2+	chromothripsis	13	0.0436241610738255
IC10	chromothripsis	9	0.00968783638320775
IC4ER-	chromothripsis	1	0.00826446280991736
ER+ High	cpxdm	2	0.00386100386100386
ER+ Typical	cpxdm	2	0.00403225806451613
HER2+	cpxdm	1	0.00335570469798658
IC10	cpxdm	1	0.00107642626480086
IC4ER-	cpxdm	0	0
ER+ High	dm	66	0.127413127413127
ER+ Typical	dm	34	0.0685483870967742
HER2+	dm	40	0.134228187919463
IC10	dm	47	0.0505920344456405
IC4ER-	dm	2	0.0165289256198347
ER+ High	invdup	6	0.0115830115830116
ER+ Typical	invdup	19	0.0383064516129032
HER2+	invdup	4	0.0134228187919463
IC10	invdup	29	0.031216361679225
IC4ER-	invdup	1	0.00826446280991736
ER+ High	pyrgo	12	0.0231660231660232
ER+ Typical	pyrgo	22	0.0443548387096774
HER2+	pyrgo	3	0.0100671140939597
IC10	pyrgo	97	0.104413347685684
IC4ER-	pyrgo	4	0.0330578512396694
ER+ High	rigma	15	0.028957528957529
ER+ Typical	rigma	5	0.0100806451612903
HER2+	rigma	1	0.00335570469798658
IC10	rigma	18	0.0193756727664155
IC4ER-	rigma	3	0.0247933884297521
ER+ High	tic	129	0.249034749034749
ER+ Typical	tic	138	0.278225806451613
HER2+	tic	67	0.224832214765101
IC10	tic	549	0.590958019375673
IC4ER-	tic	74	0.611570247933884
ER+ High	tra	40	0.0772200772200772
ER+ Typical	tra	88	0.17741935483871
HER2+	tra	12	0.0402684563758389
IC10	tra	47	0.0505920344456405
IC4ER-	tra	8	0.0661157024793388
ER+ High	tyfonas	16	0.0308880308880309
ER+ Typical	tyfonas	9	0.0181451612903226
HER2+	tyfonas	22	0.0738255033557047
IC10	tyfonas	5	0.00538213132400431
IC4ER-	tyfonas	0	0
