Subtype	Class	n	Total	Proportion
ER+ High	BRCA1-like	1	113	0.00884955752212389
ER+ High	BRCA2-like	14	113	0.123893805309735
ER+ High	HR proficient	98	113	0.867256637168142
ER+ Typical	BRCA1-like	5	269	0.0185873605947955
ER+ Typical	BRCA2-like	14	269	0.0520446096654275
ER+ Typical	HR proficient	250	269	0.929368029739777
HER2+	BRCA1-like	2	55	0.0363636363636364
HER2+	BRCA2-like	0	55	0
HER2+	HR proficient	53	55	0.963636363636364
IC10	BRCA1-like	41	99	0.414141414141414
IC10	BRCA2-like	9	99	0.0909090909090909
IC10	HR proficient	49	99	0.494949494949495
IC4ER-	BRCA1-like	9	34	0.264705882352941
IC4ER-	BRCA2-like	2	34	0.0588235294117647
IC4ER-	HR proficient	23	34	0.676470588235294
