group	Sig	primary	metastatic	ratio	logratio	index
ER+ High	RS1	4	10	0.5	-0.693147180559945	ER+ High_RS1
ER+ High	RS2	28	44.5	0.651685393258427	-0.42819335918572	ER+ High_RS2
ER+ High	RS3	0	1	1	0	ER+ High_RS3
ER+ High	RS4	19	29	0.689655172413793	-0.371563556432483	ER+ High_RS4
ER+ High	RS5	10	17.5	0.628571428571429	-0.464305608131098	ER+ High_RS5
ER+ High	RS6	43	60	0.733333333333333	-0.31015492830384	ER+ High_RS6
ER+ Typical	RS1	1	4	0.5	-0.693147180559945	ER+ Typical_RS1
ER+ Typical	RS2	9	30	0.333333333333333	-1.09861228866811	ER+ Typical_RS2
ER+ Typical	RS3	0	0	Inf	Inf	ER+ Typical_RS3
ER+ Typical	RS4	2	11	0.272727272727273	-1.29928298413026	ER+ Typical_RS4
ER+ Typical	RS5	2	9	0.333333333333333	-1.09861228866811	ER+ Typical_RS5
ER+ Typical	RS6	7	19	0.421052631578947	-0.864997437486605	ER+ Typical_RS6
HER2+	RS1	5	15	0.4	-0.916290731874155	HER2+_RS1
HER2+	RS2	35.5	90	0.405555555555556	-0.902497409741819	HER2+_RS2
HER2+	RS3	1	2	1	0	HER2+_RS3
HER2+	RS4	48.5	93	0.532258064516129	-0.630626823578611	HER2+_RS4
HER2+	RS5	7.5	24	0.354166666666667	-1.03798766685167	HER2+_RS5
HER2+	RS6	81	98	0.836734693877551	-0.178248231406319	HER2+_RS6
IC10	RS1	14	25	0.6	-0.510825623765991	IC10_RS1
IC10	RS2	42.5	60.5	0.71900826446281	-0.329882426942157	IC10_RS2
IC10	RS3	34	7.5	4.66666666666667	1.54044504094715	IC10_RS3
IC10	RS4	2	7.5	0.4	-0.916290731874155	IC10_RS4
IC10	RS5	37.5	69.5	0.553956834532374	-0.590668511277008	IC10_RS5
IC10	RS6	1	13	0.153846153846154	-1.87180217690159	IC10_RS6
IC4ER-	RS1	6	11	0.636363636363636	-0.451985123743057	IC4ER-_RS1
IC4ER-	RS2	31	80	0.4	-0.916290731874155	IC4ER-_RS2
IC4ER-	RS3	4.5	3	1.83333333333333	0.606135803570315	IC4ER-_RS3
IC4ER-	RS4	0	13	0.0769230769230769	-2.56494935746154	IC4ER-_RS4
IC4ER-	RS5	15	30	0.533333333333333	-0.628608659422374	IC4ER-_RS5
IC4ER-	RS6	0	25	0.04	-3.2188758248682	IC4ER-_RS6
