Sample	Arc1	Arc2	Arc3	ENiClust	Subgroup
MB-0000	0.0555411093358518	0.896327625191126	0.0481312654730226	ic4ER+	ER+ Typical
MB-0002	0	0.637377665219374	0.362622334780626	ic4ER+	ER+ Typical
MB-0005	0.882262768778833	0	0.117737231221167	ic3/ic7	ER+ Typical
MB-0006	0	0.204437992037542	0.795562007962458	ic9	ER+ High
MB-0010	0.43026818766954	0.172606714298044	0.397125098032416	ic3/ic7	ER+ Typical
MB-0014	0	0.493829356799311	0.506170643200689	ic3/ic7	ER+ Typical
MB-0022	0	0.577365844463748	0.422634155536252	ic3/ic7	ER+ Typical
MB-0028	0.154593761463362	0.584180698220584	0.261225540316054	ic9	ER+ High
MB-0035	0	0.670777806100767	0.329222193899233	ic3/ic7	ER+ Typical
MB-0036	0	0.649141290515708	0.350858709484292	ic3/ic7	ER+ Typical
MB-0039	0.0284677424752289	0.865650036095862	0.105882221428909	ic4ER+	ER+ Typical
MB-0045	0	0.474004624544406	0.525995375455593	ic4ER-	IC4ER-
MB-0046	0.39239940311612	0.385951689916417	0.221648906967463	ic5	HER2+
MB-0048	0.124947608653353	0.572213691880315	0.302838699466332	ic5	HER2+
MB-0050	0	0.474004624544406	0.525995375455593	ic8	ER+ Typical
MB-0053	0.0267610457923892	0.597973593635958	0.375265360571652	ic4ER+	ER+ Typical
MB-0054	0.240663030746568	0.405375744349994	0.353961224903438	ic4ER+	ER+ Typical
MB-0056	0	0.572702715867086	0.427297284132914	ic4ER+	ER+ Typical
MB-0060	0.382503828598488	0	0.617496171401512	ic3/ic7	ER+ Typical
MB-0062	0.388380374014547	0.31179323152182	0.299826394463633	ic10	IC10
MB-0064	0	0.715229764966512	0.284770235033488	ic4ER+	ER+ Typical
MB-0066	0	0.610887993464602	0.389112006535398	ic4ER+	ER+ Typical
MB-0068	0.0240335360579355	0.872065631166075	0.103900832775989	ic4ER+	ER+ Typical
MB-0079	0.315826363372463	0.319503851390492	0.364669785237045	ic10	IC10
MB-0081	0	0.779998471551183	0.220001528448817	ic3/ic7	ER+ Typical
MB-0083	0.580730206448454	0.293653955870452	0.125615837681094	ic3/ic7	ER+ Typical
MB-0093	0	0.704461125009346	0.295538874990654	ic8	ER+ Typical
MB-0095	0	0.68577357160954	0.31422642839046	ic3/ic7	ER+ Typical
MB-0097	0.144726540068078	0.556930695194913	0.298342764737009	ic8	ER+ Typical
MB-0100	0.329769462755749	0.359229993622565	0.311000543621686	ic4ER-	IC4ER-
MB-0101	0.24422253321508	0.667715737609554	0.0880617291753664	ic8	ER+ Typical
MB-0102	0.0405084247080338	0.892426255265624	0.0670653200263418	ic4ER+	ER+ Typical
MB-0106	0	0.474004624544406	0.525995375455593	ic3/ic7	ER+ Typical
MB-0107	0.682769170178883	0	0.317230829821116	ic1	ER+ High
MB-0108	0	0.553410017222156	0.446589982777844	ic4ER+	ER+ Typical
MB-0109	0.304002056133415	0.325321530737552	0.370676413129034	ic9	ER+ High
MB-0111	0.0124140615887383	0.652388865579273	0.335197072831988	ic8	ER+ Typical
MB-0112	0.41919532349961	0.528612439485612	0.052192237014778	ic3/ic7	ER+ Typical
MB-0113	0	0.683931188051008	0.316068811948992	ic5	HER2+
MB-0114	0.0533652305684999	0.918804037492909	0.027830731938591	ic8	ER+ Typical
MB-0115	0.646613093047584	0.127086978383401	0.226299928569015	ic10	IC10
MB-0116	0.0258421088772346	0.933880906620954	0.0402769845018112	ic4ER+	ER+ Typical
MB-0117	0	0.651429398525716	0.348570601474284	ic1	ER+ High
MB-0119	0	0.308199575385748	0.691800424614252	ic4ER+	ER+ Typical
MB-0120	0.626929348660657	0	0.373070651339343	ic3/ic7	ER+ Typical
MB-0121	0.06705280957196	0.6088595700626	0.32408762036544	ic3/ic7	ER+ Typical
MB-0122	0.0859594817287127	0.829517316943798	0.0845232013274892	ic8	ER+ Typical
MB-0123	0.335168058120127	0.275333751559345	0.389498190320528	ic1	ER+ High
MB-0124	0.0282786594701986	0.801300914594562	0.17042042593524	ic8	ER+ Typical
MB-0125	0.000993098391454648	0.999006901608545	0	ic8	ER+ Typical
MB-0126	0.260851507379473	0.420574924213667	0.318573568406859	ic8	ER+ Typical
MB-0128	0.0895174659435477	0.813544864444947	0.0969376696115049	ic3/ic7	ER+ Typical
MB-0129	0.491687438836624	0	0.508312561163376	ic5	HER2+
MB-0130	0.0228067433413164	0.00917164937387644	0.968021607284807	ic5	HER2+
MB-0131	0.0445940978046013	0.927706876482049	0.02769902571335	ic8	ER+ Typical
MB-0133	0.10101091059437	0.840381415965817	0.0586076734398125	ic3/ic7	ER+ Typical
MB-0134	0	0.585036851646702	0.414963148353298	ic8	ER+ Typical
MB-0135	0.255466365577101	0.744533634422899	0	ic2	ER+ High
MB-0136	0	0.474004624544406	0.525995375455593	ic4ER+	ER+ Typical
MB-0138	0	0.700446872324689	0.299553127675311	ic3/ic7	ER+ Typical
MB-0139	0.0446625398059637	0.929836421407288	0.0255010387867483	ic4ER+	ER+ Typical
MB-0140	0	0.684960395568239	0.315039604431761	ic3/ic7	ER+ Typical
MB-0142	0.177981096216397	0.487300549570044	0.334718354213559	ic4ER+	ER+ Typical
MB-0143	0	0.590112242966179	0.409887757033821	ic8	ER+ Typical
MB-0144	0.145940568812374	0.782322442640827	0.0717369885467983	ic3/ic7	ER+ Typical
MB-0145	0	0.474004624544406	0.525995375455593	ic3/ic7	ER+ Typical
MB-0146	0	0.544105923659065	0.455894076340935	ic8	ER+ Typical
MB-0147	0	0.669934608765435	0.330065391234565	ic2	ER+ High
MB-0148	0.119477321189885	0.844895160500576	0.0356275183095387	ic5	HER2+
MB-0149	0.512809032140616	0	0.487190967859384	ic10	IC10
MB-0150	0	0.723881062005007	0.276118937994993	ic3/ic7	ER+ Typical
MB-0151	0.144726540068078	0.556930695194913	0.298342764737009	ic2	ER+ High
MB-0152	0.567179883352624	0	0.432820116647376	ic5	HER2+
MB-0154	0.101915839926243	0.579287412997639	0.318796747076119	ic4ER+	ER+ Typical
MB-0155	0.043324778154018	0.925692099311633	0.0309831225343488	ic4ER+	ER+ Typical
MB-0157	0.315546098414472	0.505521229447081	0.178932672138447	ic10	IC10
MB-0162	0.0640160036049005	0.877444564468853	0.0585394319262467	ic3/ic7	ER+ Typical
MB-0163	0.822908765634725	0.106714478349706	0.0703767560155688	ic10	IC10
MB-0164	0.445853555616624	0	0.554146444383376	ic6	ER+ High
MB-0165	0.110882421977278	0.71613100217752	0.172986575845203	ic5	HER2+
MB-0166	0	0.278831792726527	0.721168207273473	ic4ER+	ER+ Typical
