Sample	ENiClust	Gene	AMP	Segment	linear	complex	ecDNA	Summary
CURTIS_H004772_T01_01_WG01	ic1	HSF5	NO	NO	NO	NO	NO	NO
CURTIS_H004772_T01_01_WG01	ic1	PPM1E	NO	NO	NO	NO	YES	NO
CURTIS_H004772_T01_01_WG01	ic1	PRR11	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004772_T01_01_WG01	ic1	DHX40	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004772_T01_01_WG01	ic1	TUBD1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004772_T01_01_WG01	ic1	RPS6KB1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004772_T01_01_WG01	ic1	CA4	NO	NO	NO	NO	NO	NO
CURTIS_H004772_T01_01_WG01	ic1	C17orf64	NO	NO	NO	NO	NO	NO
CURTIS_H004772_T01_01_WG01	ic1	BCAS3	YES	NO	NO	NO	NO	AMP
CURTIS_H004772_T01_01_WG01	ic1	TBX2	YES	NO	NO	NO	NO	AMP
CURTIS_H004772_T01_01_WG01	ic1	BRIP1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004772_T01_01_WG01	ic1	MSI2	NO	NO	NO	NO	NO	NO
CURTIS_H004772_T01_01_WG01	ic1	PPM1D	YES	NO	NO	NO	NO	AMP
CURTIS_H004764_T01_01_WG01	ic1	HSF5	YES	NO	NO	NO	NO	AMP
CURTIS_H004764_T01_01_WG01	ic1	PPM1E	YES	NO	NO	NO	NO	AMP
CURTIS_H004764_T01_01_WG01	ic1	PRR11	YES	NO	NO	NO	NO	AMP
CURTIS_H004764_T01_01_WG01	ic1	DHX40	YES	NO	NO	NO	NO	AMP
CURTIS_H004764_T01_01_WG01	ic1	TUBD1	YES	NO	NO	NO	NO	AMP
CURTIS_H004764_T01_01_WG01	ic1	RPS6KB1	YES	NO	NO	NO	NO	AMP
CURTIS_H004764_T01_01_WG01	ic1	CA4	YES	NO	NO	NO	NO	AMP
CURTIS_H004764_T01_01_WG01	ic1	C17orf64	YES	NO	NO	NO	NO	AMP
CURTIS_H004764_T01_01_WG01	ic1	BCAS3	YES	NO	NO	NO	NO	AMP
CURTIS_H004764_T01_01_WG01	ic1	TBX2	YES	NO	NO	NO	NO	AMP
CURTIS_H004764_T01_01_WG01	ic1	BRIP1	YES	NO	NO	NO	NO	AMP
CURTIS_H004764_T01_01_WG01	ic1	MSI2	NO	NO	NO	NO	NO	NO
CURTIS_H004764_T01_01_WG01	ic1	PPM1D	YES	NO	NO	NO	NO	AMP
CURTIS_H004747_T01_01_WG01	ic1	HSF5	YES	NO	NO	NO	NO	AMP
CURTIS_H004747_T01_01_WG01	ic1	PPM1E	YES	NO	NO	NO	NO	AMP
CURTIS_H004747_T01_01_WG01	ic1	PRR11	YES	NO	NO	NO	NO	AMP
CURTIS_H004747_T01_01_WG01	ic1	DHX40	YES	NO	NO	NO	NO	AMP
CURTIS_H004747_T01_01_WG01	ic1	TUBD1	YES	NO	NO	NO	NO	AMP
CURTIS_H004747_T01_01_WG01	ic1	RPS6KB1	YES	NO	NO	NO	NO	AMP
CURTIS_H004747_T01_01_WG01	ic1	CA4	YES	NO	NO	NO	NO	AMP
CURTIS_H004747_T01_01_WG01	ic1	C17orf64	YES	NO	NO	NO	NO	AMP
CURTIS_H004747_T01_01_WG01	ic1	BCAS3	YES	NO	NO	NO	NO	AMP
CURTIS_H004747_T01_01_WG01	ic1	TBX2	YES	NO	NO	NO	NO	AMP
CURTIS_H004747_T01_01_WG01	ic1	BRIP1	YES	NO	NO	NO	NO	AMP
CURTIS_H004747_T01_01_WG01	ic1	MSI2	YES	NO	NO	NO	NO	AMP
CURTIS_H004747_T01_01_WG01	ic1	PPM1D	YES	NO	NO	NO	NO	AMP
CURTIS_H004740_T01_01_WG01	ic1	HSF5	YES	NO	NO	NO	NO	AMP
CURTIS_H004740_T01_01_WG01	ic1	PPM1E	YES	NO	NO	NO	NO	AMP
CURTIS_H004740_T01_01_WG01	ic1	PRR11	YES	NO	NO	NO	NO	AMP
CURTIS_H004740_T01_01_WG01	ic1	DHX40	YES	NO	NO	NO	NO	AMP
CURTIS_H004740_T01_01_WG01	ic1	TUBD1	YES	NO	NO	NO	NO	AMP
CURTIS_H004740_T01_01_WG01	ic1	RPS6KB1	YES	NO	NO	NO	NO	AMP
CURTIS_H004740_T01_01_WG01	ic1	CA4	YES	NO	NO	NO	NO	AMP
CURTIS_H004740_T01_01_WG01	ic1	C17orf64	YES	NO	NO	NO	NO	AMP
CURTIS_H004740_T01_01_WG01	ic1	BCAS3	YES	NO	NO	NO	NO	AMP
CURTIS_H004740_T01_01_WG01	ic1	TBX2	YES	NO	NO	NO	NO	AMP
CURTIS_H004740_T01_01_WG01	ic1	BRIP1	YES	NO	NO	NO	NO	AMP
CURTIS_H004740_T01_01_WG01	ic1	MSI2	YES	NO	NO	NO	NO	AMP
CURTIS_H004740_T01_01_WG01	ic1	PPM1D	YES	NO	NO	NO	NO	AMP
CURTIS_H004725_T01_01_WG01	ic1	HSF5	YES	NO	NO	NO	NO	AMP
CURTIS_H004725_T01_01_WG01	ic1	PPM1E	YES	NO	NO	NO	NO	AMP
CURTIS_H004725_T01_01_WG01	ic1	PRR11	YES	NO	NO	NO	NO	AMP
CURTIS_H004725_T01_01_WG01	ic1	DHX40	YES	NO	NO	NO	NO	AMP
