sample	ampliconID	Freq	width	FreqNorm	tf	type	group
CURTIS_H000380_T01_01_WG01	amplicon1	26	4240683	6.13108784599085	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H000387_T01_01_WG01	amplicon1	478	20718901	23.0707217530505	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H000392_T01_01_WG01	amplicon1	12	3140447	3.82111209009418	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H000393_T01_01_WG01	amplicon1	157	9440122	16.6311409958473	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H000394_T01_01_WG01	amplicon1	33	5542614	5.95386941973589	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H000396_T01_01_WG01	amplicon1	261	31889135	8.18460582264147	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H000400_T01_01_WG01	amplicon1	248	31635757	7.83923077927296	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H000402_T01_01_WG01	amplicon1	182	12304171	14.7917320069755	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H000415_T01_01_WG01	amplicon1	488	22538926	21.6514309510577	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H000419_T01_01_WG01	amplicon1	154	12319872	12.5001298714792	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H000429_T01_01_WG01	amplicon1	39	7177232	5.43384970696224	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H000432_T01_01_WG01	amplicon1	250	28248672	8.84997354919906	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H000435_T01_01_WG01	amplicon1	21	3459165	6.07082923191001	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H000497_T01_01_WG01	amplicon1	30	4509200	6.65306484520536	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H000500_T01_01_WG01	amplicon1	86	7943675	10.8262233789776	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H000502_T01_01_WG01	amplicon1	400	22286852	17.9478016904316	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H000511_T01_01_WG01	amplicon1	220	23253823	9.46080994940058	APOBEC3B	cyclic	APOBEC3B_cyclic
