sample	ampliconID	Freq	width	FreqNorm	comparison	stage	index	group
CURTIS_H000380_T01_01_WG01	amplicon1	15	4240683	3.53716606499472	ecdna	a	a ecdna	ER+ High
CURTIS_H000381_T01_01_WG01	amplicon1	98	19096444	5.13184548913923	noncyclic	a	a noncyclic	IC4ER-
CURTIS_H000382_T01_01_WG01	amplicon1	25	10749784	2.32562812424882	noncyclic	a	a noncyclic	ER+ High
CURTIS_H000387_T01_01_WG01	amplicon1	160	20718901	7.72241732319682	ecdna	a	a ecdna	ER+ High
CURTIS_H000390_T01_01_WG01	amplicon1	55	9047976	6.07870754741171	ecdna	a	a ecdna	ER+ Typical
CURTIS_H000392_T01_01_WG01	amplicon1	63	3140447	20.0608384729945	ecdna	a	a ecdna	HER2+
CURTIS_H000393_T01_01_WG01	amplicon1	44	9440122	4.66095671221198	ecdna	a	a ecdna	HER2+
CURTIS_H000394_T01_01_WG01	amplicon1	84	5542614	15.1553039775095	ecdna	a	a ecdna	HER2+
CURTIS_H000396_T01_01_WG01	amplicon1	221	31889135	6.93026010269642	ecdna	a	a ecdna	ER+ High
CURTIS_H000399_T01_01_WG01	amplicon1	66	18617077	3.5451322460556	noncyclic	a	a noncyclic	ER+ High
CURTIS_H000400_T01_01_WG01	amplicon1	134	31635757	4.23571340492974	ecdna	a	a ecdna	ER+ High
CURTIS_H000402_T01_01_WG01	amplicon1	269	12304171	21.862504999321	ecdna	a	a ecdna	ER+ High
CURTIS_H000405_T01_01_WG01	amplicon1	248	41795955	5.93358854941824	ecdna	a	a ecdna	ER+ Typical
CURTIS_H000406_T01_01_WG01	amplicon1	12	361060	33.2354733285327	noncyclic	a	a noncyclic	IC10
CURTIS_H000407_T01_01_WG01	amplicon1	55	14638322	3.75726124893277	ecdna	a	a ecdna	IC10
CURTIS_H000409_T01_01_WG01	amplicon1	25	2119266	11.7965371029404	ecdna	a	a ecdna	IC10
CURTIS_H000409_T01_01_WG01	amplicon2	0	439608	0	ecdna	a	a ecdna	IC10
CURTIS_H000412_T01_01_WG01	amplicon2	229	33516483	6.83245912168052	ecdna	a	a ecdna	HER2+
CURTIS_H000412_T01_01_WG01	amplicon3	59	5316622	11.0972719143847	noncyclic	a	a noncyclic	HER2+
CURTIS_H000414_T01_01_WG01	amplicon2	30	3069157	9.77467102530109	noncyclic	a	a noncyclic	IC10
CURTIS_H000415_T01_01_WG01	amplicon1	193	22538926	8.56296347039784	ecdna	a	a ecdna	ER+ High
CURTIS_H000416_T01_01_WG01	amplicon2	4	3143072	1.2726402704106	noncyclic	a	a noncyclic	ER+ High
CURTIS_H000419_T01_01_WG01	amplicon1	203	12319872	16.4774439214953	ecdna	a	a ecdna	ER+ High
CURTIS_H000426_T01_01_WG01	amplicon1	200	18608716	10.7476517992966	ecdna	a	a ecdna	NA
CURTIS_H000427_T01_01_WG01	amplicon1	53	8876599	5.97075524083041	ecdna	a	a ecdna	ER+ Typical
CURTIS_H000429_T01_01_WG01	amplicon1	21	7177232	2.92591907297967	ecdna	a	a ecdna	ER+ High
CURTIS_H000429_T01_01_WG01	amplicon2	15	6303068	2.3797934593122	noncyclic	a	a noncyclic	ER+ High
CURTIS_H000432_T01_01_WG01	amplicon1	279	28248672	9.87657048090615	ecdna	a	a ecdna	ER+ High
CURTIS_H000435_T01_01_WG01	amplicon1	13	3459165	3.75813238165858	ecdna	a	a ecdna	ER+ High
CURTIS_H000438_T01_01_WG01	amplicon1	39	4660723	8.36780044641143	noncyclic	a	a noncyclic	ER+ High
CURTIS_H000443_T01_01_WG01	amplicon2	36	6116914	5.88532060447474	noncyclic	a	a noncyclic	ER+ Typical
CURTIS_H000443_T01_01_WG01	amplicon1	7	3321042	2.10777219920736	noncyclic	a	a noncyclic	ER+ Typical
CURTIS_H000445_T01_01_WG01	amplicon1	124	24078817	5.14975465779735	ecdna	a	a ecdna	ER+ Typical
CURTIS_H000452_T01_01_WG01	amplicon1	42	5814152	7.22375335216554	noncyclic	a	a noncyclic	ER+ Typical
CURTIS_H000454_T01_01_WG01	amplicon1	15	15794964	0.949669780823812	ecdna	a	a ecdna	ER+ Typical
CURTIS_H000460_T01_01_WG01	amplicon1	0	1529245	0	noncyclic	a	a noncyclic	ER+ Typical
CURTIS_H000463_T01_01_WG01	amplicon1	119	30124590	3.95026123177112	ecdna	a	a ecdna	ER+ Typical
CURTIS_H000468_T01_01_WG01	amplicon2	13	2047506	6.34918774352798	noncyclic	a	a noncyclic	ER+ Typical
CURTIS_H000468_T01_01_WG01	amplicon1	24	6050379	3.96669365671142	ecdna	a	a ecdna	ER+ Typical
CURTIS_H000470_T01_01_WG01	amplicon2	12	9803668	1.22403165835481	noncyclic	a	a noncyclic	ER+ Typical
CURTIS_H000470_T01_01_WG01	amplicon1	21	5272095	3.9832362656591	ecdna	a	a ecdna	ER+ Typical
CURTIS_H000472_T01_01_WG01	amplicon1	4	1727787	2.31510018306655	noncyclic	a	a noncyclic	ER+ High
CURTIS_H000472_T01_01_WG01	amplicon2	98	13502354	7.25799368021309	ecdna	a	a ecdna	ER+ High
CURTIS_H000474_T01_01_WG01	amplicon2	40	4351486	9.19226213757783	noncyclic	a	a noncyclic	ER+ Typical
CURTIS_H000474_T01_01_WG01	amplicon3	28	1463581	19.1311584394714	noncyclic	a	a noncyclic	ER+ Typical
CURTIS_H000477_T01_01_WG01	amplicon2	115	20089748	5.72431271910429	ecdna	a	a ecdna	ER+ High
CURTIS_H000485_T01_01_WG01	amplicon3	129	10729084	12.0233936093706	ecdna	a	a ecdna	ER+ High
CURTIS_H000485_T01_01_WG01	amplicon2	29	5811597	4.99002253597419	noncyclic	a	a noncyclic	ER+ High
CURTIS_H000487_T01_01_WG01	amplicon1	69	4575808	15.0793040267424	noncyclic	a	a noncyclic	HER2+
CURTIS_H000489_T01_01_WG01	amplicon1	63	3397848	18.5411472202406	noncyclic	a	a noncyclic	ER+ High
CURTIS_H000489_T01_01_WG01	amplicon3	4	2401523	1.66560969851215	noncyclic	a	a noncyclic	ER+ High
CURTIS_H000497_T01_01_WG01	amplicon1	10	4509200	2.21768828173512	ecdna	a	a ecdna	ER+ High
CURTIS_H000498_T01_01_WG01	amplicon1	100	30138579	3.31800646606464	noncyclic	a	a noncyclic	IC10
CURTIS_H000500_T01_01_WG01	amplicon1	168	7943675	21.1489014845144	ecdna	a	a ecdna	ER+ High
CURTIS_H000501_T01_01_WG01	amplicon1	47	34975034	1.34381570579746	ecdna	a	a ecdna	IC10
CURTIS_H000502_T01_01_WG01	amplicon1	243	22286852	10.9032895269372	ecdna	a	a ecdna	HER2+
CURTIS_H000505_T01_01_WG01	amplicon3	26	950548	27.3526428965186	noncyclic	a	a noncyclic	ER+ High
CURTIS_H000505_T01_01_WG01	amplicon2	66	11155901	5.91615146100705	ecdna	a	a ecdna	ER+ High
CURTIS_H000506_T01_01_WG01	amplicon2	53	2155462	24.588696066087	noncyclic	a	a noncyclic	IC10
CURTIS_H000511_T01_01_WG01	amplicon1	121	23253823	5.20344547217032	ecdna	a	a ecdna	ER+ High
CURTIS_H000513_T01_01_WG01	amplicon1	26	9658924	2.69181122038024	ecdna	a	a ecdna	ER+ High
CURTIS_H000516_T01_01_WG01	amplicon1	38	4453811	8.53201898329318	ecdna	a	a ecdna	IC10
CURTIS_H000516_T01_01_WG01	amplicon3	40	9263844	4.31786200199399	noncyclic	a	a noncyclic	IC10
CURTIS_H000516_T01_01_WG01	amplicon2	39	23716180	1.6444469556227	noncyclic	a	a noncyclic	IC10
CURTIS_H000517_T01_01_WG01	amplicon5	36	16258690	2.21420052907092	noncyclic	a	a noncyclic	IC10
CURTIS_H000517_T01_01_WG01	amplicon6	25	8580354	2.91363270093518	noncyclic	a	a noncyclic	IC10
CURTIS_H000518_T01_01_WG01	amplicon1	67	7699040	8.70238367380868	ecdna	a	a ecdna	ER+ High
CURTIS_H000520_T01_01_WG01	amplicon1	60	4868885	12.3231499614388	ecdna	a	a ecdna	HER2+
CURTIS_H000523_T01_01_WG01	amplicon2	0	751027	0	noncyclic	a	a noncyclic	HER2+
