group	type	distance	logdistance	index
ER+ High	median_ecdna_rloops	NA	NA	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	12360432	7.09203368484801	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	4117216	6.61460375731058	ER+ Typicalmedian_ecdna_rloops
HER2+	median_ecdna_rloops	NA	NA	HER2+median_ecdna_rloops
HER2+	median_ecdna_rloops	NA	NA	HER2+median_ecdna_rloops
HER2+	median_ecdna_rloops	NA	NA	HER2+median_ecdna_rloops
HER2+	median_ecdna_rloops	NA	NA	HER2+median_ecdna_rloops
HER2+	median_ecdna_rloops	NA	NA	HER2+median_ecdna_rloops
HER2+	median_ecdna_rloops	12186115	7.08586530787019	HER2+median_ecdna_rloops
HER2+	median_ecdna_rloops	7837917	6.8942007155935	HER2+median_ecdna_rloops
ER+ High	median_ecdna_rloops	7482300.5	6.87403520414929	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	10059408	7.00257246624889	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	4311371	6.63461549689174	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	4479859	6.65126444208352	ER+ Typicalmedian_ecdna_rloops
IC10	median_ecdna_rloops	7801951	6.89220327407123	IC10median_ecdna_rloops
IC10	median_ecdna_rloops	NA	NA	IC10median_ecdna_rloops
IC10	median_ecdna_rloops	NA	NA	IC10median_ecdna_rloops
HER2+	median_ecdna_rloops	10901477	7.03748538268644	HER2+median_ecdna_rloops
ER+ High	median_ecdna_rloops	4916354.5	6.69164327903667	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	2081146.5	6.3183028616465	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	10971871	7.04028073239786	ER+ Typicalmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	1821604.5	6.26045432888072	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	1522200.5	6.18247214556583	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	14487239	7.16098565483336	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	1244216	6.09489613090454	ER+ Typicalmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	17127536	7.23369491438313	ER+ Typicalmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	3658981	6.56336027302312	ER+ Typicalmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	17695862	7.2478717473634	ER+ Typicalmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	77006486	7.88652731153142	ER+ Typicalmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	3784551	6.57801447684975	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	1814704	6.25880603582668	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	3694335.5	6.56753645077865	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	NA	NA	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	1595516	6.20290143589829	ER+ Highmedian_ecdna_rloops
IC10	median_ecdna_rloops	21189261	7.32611583094821	IC10median_ecdna_rloops
HER2+	median_ecdna_rloops	7499853.5	6.87505283799702	HER2+median_ecdna_rloops
ER+ High	median_ecdna_rloops	4064907	6.60905072076785	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	5685574	6.7547743928055	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	374970.5	5.57399826009279	ER+ Highmedian_ecdna_rloops
IC10	median_ecdna_rloops	NA	NA	IC10median_ecdna_rloops
ER+ High	median_ecdna_rloops	3331891	6.52269091573469	ER+ Highmedian_ecdna_rloops
HER2+	median_ecdna_rloops	4424924	6.64590591404804	HER2+median_ecdna_rloops
HER2+	median_ecdna_rloops	15014515	7.17651133707332	HER2+median_ecdna_rloops
ER+ Typical	median_ecdna_rloops	11744340	7.06982865260847	ER+ Typicalmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	5034119	6.70192356375837	ER+ Highmedian_ecdna_rloops
HER2+	median_ecdna_rloops	5286709	6.72318548803817	HER2+median_ecdna_rloops
ER+ Typical	median_ecdna_rloops	20029895	7.30167869433884	ER+ Typicalmedian_ecdna_rloops
IC10	median_ecdna_rloops	NA	NA	IC10median_ecdna_rloops
ER+ High	median_ecdna_rloops	4921673	6.69211284368414	ER+ Highmedian_ecdna_rloops
IC10	median_ecdna_rloops	342068	5.53411371803491	IC10median_ecdna_rloops
IC10	median_ecdna_rloops	NA	NA	IC10median_ecdna_rloops
IC10	median_ecdna_rloops	NA	NA	IC10median_ecdna_rloops
IC10	median_ecdna_rloops	508968	5.70669133137618	IC10median_ecdna_rloops
ER+ High	median_ecdna_rloops	1558012	6.19257107708796	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	5916685	6.77207852177223	ER+ Highmedian_ecdna_rloops
HER2+	median_ecdna_rloops	19021409.5	7.27924271815629	HER2+median_ecdna_rloops
HER2+	median_ecdna_rloops	3929396	6.59432590923919	HER2+median_ecdna_rloops
IC10	median_ecdna_rloops	4196055	6.62284127559604	IC10median_ecdna_rloops
IC10	median_ecdna_rloops	15502984.5	7.19041534083624	IC10median_ecdna_rloops
ER+ High	median_ecdna_rloops	13371414	7.12617736793328	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	NA	NA	ER+ Highmedian_ecdna_rloops
IC10	median_ecdna_rloops	1725307	6.23686663608183	IC10median_ecdna_rloops
IC10	median_ecdna_rloops	5486316	6.73928089757645	IC10median_ecdna_rloops
IC10	median_ecdna_rloops	44567775	7.64902096266983	IC10median_ecdna_rloops
HER2+	median_ecdna_rloops	8201967	6.91391807055369	HER2+median_ecdna_rloops
HER2+	median_ecdna_rloops	5325224.5	6.72633800297127	HER2+median_ecdna_rloops
ER+ High	median_ecdna_rloops	45725649	7.66015988778228	ER+ Highmedian_ecdna_rloops
IC10	median_ecdna_rloops	NA	NA	IC10median_ecdna_rloops
ER+ Typical	median_ecdna_rloops	1223578	6.08763201468206	ER+ Typicalmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	2988788	6.47549525616667	ER+ Typicalmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	851506	5.93018822252631	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	1432809	6.15618860391975	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	276236	5.44128184882489	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	3180652	6.50251629142569	ER+ Highmedian_ecdna_rloops
HER2+	median_ecdna_rloops	12096439	7.08265757561882	HER2+median_ecdna_rloops
ER+ High	median_ecdna_rloops	11474036	7.05971624600571	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	NA	NA	ER+ Highmedian_ecdna_rloops
HER2+	median_ecdna_rloops	4361858	6.63967162261094	HER2+median_ecdna_rloops
HER2+	median_ecdna_rloops	1363066	6.13451720360807	HER2+median_ecdna_rloops
HER2+	median_ecdna_rloops	7476977	6.87372610279558	HER2+median_ecdna_rloops
ER+ Typical	median_ecdna_rloops	13804806.5	7.14003035503391	ER+ Typicalmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	12364772.5	7.09218616529084	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	1722250	6.23609644559103	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	1252808	6.09788486463428	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	845035	5.92687521104237	ER+ Typicalmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	3332851	6.5228160286289	ER+ Highmedian_ecdna_rloops
HER2+	median_ecdna_rloops	NA	NA	HER2+median_ecdna_rloops
HER2+	median_ecdna_rloops	10389855.5	7.01660954931959	HER2+median_ecdna_rloops
HER2+	median_ecdna_rloops	3941545.5	6.59566665447477	HER2+median_ecdna_rloops
ER+ Typical	median_ecdna_rloops	3750615	6.57410260197585	ER+ Typicalmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	1575372	6.19738339791158	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	4024695	6.60473308209307	ER+ Typicalmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	6320432	6.80074683193256	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	3117567	6.49381593503035	ER+ Highmedian_ecdna_rloops
HER2+	median_ecdna_rloops	NA	NA	HER2+median_ecdna_rloops
ER+ High	median_ecdna_rloops	2596782	6.41443565935586	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	103426832	8.01463322649509	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	5336124.5	6.72722603517321	ER+ Highmedian_ecdna_rloops
