group	type	distance	logdistance	index
IC10	median_ecdna_rloops	965252	5.98464116008259	IC10median_ecdna_rloops
IC10	median_ecdna_rloops	7845791	6.89463679035359	IC10median_ecdna_rloops
HER2+	median_ecdna_rloops	5143747.5	6.71127972590909	HER2+median_ecdna_rloops
HER2+	median_ecdna_rloops	4316416	6.63512339431736	HER2+median_ecdna_rloops
ER+ High	median_ecdna_rloops	10037795.5	7.00163838682094	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	5578245.5	6.74649770161602	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	4925231.5	6.69242673657652	ER+ Typicalmedian_ecdna_rloops
IC10	median_ecdna_rloops	87706030.5	7.94302946060773	IC10median_ecdna_rloops
ER+ High	median_ecdna_rloops	3515897	6.5460362672323	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	4744157	6.67615914439193	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	2866154	6.4572996730901	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	2298124	6.36137364721294	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	NA	NA	ER+ Typicalmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	6643271	6.82238203441968	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	1088020	6.03663727780343	ER+ Typicalmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	3012014.5	6.47885720243807	ER+ Highmedian_ecdna_rloops
IC10	median_ecdna_rloops	921533	5.96451136314705	IC10median_ecdna_rloops
ER+ High	median_ecdna_rloops	9346079	6.97062949415136	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	NA	NA	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	1180803	6.07217781566374	ER+ Typicalmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	1558576	6.19272826304471	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	116393009	8.06592689947554	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	14692000	7.16708094923318	ER+ Typicalmedian_ecdna_rloops
IC10	median_ecdna_rloops	2768012.5	6.44216820390654	IC10median_ecdna_rloops
ER+ Typical	median_ecdna_rloops	2512613	6.40012577528338	ER+ Typicalmedian_ecdna_rloops
HER2+	median_ecdna_rloops	13626387.5	7.13438076688732	HER2+median_ecdna_rloops
HER2+	median_ecdna_rloops	14781849	7.16972879092704	HER2+median_ecdna_rloops
IC10	median_ecdna_rloops	24998910	7.39792109039236	IC10median_ecdna_rloops
ER+ High	median_ecdna_rloops	1615414	6.20828411122265	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	21595061.5	7.33435446531178	ER+ Typicalmedian_ecdna_rloops
IC10	median_ecdna_rloops	72016949.5	7.85743472757314	IC10median_ecdna_rloops
ER+ Typical	median_ecdna_rloops	14621588	7.16499457210422	ER+ Typicalmedian_ecdna_rloops
