Sample	CellType	Proportion	TME
MB-0000	Fibroblasts	0.60546875	F
MB-0000	Fibroblasts CD68+	0.1484375	F
MB-0000	T cells	0.05078125	F
MB-0000	Myofibroblasts	0.0859375	F
MB-0000	Vascular SMA+	0.00390625	F
MB-0000	B cells	0	F
MB-0002	Fibroblasts	0.0396039603960396	D
MB-0002	Fibroblasts CD68+	0.0099009900990099	D
MB-0002	T cells	0.0009000900090009	D
MB-0002	Myofibroblasts	0.152115211521152	D
MB-0002	Vascular SMA+	0	D
MB-0002	B cells	0	D
MB-0005	Fibroblasts	0.00827205882352941	F
MB-0005	Fibroblasts CD68+	0.0101102941176471	F
MB-0005	T cells	0.00183823529411765	F
MB-0005	Myofibroblasts	0.143382352941176	F
MB-0005	Vascular SMA+	0.0477941176470588	F
MB-0005	B cells	0	F
MB-0010	Fibroblasts	0.0807799442896936	D
MB-0010	Fibroblasts CD68+	0.0129990714948932	D
MB-0010	T cells	0.00371402042711235	D
MB-0010	Myofibroblasts	0.0371402042711235	D
MB-0010	Vascular SMA+	0	D
MB-0010	B cells	0	D
MB-0014	Fibroblasts	0.1427660930529	D
MB-0014	Fibroblasts CD68+	0.0968769917144678	D
MB-0014	T cells	0.0305927342256214	D
MB-0014	Myofibroblasts	0.311026131293818	D
MB-0014	Vascular SMA+	0.0152963671128107	D
MB-0014	B cells	0.000637348629700446	D
MB-0022	Fibroblasts	0.181076672104405	IE
MB-0022	Fibroblasts CD68+	0.0407830342577488	IE
MB-0022	T cells	0.0277324632952692	IE
MB-0022	Myofibroblasts	0.0505709624796085	IE
MB-0022	Vascular SMA+	0.00163132137030995	IE
MB-0022	B cells	0	IE
MB-0028	Fibroblasts	0.0211397058823529	D
MB-0028	Fibroblasts CD68+	0.0183823529411765	D
MB-0028	T cells	0.0110294117647059	D
MB-0028	Myofibroblasts	0.0238970588235294	D
MB-0028	Vascular SMA+	0.000919117647058824	D
MB-0028	B cells	0	D
MB-0035	Fibroblasts	0.0022002200220022	D
MB-0035	Fibroblasts CD68+	0	D
MB-0035	T cells	0	D
MB-0035	Myofibroblasts	0.0396039603960396	D
MB-0035	Vascular SMA+	0.0022002200220022	D
MB-0035	B cells	0	D
MB-0045	Fibroblasts	0.282975460122699	IE
MB-0045	Fibroblasts CD68+	0.168711656441718	IE
MB-0045	T cells	0.0214723926380368	IE
MB-0045	Myofibroblasts	0.242331288343558	IE
MB-0045	Vascular SMA+	0.00613496932515337	IE
MB-0045	B cells	0.0176380368098159	IE
MB-0050	Fibroblasts	0.0388529139685476	IE/F
