TME_subtype	ENiClust	Stage	Proportion	Total_Samples
D	IC1	Primary	0.512820512820513	78
D	IC1	Metastatic	0.484848484848485	33
D	IC2	Primary	0.617647058823529	34
D	IC2	Metastatic	0.315789473684211	19
D	IC6	Primary	0.711111111111111	45
D	IC6	Metastatic	0.676470588235294	34
D	IC9	Primary	0.545454545454545	66
D	IC9	Metastatic	0.421052631578947	19
D	IC5/ER+	Primary	0.5	50
D	IC5/ER+	Metastatic	0.434782608695652	23
D	IC5/ER-	Primary	0.464285714285714	28
D	IC5/ER-	Metastatic	0.333333333333333	15
F	IC1	Primary	0.102564102564103	78
F	IC1	Metastatic	0.0909090909090909	33
F	IC2	Primary	0.176470588235294	34
F	IC2	Metastatic	0.263157894736842	19
F	IC6	Primary	0.111111111111111	45
F	IC6	Metastatic	0.0882352941176471	34
F	IC9	Primary	0.121212121212121	66
F	IC9	Metastatic	0.210526315789474	19
F	IC5/ER+	Primary	0.14	50
F	IC5/ER+	Metastatic	0.304347826086957	23
F	IC5/ER-	Primary	0.0714285714285714	28
F	IC5/ER-	Metastatic	0.4	15
IE	IC1	Primary	0.320512820512821	78
IE	IC1	Metastatic	0.212121212121212	33
IE	IC2	Primary	0.117647058823529	34
IE	IC2	Metastatic	0.157894736842105	19
IE	IC6	Primary	0.133333333333333	45
IE	IC6	Metastatic	0.117647058823529	34
IE	IC9	Primary	0.303030303030303	66
IE	IC9	Metastatic	0.157894736842105	19
IE	IC5/ER+	Primary	0.28	50
IE	IC5/ER+	Metastatic	0.217391304347826	23
IE	IC5/ER-	Primary	0.392857142857143	28
IE	IC5/ER-	Metastatic	0.2	15
IE/F	IC1	Primary	0.0641025641025641	78
IE/F	IC1	Metastatic	0.212121212121212	33
IE/F	IC2	Primary	0.0882352941176471	34
IE/F	IC2	Metastatic	0.263157894736842	19
IE/F	IC6	Primary	0.0444444444444444	45
IE/F	IC6	Metastatic	0.117647058823529	34
IE/F	IC9	Primary	0.0303030303030303	66
IE/F	IC9	Metastatic	0.210526315789474	19
IE/F	IC5/ER+	Primary	0.08	50
IE/F	IC5/ER+	Metastatic	0.0434782608695652	23
IE/F	IC5/ER-	Primary	0.0714285714285714	28
IE/F	IC5/ER-	Metastatic	0.0666666666666667	15
