TME_subtype	ER	Stage	Proportion	Total_Samples
D	ER+	Primary	0.393077873918418	809
D	ER+	Metastatic	0.451505016722408	299
D	ER-	Primary	0.262135922330097	206
D	ER-	Metastatic	0.375	56
F	ER+	Primary	0.226205191594561	809
F	ER+	Metastatic	0.167224080267559	299
F	ER-	Primary	0.111650485436893	206
F	ER-	Metastatic	0.285714285714286	56
IE	ER+	Primary	0.184177997527812	809
IE	ER+	Metastatic	0.22742474916388	299
IE	ER-	Primary	0.548543689320388	206
IE	ER-	Metastatic	0.285714285714286	56
IE/F	ER+	Primary	0.196538936959209	809
IE/F	ER+	Metastatic	0.153846153846154	299
IE/F	ER-	Primary	0.0776699029126214	206
IE/F	ER-	Metastatic	0.0535714285714286	56
