ENiClust	Pathways_Altered	Stage	Proportion
IC1	1	Metastatic	0.238095238095238
IC1	1	Primary	0.225
IC1	2	Metastatic	0.126984126984127
IC1	2	Primary	0.2
IC1	3	Metastatic	0.0158730158730159
IC1	3	Primary	0.05
IC2	1	Metastatic	0.222222222222222
IC2	1	Primary	0.136363636363636
IC2	2	Metastatic	0.0555555555555556
IC2	2	Primary	0.0909090909090909
IC2	3	Metastatic	0.0833333333333333
IC2	3	Primary	0.0454545454545455
IC6	1	Metastatic	0.145161290322581
IC6	1	Primary	0.16
IC6	2	Metastatic	0.145161290322581
IC6	2	Primary	0.12
IC6	3	Metastatic	0.0483870967741935
IC9	1	Metastatic	0.215686274509804
IC9	1	Primary	0.36
IC9	2	Metastatic	0.137254901960784
IC9	2	Primary	0.08
IC9	3	Metastatic	0.0392156862745098
IC9	3	Primary	0.04
