Subtype	Pathway	p	OR	Samples	padj
ER+ High	Antigen Presentation 	0.507734907061393	1.4127168504345	349	0.915611485191972
ER+ High	Epigenetic	0.632820416453321	0.854179942253279	349	0.915611485191972
ER+ High	HLA-I	0.753962998800944	1.13186399059568	349	0.915611485191972
ER+ High	HLA-II	0.425805371406233	0.77274153976793	349	0.871887189069906
ER+ High	IFN-γ pathway	0.589267722981372	0.788320054652629	349	0.915611485191972
ER+ High	PD-L1	1	1.94876522016471	349	1
ER+ Typical	Antigen Presentation 	0.0379991964341812	1.91706841091815	659	0.20117813381921
ER+ Typical	CD58	1	1.33468039621188	659	1
ER+ Typical	Epigenetic	2.75890774895329e-05	2.75467483910921	659	0.00118633033204991
ER+ Typical	HLA-I	0.911834176895354	1.03458000038061	659	1
ER+ Typical	HLA-II	0.530685549510308	0.867536420360873	659	0.915611485191972
ER+ Typical	IFN-γ pathway	0.000137539103155981	3.29039666307599	659	0.00295709071785359
HER2+	Antigen Presentation 	0.297136228335922	2.6076552047733	127	0.77464144798825
HER2+	Epigenetic	0.352433856194819	1.59397361102285	127	0.781897116358688
HER2+	HLA-I	0.808756413374479	1.12395137950663	127	0.9399061020298
HER2+	HLA-II	1	1.00563739241776	127	1
HER2+	IFN-γ pathway	0.76655845271886	1.25263614713534	127	0.915611485191972
IC10	Antigen Presentation 	0.0144673271934691	2.64206698252317	219	0.103682511553195
IC10	CD58	0.61104175256048	1.89948771536376	219	0.915611485191972
IC10	Epigenetic	0.288076389812229	1.40051582353381	219	0.77464144798825
IC10	HLA-I	0.874038570163762	1.05476448428247	219	0.989043645185309
IC10	HLA-II	0.737388474874417	1.1554669115983	219	0.915611485191972
IC10	IFN-γ pathway	0.363673077376134	1.42632759399927	219	0.781897116358688
IC10	PD-L1	0.306253595716285	1.52637020803824	219	0.77464144798825
IC4ER-	Antigen Presentation 	1	1.05457958521815	59	1
IC4ER-	Epigenetic	0.0969768480878612	4.27832769140105	59	0.417000446777803
IC4ER-	HLA-I	0.733732916211598	0.650406735430232	59	0.915611485191972
IC4ER-	HLA-II	0.347979535328581	1.98413898780706	59	0.781897116358688
IC4ER-	IFN-γ pathway	0.712460890234012	1.50010469770265	59	0.915611485191972
IC4ER-	PD-L1	0.24021040327294	4.45748647089611	59	0.77464144798825
ER+ High	Any	0.499077090941835	0.842373818684755	349	0.915611485191972
ER+ Typical	Any	0.00426363252740469	1.59632802814558	659	0.0611120662261339
HER2+	Any	0.0324117516758066	2.23453563367501	127	0.19910076029424
IC10	Any	0.651870254520094	1.16349898306332	219	0.915611485191972
IC4ER-	Any	0.266835660720813	2.06886723431577	59	0.77464144798825
All Samples	Antigen Presentation 	0.00608220810306701	1.74534319455901	1413	0.0653837371079703
All Samples	CD58	0.547598544721366	1.71254196283448	1413	0.915611485191972
All Samples	Epigenetic	0.0106975125722975	1.4527086411536	1413	0.0919986081217581
All Samples	HLA-I	0.667871584116099	0.931309963057395	1413	0.915611485191972
All Samples	HLA-II	0.292330322774351	0.861329568782782	1413	0.77464144798825
All Samples	IFN-γ pathway	0.0421070512644858	1.41745028649131	1413	0.20117813381921
All Samples	PD-L1	0.640104771889078	1.18606814632927	1413	0.915611485191972
All Samples	Any	0.201191112796797	1.15109142055777	1413	0.77464144798825
