Time	Model	HR	upper	lower
1	ENiClust	0.00104805645146588	-0.0067043401476411	0.00860759419267698
5	ENiClust	0.142819622754262	0.111374192767032	0.171241517257135
10	ENiClust	0.198454110782115	0.164110005520635	0.227847243998631
15	ENiClust	0.186131702616534	0.152719478276732	0.213535288692903
20	ENiClust	0.189524888964952	0.153856561332362	0.217652798799234
1	iC10 DNA+RNA	0.00185154303880697	-0.00320114358208268	0.00679538786118106
5	iC10 DNA+RNA	0.134688067956526	0.111647102180963	0.155745521389465
10	iC10 DNA+RNA	0.187453736923544	0.162443969612092	0.209152254118032
15	iC10 DNA+RNA	0.188245283072727	0.163512818108793	0.208707419217375
20	iC10 DNA+RNA	0.172759543086445	0.1496617431981	0.191226981821153
1	iC10 DNA-only	-0.00023760399496453	-0.0049841318503	0.00440936828487393
5	iC10 DNA-only	0.121379624812449	0.0982438190198091	0.142478007120475
10	iC10 DNA-only	0.150633279890604	0.125622140087597	0.172462813420462
15	iC10 DNA-only	0.156120288686945	0.13000112330395	0.178000729770517
20	iC10 DNA-only	0.15654955833012	0.128093371292914	0.179546017418765
1	iC10 RNA-only	0.00261172811544663	-0.00330680592965893	0.00839769738261109
5	iC10 RNA-only	0.142444549464521	0.117137700029023	0.165498834358791
10	iC10 RNA-only	0.183014231447709	0.156347244258834	0.206120951084005
15	iC10 RNA-only	0.195721527085286	0.167709266795985	0.218758397530175
20	iC10 RNA-only	0.182011472107337	0.155199091091402	0.203316734395463
