Sample	Arc1	Arc2	Arc3	ENiClust	Subgroup
CURTIS_H000508_T01_01_WG01	0.55348576253679	0	0.44651423746321	ic3/ic7	ER+ Typical
CURTIS_H000525_T01_01_WG01	0	0.653078131794923	0.346921868205077	ic8	ER+ Typical
CURTIS_H003221_T01_01_WG01	0.500677622517751	0	0.499322377482249	ic10	IC10
CURTIS_H003222_T01_01_WG01	0.174402612620905	0.359251358156006	0.466346029223089	ic5	HER2+
CURTIS_H003224_T01_01_WG01	0.394961241498353	0.0227781433328358	0.582260615168811	ic5	HER2+
CURTIS_H004004_T01_01_WG01	0.543127336894412	0.0269206020464356	0.429952061059152	ic9	ER+ High
CURTIS_H004005_T01_01_WG01	0.657902611926982	0.0113052405789204	0.330792147494097	ic8	ER+ Typical
CURTIS_H004006_T01_01_WG01	0.444813989867673	0	0.555186010132327	ic1	ER+ High
CURTIS_H004007_T01_01_WG01	0.316761629610564	0.0280863155439537	0.655152054845483	ic3/ic7	ER+ Typical
CURTIS_H004008_T02_01_WG01	0.359984864204379	0.0341973367783743	0.605817799017247	ic6	ER+ High
CURTIS_H004009_T01_01_WG01	0.666240253752721	0	0.333759746247279	ic10	IC10
CURTIS_H004010_T01_01_WG01	0.325592893491041	0.309198827255199	0.36520827925376	ic3/ic7	ER+ Typical
CURTIS_H004011_T01_01_WG01	0.373794220906757	0.587003094821939	0.0392026842713033	ic3/ic7	ER+ Typical
CURTIS_H004012_T01_01_WG01	0.328793815079078	0.0467433783548688	0.624462806566053	ic9	ER+ High
CURTIS_H004013_T01_01_WG01	0.605007963666495	0.201781008702933	0.193211027630572	ic3/ic7	ER+ Typical
CURTIS_H004014_T01_01_WG01	0.186788924822364	0.00477470693580439	0.808436368241831	ic9	ER+ High
CURTIS_H004017_T01_01_WG01	0.435599832370844	0.0297206137518053	0.534679553877351	ic6	ER+ High
CURTIS_H004019_T01_01_WG01	0.234322649957142	0.054817586931027	0.710859763111831	ic3/ic7	ER+ Typical
CURTIS_H004020_T01_01_WG01	0.13341962717637	0.390504442492553	0.476075930331077	ic6	ER+ High
CURTIS_H004021_T01_01_WG01	0.402067446492467	0.572848088282799	0.0250844652247336	ic1	ER+ High
CURTIS_H004022_T01_01_WG01	0.652204731445167	0.0479903754253393	0.299804893129494	ic10	IC10
CURTIS_H004023_T01_01_WG01	0.219405734479292	0.551267069128046	0.229327196392662	ic8	ER+ Typical
CURTIS_H004024_T01_01_WG01	0.37032501656665	0.0393462562806333	0.590328727152716	ic6	ER+ High
CURTIS_H004025_T01_01_WG01	0.707488529704448	0.0690402733314646	0.223471196964087	ic10	IC10
CURTIS_H004026_T01_01_WG01	0.441955297546603	0	0.558044702453397	ic9	ER+ High
CURTIS_H004027_T01_01_WG01	0.372091517309849	0.130346585415507	0.497561897274644	ic3/ic7	ER+ Typical
CURTIS_H004028_T01_01_WG01	0.064046839949548	0.577831445071797	0.358121714978655	ic2	ER+ High
CURTIS_H004029_T01_01_WG01	0.668405719826434	0	0.331594280173566	ic10	IC10
CURTIS_H004030_T01_01_WG01	0.223469062236671	0.593714474424135	0.182816463339194	ic3/ic7	ER+ Typical
CURTIS_H004031_T01_01_WG01	0.20177847112361	0.382122252857625	0.416099276018765	ic1	ER+ High
CURTIS_H004032_T01_01_WG01	0.62648663722741	0	0.37351336277259	ic3/ic7	ER+ Typical
