Sample	Arc1	Arc2	Arc3	ENiClust	Subgroup
CURTIS_H000378_T01_01_WG01	0.155717718586239	0.263549110527447	0.580733170886314	ic3/ic7	ER+ Typical
CURTIS_H000379_T01_01_WG01	0.468648030071406	0.428206130765554	0.10314583916304	ic10	IC10
CURTIS_H000380_T01_01_WG01	0.189957379848939	0.588304059122418	0.221738561028643	ic6	ER+ High
CURTIS_H000381_T01_01_WG01	0.502285417963666	0.187066738841151	0.310647843195183	ic4	IC4ER-
CURTIS_H000382_T01_01_WG01	0.737218220806301	0.240840583592505	0.0219411956011944	ic9	ER+ High
CURTIS_H000383_T01_01_WG01	0.381066975547831	0.618933024452169	0	ic10	IC10
CURTIS_H000384_T01_01_WG01	0.803642811899194	0.177362381058139	0.0189948070426677	ic10	IC10
CURTIS_H000385_T01_01_WG01	0.470212847814143	0.148150442495811	0.381636709690046	ic8	ER+ Typical
CURTIS_H000386_T01_01_WG01	0.721029982909316	0.0797569500491406	0.199213067041544	ic10	IC10
CURTIS_H000387_T01_01_WG01	0.0791705100726098	0.266560156670594	0.654269333256797	ic1	ER+ High
CURTIS_H000388_T01_01_WG01	0.712864189645152	0.193580398573152	0.0935554117816961	ic10	IC10
CURTIS_H000389_T01_01_WG01	0.552293243248634	0.411026125581717	0.0366806311696488	ic1	ER+ High
CURTIS_H000390_T01_01_WG01	0.571452679433316	0.0961083797526591	0.332438940814025	ic3/ic7	ER+ Typical
CURTIS_H000391_T01_01_WG01	0.520961333370798	0.264408042847331	0.214630623781871	ic5	HER2+
CURTIS_H000392_T01_01_WG01	0.0156013623596636	0.295097650048955	0.689300987591382	ic5	HER2+
CURTIS_H000393_T01_01_WG01	0.317152056595789	0.109339246242929	0.573508697161282	ic5	HER2+
CURTIS_H000394_T01_01_WG01	0.255062889500641	0.594295625848212	0.150641484651147	ic5	HER2+
CURTIS_H000395_T01_01_WG01	0.496412542577846	0.084097807596623	0.419489649825531	ic10	IC10
CURTIS_H000396_T01_01_WG01	0.141073818614557	0.0316190528770687	0.827307128508374	ic9	ER+ High
CURTIS_H000397_T01_01_WG01	0.617087811171217	0.166799353201745	0.216112835627038	ic10	IC10
CURTIS_H000398_T01_01_WG01	0.0727986831675427	0.475328791812964	0.451872525019494	ic3/ic7	ER+ Typical
CURTIS_H000399_T01_01_WG01	0.389169290416269	0.361544956221441	0.24928575336229	ic1	ER+ High
CURTIS_H000400_T01_01_WG01	0.00310812045406745	0.372427109945259	0.624464769600674	ic1	ER+ High
CURTIS_H000401_T01_01_WG01	0.500694969038594	0.441400703874747	0.0579043270866591	ic10	IC10
CURTIS_H000402_T01_01_WG01	0.378069993947755	0	0.621930006052245	ic9	ER+ High
CURTIS_H000403_T01_01_WG01	0.803400475594537	0.147291602642399	0.0493079217630639	ic10	IC10
CURTIS_H000404_T01_01_WG01	0.511401229829784	0.332373792241242	0.156224977928974	ic8	ER+ Typical
CURTIS_H000405_T01_01_WG01	0.395349406967409	0.0388669553613721	0.565783637671218	ic3/ic7	ER+ Typical
CURTIS_H000406_T01_01_WG01	0.734976011831074	0.19053001825331	0.0744939699156164	ic10	IC10
CURTIS_H000407_T01_01_WG01	0.666800741033931	0.187744298594755	0.145454960371314	ic10	IC10
CURTIS_H000408_T01_01_WG01	0.483085835655704	0.512497707152879	0.00441645719141713	ic10	IC10
CURTIS_H000409_T01_01_WG01	0.793219339671413	0.0625306212887804	0.144250039039806	ic10	IC10
CURTIS_H000410_T01_01_WG01	0.200541785654981	0.517553222687193	0.281904991657826	ic8	ER+ Typical
CURTIS_H000411_T01_01_WG01	0.630847281555278	0.130319199713567	0.238833518731155	ic10	IC10
CURTIS_H000412_T01_01_WG01	0	0.0513578530209751	0.948642146979025	ic5	HER2+
CURTIS_H000413_T01_01_WG01	0.805334463986313	0.185602795470341	0.00906274054334604	ic10	IC10
CURTIS_H000414_T01_01_WG01	0.790090381404345	0.0335929324672276	0.176316686128428	ic10	IC10
CURTIS_H000415_T01_01_WG01	0.0309212795437972	0.263487847201825	0.705590873254378	ic1	ER+ High
CURTIS_H000416_T01_01_WG01	0.333544691038875	0.286138228676788	0.380317080284337	ic6	ER+ High
CURTIS_H000417_T01_01_WG01	0.466634423111587	0.460804128673788	0.072561448214625	ic4	ER+ Typical
CURTIS_H000418_T01_01_WG01	0.224523975022172	0.531575386451736	0.243900638526092	ic8	ER+ Typical
CURTIS_H000419_T01_01_WG01	0	0.740840896733795	0.259159103266205	ic6	ER+ High
CURTIS_H000420_T01_01_WG01	0.0372176392263949	0.478243986236276	0.484538374537329	ic3/ic7	ER+ Typical
CURTIS_H000421_T01_01_WG01	0	0.39283955911275	0.60716044088725	ic3/ic7	ER+ Typical
CURTIS_H000422_T01_01_WG01	0.09016517282449	0.697887669394141	0.211947157781369	ic3/ic7	ER+ Typical
CURTIS_H000423_T01_01_WG01	0.413240629143999	0.51565298715458	0.0711063837014208	ic3/ic7	ER+ Typical
CURTIS_H000424_T01_01_WG01	0.0289450958088828	0.971054904191117	0	ic8	ER+ Typical
CURTIS_H000425_T01_01_WG01	0.12795256396744	0.485978557164503	0.386068878868058	ic3/ic7	ER+ Typical
CURTIS_H000426_T01_01_WG01	0.028549416963316	0.368000439882259	0.603450143154425	ic4	NA
CURTIS_H000427_T01_01_WG01	0.226506934092801	0.296248421931663	0.477244643975536	ic3/ic7	ER+ Typical
CURTIS_H000428_T01_01_WG01	0	0.535966031204127	0.464033968795873	ic3/ic7	ER+ Typical
CURTIS_H000429_T01_01_WG01	0.101670395950346	0.420295797145771	0.478033806903882	ic6	ER+ High
CURTIS_H000430_T01_01_WG01	0.0599266285009166	0.734476912449327	0.205596459049756	ic8	ER+ Typical
CURTIS_H000431_T01_01_WG01	0.0769893337193208	0.58379234570016	0.339218320580519	ic3/ic7	ER+ Typical
CURTIS_H000432_T01_01_WG01	0.0087268778958278	0.310947713501828	0.680325408602344	ic2	ER+ High
CURTIS_H000433_T01_01_WG01	0.145307497148293	0.692636927539628	0.162055575312078	ic8	ER+ Typical
CURTIS_H000434_T01_01_WG01	0.293360676745481	0.384302775634069	0.322336547620451	ic8	ER+ Typical
CURTIS_H000435_T01_01_WG01	0.266112874568674	0.315305148287755	0.418581977143571	ic9	ER+ High
CURTIS_H000436_T01_01_WG01	0	0.689082019036368	0.310917980963632	ic4	ER+ Typical
CURTIS_H000437_T01_01_WG01	0.204061668133011	0.318091295639157	0.477847036227832	ic3/ic7	ER+ Typical
CURTIS_H000438_T01_01_WG01	0.000438561194303176	0.39410919008929	0.605452248716407	ic6	ER+ High
CURTIS_H000439_T01_01_WG01	0	0.467696609616707	0.532303390383293	ic8	ER+ Typical
CURTIS_H000440_T01_01_WG01	0.00594247698940762	0.866676378213667	0.127381144796925	ic3/ic7	ER+ Typical
CURTIS_H000441_T01_01_WG01	0.379389554178129	0.415556850973167	0.205053594848705	ic3/ic7	ER+ Typical
CURTIS_H000442_T01_01_WG01	0.282893444012944	0.401133729682497	0.315972826304558	ic3/ic7	ER+ Typical
CURTIS_H000443_T01_01_WG01	0.217844824066142	0.362628026653347	0.419527149280511	ic3/ic7	ER+ Typical
CURTIS_H000444_T01_01_WG01	0.075269620903693	0.621363163724713	0.303367215371594	ic4	ER+ Typical
CURTIS_H000445_T01_01_WG01	0.229346450570877	0.525008631560961	0.245644917868163	ic4	ER+ Typical
CURTIS_H000446_T01_01_WG01	0.186917559438481	0.440850596890917	0.372231843670602	ic4	ER+ Typical
CURTIS_H000447_T01_01_WG01	0.353823067214341	0.586141582852974	0.0600353499326849	ic3/ic7	ER+ Typical
CURTIS_H000448_T01_01_WG01	0.158779727277423	0.440245594237239	0.400974678485338	ic3/ic7	ER+ Typical
CURTIS_H000449_T01_01_WG01	0.0648231772258181	0.805236356086104	0.129940466688078	ic3/ic7	ER+ Typical
CURTIS_H000450_T01_01_WG01	0.0682985284961358	0.623804869851999	0.307896601651866	ic4	ER+ Typical
CURTIS_H000451_T01_01_WG01	0.234605802680078	0.500721228754624	0.264672968565298	ic9	ER+ High
CURTIS_H000452_T01_01_WG01	0.00600387006476418	0.464994973630751	0.529001156304484	ic3/ic7	ER+ Typical
CURTIS_H000453_T01_01_WG01	0.381707425275339	0.481496995979725	0.136795578744936	ic3/ic7	ER+ Typical
CURTIS_H000454_T01_01_WG01	0	0.275432742675962	0.724567257324038	ic4	ER+ Typical
CURTIS_H000455_T01_01_WG01	0.59105571777514	0.182476357423015	0.226467924801845	ic1	ER+ High
CURTIS_H000456_T01_01_WG01	0.0455935688123566	0.380660831917184	0.573745599270459	ic3/ic7	ER+ Typical
CURTIS_H000457_T01_01_WG01	0.174780681837826	0.685021598424354	0.14019771973782	ic3/ic7	ER+ Typical
CURTIS_H000458_T01_01_WG01	0.0415193077207601	0.548378905725297	0.410101786553942	ic3/ic7	ER+ Typical
CURTIS_H000459_T01_01_WG01	0.0964822737690018	0.801420354909928	0.10209737132107	ic3/ic7	ER+ Typical
CURTIS_H000460_T01_01_WG01	0.133046706333303	0.371566677507567	0.49538661615913	ic4	ER+ Typical
CURTIS_H000461_T01_01_WG01	0.117772885764279	0.568035067097511	0.314192047138211	ic8	ER+ Typical
CURTIS_H000462_T01_01_WG01	0.347427809949901	0.558116828424807	0.0944553616252922	ic9	ER+ High
CURTIS_H000463_T01_01_WG01	0.252809990909635	0	0.747190009090365	ic3/ic7	ER+ Typical
CURTIS_H000464_T01_01_WG01	0.00205554267019993	0.561146679499762	0.436797777830038	ic3/ic7	ER+ Typical
CURTIS_H000465_T01_01_WG01	0.372745406999267	0.531589708712301	0.0956648842884316	ic8	ER+ Typical
CURTIS_H000466_T01_01_WG01	0.0857169447688869	0.814110921698894	0.100172133532219	ic3/ic7	ER+ Typical
CURTIS_H000467_T01_01_WG01	0.447242539587682	0.316206404320826	0.236551056091492	ic3/ic7	ER+ Typical
CURTIS_H000468_T01_01_WG01	0.395797812874303	0.123676992907286	0.480525194218411	ic3/ic7	ER+ Typical
CURTIS_H000469_T01_01_WG01	0.354355017090331	0.431577769053794	0.214067213855875	ic3/ic7	ER+ Typical
CURTIS_H000470_T01_01_WG01	0.0579917381017102	0.313804911248022	0.628203350650268	ic3/ic7	ER+ Typical
CURTIS_H000471_T01_01_WG01	0.136519310356656	0.752510177195487	0.110970512447856	ic3/ic7	ER+ Typical
CURTIS_H000472_T01_01_WG01	0.340192622649081	0.0481871112484196	0.611620266102499	ic9	ER+ High
CURTIS_H000473_T01_01_WG01	0	0.442569902286759	0.557430097713241	ic3/ic7	ER+ Typical
CURTIS_H000474_T01_01_WG01	0.320223772221049	0.131323190178148	0.548453037600803	ic3/ic7	ER+ Typical
CURTIS_H000475_T01_01_WG01	0.196385263387768	0.418189341596809	0.385425395015423	ic3/ic7	ER+ Typical
CURTIS_H000476_T01_01_WG01	0.316512442597112	0.617151599468235	0.0663359579346537	ic3/ic7	ER+ Typical
CURTIS_H000477_T01_01_WG01	0.0780897107068535	0.26312695034506	0.658783338948086	ic1	ER+ High
CURTIS_H000478_T01_01_WG01	0.400144166667509	0.514850130536915	0.0850057027955753	ic9	ER+ High
CURTIS_H000479_T01_01_WG01	0.537578888307647	0.341959044355482	0.120462067336871	ic9	ER+ High
CURTIS_H000480_T01_01_WG01	0.729703744267974	0.0802780694518469	0.190018186280179	ic10	IC10
CURTIS_H000481_T01_01_WG01	0.0582091905456634	0.579262277863479	0.362528531590857	ic4	ER+ Typical
CURTIS_H000482_T01_01_WG01	0.431626435164836	0.470816103323022	0.0975574615121418	ic3/ic7	ER+ Typical
CURTIS_H000483_T01_01_WG01	0.0731118502260204	0.671789716194962	0.255098433579018	ic3/ic7	ER+ Typical
CURTIS_H000484_T01_01_WG01	0.615829561426293	0.26460504537747	0.119565393196236	ic6	ER+ High
CURTIS_H000485_T01_01_WG01	0.057428880621723	0.233042480892026	0.709528638486251	ic2	ER+ High
CURTIS_H000486_T01_01_WG01	0.0215344047669868	0.448804454330588	0.529661140902425	ic4	ER+ Typical
CURTIS_H000487_T01_01_WG01	0.147027048952875	0.453808466226064	0.399164484821061	ic5	HER2+
CURTIS_H000488_T01_01_WG01	0.0266626191941513	0.832052558727766	0.141284822078083	ic3/ic7	ER+ Typical
CURTIS_H000489_T01_01_WG01	0.305060654266853	0.190190661252864	0.504748684480284	ic6	ER+ High
CURTIS_H000490_T01_01_WG01	0.0432399852387776	0.412349719556374	0.544410295204848	ic8	ER+ Typical
CURTIS_H000491_T01_01_WG01	0	0.993822078045255	0.00617792195474456	ic3/ic7	ER+ Typical
CURTIS_H000492_T01_01_WG01	0.16318634955458	0.715985596690363	0.120828053755057	ic8	ER+ Typical
CURTIS_H000493_T01_01_WG01	0.0365841250918827	0.790328494793254	0.173087380114863	ic8	ER+ Typical
CURTIS_H000494_T01_01_WG01	0.750633888185525	0.229907256141904	0.0194588556725715	ic3/ic7	ER+ Typical
CURTIS_H000495_T01_01_WG01	0	0.536173243126202	0.463826756873798	ic8	ER+ Typical
CURTIS_H000496_T01_01_WG01	0.152663408128125	0.768281507974655	0.0790550838972202	ic3/ic7	ER+ Typical
CURTIS_H000497_T01_01_WG01	0.422957198579348	0.0455871941583487	0.531455607262303	ic9	ER+ High
CURTIS_H000498_T01_01_WG01	0.287790102211806	0.688181098836748	0.0240287989514454	ic10	IC10
CURTIS_H000499_T01_01_WG01	0.703851207780009	0.125581508680959	0.170567283539032	ic10	IC10
CURTIS_H000500_T01_01_WG01	0.390328280718147	0.325571683506978	0.284100035774875	ic2	ER+ High
CURTIS_H000501_T01_01_WG01	0.475602399475329	0.287517610338465	0.236879990186206	ic10	IC10
CURTIS_H000502_T01_01_WG01	0.646994401386254	0.146159237520253	0.206846361093493	ic5	HER2+
CURTIS_H000503_T01_01_WG01	0.286966985346786	0.43840813072966	0.274624883923554	ic3/ic7	ER+ Typical
CURTIS_H000504_T01_01_WG01	0.347884118464377	0.452368835924604	0.199747045611019	ic10	IC10
CURTIS_H000505_T01_01_WG01	0.0571747372809821	0.424019883279756	0.518805379439262	ic9	ER+ High
CURTIS_H000506_T01_01_WG01	0.339792593695347	0.212707030823435	0.447500375481218	ic10	IC10
CURTIS_H000507_T01_01_WG01	0.465985763707197	0.191799903076598	0.342214333216205	ic4	ER+ Typical
CURTIS_H000509_T01_01_WG01	0.310323081277	0.195042750034927	0.494634168688073	ic4	IC4ER-
CURTIS_H000510_T01_01_WG01	0.553125174836595	0.0728094920226494	0.374065333140756	ic10	IC10
CURTIS_H000511_T01_01_WG01	0.568100212622092	0.0687846745409201	0.363115112836988	ic1	ER+ High
CURTIS_H000513_T01_01_WG01	0.493266555002457	0.00586011206787849	0.500873332929665	ic9	ER+ High
CURTIS_H000514_T01_01_WG01	0.431264118539044	0.403093801872435	0.165642079588521	ic10	IC10
CURTIS_H000515_T01_01_WG01	0.426990202423948	0.491957702543186	0.0810520950328659	ic10	IC10
CURTIS_H000516_T01_01_WG01	0.703491728371797	0.1164573060789	0.180050965549303	ic10	IC10
CURTIS_H000517_T01_01_WG01	0.582664642586171	0.254332254642597	0.163003102771232	ic10	IC10
CURTIS_H000518_T01_01_WG01	0.105088493466811	0.281794696886908	0.61311680964628	ic2	ER+ High
CURTIS_H000519_T01_01_WG01	0.481129709284694	0.420419171502519	0.098451119212787	ic1	ER+ High
CURTIS_H000520_T01_01_WG01	0.367816546754038	0	0.632183453245962	ic5	HER2+
CURTIS_H000521_T01_01_WG01	0.397501294636594	0.579867110406671	0.0226315949567346	ic3/ic7	ER+ Typical
CURTIS_H000522_T01_01_WG01	0.154409597568463	0.752532443329492	0.0930579591020455	ic4	ER+ Typical
CURTIS_H000523_T01_01_WG01	0.183142792711809	0.526633892730008	0.290223314558183	ic5	HER2+
CURTIS_H000524_T01_01_WG01	0.326049942129381	0	0.673950057870619	ic5	HER2+
CURTIS_H000526_T01_01_WG01	0.0751065665038362	0.388900768782817	0.535992664713347	ic3/ic7	ER+ Typical
CURTIS_H000527_T01_01_WG01	0.305197654660791	0.0531269236284962	0.641675421710712	ic1	ER+ High
CURTIS_H000528_T01_01_WG01	0.533761434939484	0.0992342643609567	0.367004300699559	ic10	IC10
CURTIS_H000529_T01_01_WG01	0.00907499277035368	0.19733954671039	0.793585460519256	ic2	ER+ High
CURTIS_H000530_T01_01_WG01	0.312564160704462	0.183155623535878	0.50428021575966	ic5	HER2+
CURTIS_H000531_T01_01_WG01	0.742372603192805	0.201151126533956	0.0564762702732393	ic10	IC10
CURTIS_H000532_T01_01_WG01	0.420794522327073	0.0590919107345532	0.520113566938374	ic3/ic7	ER+ Typical
CURTIS_H000533_T01_01_WG01	0.434828791058345	0.0781760933333581	0.486995115608297	ic10	IC10
CURTIS_H000534_T01_01_WG01	0.178180008762717	0.000588167106946365	0.821231824130337	ic9	ER+ High
