sample	ampliconID	Freq	width	FreqNorm	comparison	stage	index	group
CURTIS_H000380_T01_01_WG01	amplicon1	2	4240683	0.471622141999296	ecdna	a	a ecdna	ER+ High
CURTIS_H000381_T01_01_WG01	amplicon1	5	19096444	0.261828851486696	noncyclic	a	a noncyclic	IC4ER-
CURTIS_H000382_T01_01_WG01	amplicon1	2	10749784	0.186050249939906	noncyclic	a	a noncyclic	ER+ High
CURTIS_H000387_T01_01_WG01	amplicon1	0	20718901	0	ecdna	a	a ecdna	ER+ High
CURTIS_H000390_T01_01_WG01	amplicon1	12	9047976	1.32626346488983	ecdna	a	a ecdna	ER+ Typical
CURTIS_H000392_T01_01_WG01	amplicon1	0	3140447	0	ecdna	a	a ecdna	HER2+
CURTIS_H000393_T01_01_WG01	amplicon1	0	9440122	0	ecdna	a	a ecdna	HER2+
CURTIS_H000394_T01_01_WG01	amplicon1	4	5542614	0.721681141786168	ecdna	a	a ecdna	HER2+
CURTIS_H000396_T01_01_WG01	amplicon1	13	31889135	0.407662358982142	ecdna	a	a ecdna	ER+ High
CURTIS_H000399_T01_01_WG01	amplicon1	8	18617077	0.429712999521891	noncyclic	a	a noncyclic	ER+ High
CURTIS_H000400_T01_01_WG01	amplicon1	12	31635757	0.379317618351917	ecdna	a	a ecdna	ER+ High
CURTIS_H000402_T01_01_WG01	amplicon1	2	12304171	0.16254650557116	ecdna	a	a ecdna	ER+ High
CURTIS_H000405_T01_01_WG01	amplicon1	17	41795955	0.406737924758508	ecdna	a	a ecdna	ER+ Typical
CURTIS_H000406_T01_01_WG01	amplicon1	0	361060	0	noncyclic	a	a noncyclic	IC10
CURTIS_H000407_T01_01_WG01	amplicon1	1	14638322	0.0683138408896867	ecdna	a	a ecdna	IC10
CURTIS_H000409_T01_01_WG01	amplicon1	0	2119266	0	ecdna	a	a ecdna	IC10
CURTIS_H000409_T01_01_WG01	amplicon2	0	439608	0	ecdna	a	a ecdna	IC10
CURTIS_H000412_T01_01_WG01	amplicon2	5	33516483	0.149180330167697	ecdna	a	a ecdna	HER2+
CURTIS_H000412_T01_01_WG01	amplicon3	0	5316622	0	noncyclic	a	a noncyclic	HER2+
