gene	distance	index	recurrence	ecdna	prop	logdistance
A1CF	7694327	all	NA	NA	NA	6.88617069581975
ABI1	17718041	all	NA	NA	NA	7.24841572682985
ABL1	4508330	all	NA	NA	NA	6.6540157942854
ABL2	17850685	all	1	NA	NA	7.25165491066053
ACSL3	184748525	all	NA	NA	NA	8.26658098210004
ACSL6	5112983	all	NA	NA	NA	6.70867443369611
ACVR1	119615751	all	NA	NA	NA	8.0777883749385
ACVR1B	1279158	all	NA	NA	NA	6.10692453082017
ACVR2A	109625363	all	NA	NA	NA	8.03991104840766
AFF1	86109546	all	NA	NA	NA	7.93505130452641
AFF3	61186511	all	NA	NA	NA	7.786655696499
AFF4	6034903	all	NA	NA	NA	6.78067036596578
AKAP9	7957178	all	NA	NA	NA	6.90075912780318
AKT1	11733874	all	NA	NA	NA	7.06944145740176
AKT2	1923382	all	NA	NA	NA	6.28406577317477
AKT3	36562662	all	2	NA	NA	7.56303781955871
ALDH2	2667419	all	NA	NA	NA	6.42609140313697
ALK	8832132	all	NA	NA	NA	6.94606560032299
ANK1	4052998	all	NA	NA	NA	6.60777649658785
APC	13991645	all	NA	NA	NA	7.14586880860674
APOBEC3B	2929307	all	NA	NA	NA	6.46676503766589
ARHGAP26	15974123	all	NA	NA	NA	7.2034170513439
ARHGAP35	335611	all	NA	NA	NA	5.52583748088316
ARHGAP5	22250166	all	4	NA	NA	7.34733327495319
ARHGEF10	20631348	all	1	NA	NA	7.31452762565139
ARHGEF10L	16902	all	1	NA	NA	4.22796379146686
ARHGEF12	43688906	all	NA	NA	NA	7.64037117975634
ARID1A	5382203	all	NA	NA	NA	6.73096015466803
ARID1B	21593777	all	NA	NA	NA	7.3343286321912
ARID2	3221215	all	1	NA	NA	6.50801984759612
ARNT	5650880	all	3	NA	NA	6.75211616173295
ASPM	1819	all	NA	NA	NA	3.26007138798507
ASPSCR1	3722682	all	NA	NA	NA	6.57085605603784
ASXL1	6526600	all	NA	NA	NA	6.81468706316404
ASXL2	12875252	all	NA	NA	NA	7.10975577172677
ATF1	1429502	all	NA	NA	NA	6.15518507111904
ATIC	177199472	all	NA	NA	NA	8.24846242593968
ATM	31574519	all	NA	NA	NA	7.4993367570758
ATP1A1	4858240	all	NA	NA	NA	6.68647905480301
ATR	8171155	all	NA	NA	NA	6.91228350193101
AXIN1	27507691	all	NA	NA	NA	7.43945415295916
AXIN2	12649849	all	16	NA	NA	7.10208537574437
B2M	12067089	all	1	NA	NA	7.08160255184437
BAP1	74872290	all	NA	NA	NA	7.87432112220825
BARD1	176616068	all	NA	NA	NA	8.24703021430696
BAX	1610849	all	NA	NA	NA	6.20705510143396
BAZ1A	19534245	all	NA	NA	NA	7.29079665260411
BCL10	26311618	all	NA	NA	NA	7.420147571808
BCL11A	21701096	all	NA	NA	NA	7.33648168818055
BCL11B	6133812	all	NA	NA	NA	6.78773053162265
BCL2	0	all	NA	NA	NA	0
BCL2L12	2321131	all	2	NA	NA	6.36569983896584
BCL3	2580634	all	NA	NA	NA	6.41172658311978
BCL6	36956010	all	NA	NA	NA	7.56768508770549
BCL7A	2307758	all	NA	NA	NA	6.36319045334199
BCL9	9402053	all	NA	NA	NA	6.97322274119755
BCL9L	42247812	all	NA	NA	NA	7.62580423218239
BCLAF1	1072714	all	2	NA	NA	6.03048435349617
BCR	4015658	all	NA	NA	NA	6.60375682647111
BIRC3	25669154	all	1	NA	NA	7.40941157241599
BIRC6	6132601	all	NA	NA	NA	6.78764478030586
BLM	167594	all	NA	NA	NA	5.2242610578217
BMP5	16433989	all	NA	NA	NA	7.21574301837168
BMPR1A	15209647	all	1	NA	NA	7.18211916320312
BRAF	10926334	all	NA	NA	NA	7.03847451179462
BRCA1	1548886	all	1	NA	NA	6.19001973469493
BRCA2	0	all	NA	NA	NA	0
BRD3	1338249	all	NA	NA	NA	6.12653725205547
BRD4	187552	all	1	NA	NA	5.2731240152904
BRIP1	16266669	all	24	27	0.888888888888889	7.21129865627781
BTG1	16995268	all	1	NA	NA	7.23032804295798
BTG2	2691842	all	4	NA	NA	6.43004972634614
BUB1B	7516614	all	NA	NA	NA	6.87602230631134
CACNA1D	73469808	all	NA	NA	NA	7.8661089108073
CALR	1793517	all	NA	NA	NA	6.25370573967463
CAMTA1	10015160	all	1	NA	NA	7.00065793524213
CANT1	775055	all	6	NA	NA	5.88933308265128
CARD11	33395732	all	NA	NA	NA	7.52369098019667
CARS	1164030	all	NA	NA	NA	6.06596454642183
CASP3	7255760	all	NA	NA	NA	6.86068296891275
CASP8	163120959	all	NA	NA	NA	8.21250976868889
CASP9	1994133	all	NA	NA	NA	6.29975433828118
CBFA2T3	1061894	all	NA	NA	NA	6.02608157590267
CBFB	10677291	all	NA	NA	NA	7.0284611198664
CBL	42557950	all	NA	NA	NA	7.62898071019829
CBLB	21728412	all	NA	NA	NA	7.33702800747506
CBLC	2540032	all	NA	NA	NA	6.40483935899191
CCDC6	870848	all	1	NA	NA	5.93994285747391
CCNB1IP1	34077641	all	NA	NA	NA	7.5324695361587
CCNC	19275073	all	NA	NA	NA	7.2849960540501
CCND1	4374702	all	37	18	2.05555555555556	6.64094857396646
CCND2	2529094	all	NA	NA	NA	6.40296514298651
CCND3	2716421	all	2	NA	NA	6.43399723911171
CCNE1	4554315	all	NA	NA	NA	6.65842316073127
CCR4	94319896	all	NA	NA	NA	7.97460331782541
CCR7	4104650	all	19	NA	NA	6.61327623692011
CD209	2843215	all	NA	NA	NA	6.45380985443005
CD274	90375264	all	NA	NA	NA	7.95604958375065
CD28	165593991	all	NA	NA	NA	8.21904457587531
CD74	23605032	all	NA	NA	NA	7.3730046119144
CD79A	3568347	all	NA	NA	NA	6.55246720195684
CD79B	14197885	all	19	27	0.703703703703704	7.1522236847435
CDC73	3825564	all	1	NA	NA	6.58269558544035
CDH1	12385436	all	NA	NA	NA	7.09291133456662
CDH10	43817246	all	NA	NA	NA	7.6416450877325
CDH11	8594926	all	NA	NA	NA	6.93424219240971
