Subtype	Pathways_Altered	Stage	Proportion
ER+ High	1	Metastatic	0.202830188679245
ER+ High	1	Primary	0.248175182481752
ER+ High	2	Metastatic	0.122641509433962
ER+ High	2	Primary	0.124087591240876
ER+ High	3	Metastatic	0.0424528301886792
ER+ High	3	Primary	0.0364963503649635
ER+ Typical	1	Metastatic	0.246418338108883
ER+ Typical	1	Primary	0.216129032258065
ER+ Typical	2	Metastatic	0.166189111747851
ER+ Typical	2	Primary	0.12258064516129
ER+ Typical	3	Metastatic	0.0487106017191977
ER+ Typical	3	Primary	0.0129032258064516
ER+ Typical	3	Metastatic	0.00286532951289398
HER2+	1	Metastatic	0.491228070175439
HER2+	1	Primary	0.285714285714286
HER2+	2	Metastatic	0.0701754385964912
HER2+	2	Primary	0.1
HER2+	3	Metastatic	0.0526315789473684
HER2+	3	Primary	0.0285714285714286
IC10	1	Metastatic	0.236842105263158
IC10	1	Primary	0.335664335664336
IC10	2	Metastatic	0.25
IC10	2	Primary	0.174825174825175
IC10	3	Metastatic	0.0789473684210526
IC10	3	Primary	0.118881118881119
IC10	3	Metastatic	0.105263157894737
IC10	3	Primary	0.034965034965035
IC10	3	Metastatic	0.0131578947368421
IC10	3	Metastatic	0.0131578947368421
IC4ER-	1	Metastatic	0.263157894736842
IC4ER-	1	Primary	0.2
IC4ER-	2	Metastatic	0.210526315789474
IC4ER-	2	Primary	0.2
IC4ER-	3	Metastatic	0.105263157894737
IC4ER-	3	Primary	0.05
IC4ER-	3	Metastatic	0.0526315789473684
