PCAWG	Individual.System.ID	NikZainal	TCGA	our_snvs	pcawg_snvs
DO1000	CURTIS_H000378	PD3851	NA	2941	2133
DO1001	CURTIS_H000379	PD3890	NA	6448	6115
DO1002	CURTIS_H000380	PD3904	NA	6653	5909
DO1003	CURTIS_H000381	PD3905	NA	7292	5122
DO1004	CURTIS_H000382	PD3945	NA	14505	12000
DO1005	CURTIS_H000383	PD4005	NA	7503	6788
DO1007	CURTIS_H000385	PD4085	NA	4142	3327
DO1008	CURTIS_H000386	PD4086	NA	2168	2108
DO1009	CURTIS_H000387	PD4088	NA	2118	2032
DO1010	CURTIS_H000388	PD4109	NA	12379	11161
DO1011	CURTIS_H000389	PD4115	NA	11548	10328
DO1012	CURTIS_H000390	PD4116	NA	9722	8974
DO1013	CURTIS_H000391	PD4192	NA	19274	4916
DO1014	CURTIS_H000392	PD4194	NA	4006	1770
DO1015	CURTIS_H000393	PD4198	NA	6242	5746
DO1016	CURTIS_H000394	PD4199	NA	7792	7174
DO1017	CURTIS_H000395	PD4248	NA	2777	2493
DO1018	CURTIS_H000396	PD4103	NA	6209	5938
DO1020	CURTIS_H000397	PD4107	NA	10551	10361
DO1076	CURTIS_H000398	PD4120	NA	59756	65065
DO1249	CURTIS_H000399	NA	TCGA-D8-A27H	15037	12274
DO1257	CURTIS_H000400	NA	TCGA-BH-A0DG	3675	2791
DO1274	CURTIS_H000401	NA	TCGA-D8-A27F	9548	7809
DO1281	CURTIS_H000402	NA	TCGA-AR-A2LK	4853	3301
DO1287	CURTIS_H000403	NA	TCGA-AO-A124	18241	14769
DO1290	CURTIS_H000404	NA	TCGA-E9-A1NH	3683	2445
DO1291	CURTIS_H000405	NA	TCGA-AR-A24Z	6944	4271
DO1301	CURTIS_H000406	NA	TCGA-BH-A0B3	6462	3200
DO1328	CURTIS_H000407	NA	TCGA-AC-A2BK	11324	9312
DO1384	CURTIS_H000408	NA	TCGA-BH-A0E0	4260	3654
DO1392	CURTIS_H000409	NA	TCGA-A7-A13D	14682	8572
DO1537	CURTIS_H000410	NA	TCGA-B6-A0WX	4642	3003
DO1559	CURTIS_H000411	NA	TCGA-AO-A0J4	10074	8909
DO1663	CURTIS_H000412	NA	TCGA-AR-A0TX	32694	31634
DO1954	CURTIS_H000413	NA	TCGA-B6-A0RU	5312	4439
DO2055	CURTIS_H000414	NA	TCGA-C8-A12L	9030	6857
DO2078	CURTIS_H000415	NA	TCGA-BH-A18R	4845	3890
DO2084	CURTIS_H000416	NA	TCGA-BH-A0H6	3421	2041
DO2096	CURTIS_H000417	NA	TCGA-B6-A0X5	6048	4571
DO2114	CURTIS_H000418	NA	TCGA-BH-A0H0	3518	2186
DO217786	CURTIS_H000419	PD4965	NA	3292	2951
DO217787	CURTIS_H000420	PD4970	NA	3066	2707
DO217788	CURTIS_H000421	PD5936	NA	4179	3107
DO217800	CURTIS_H000422	PD7216	NA	2318	1621
DO217826	CURTIS_H000423	PD3989	NA	2907	2546
DO217844	CURTIS_H000424	PD4607	NA	37279	36115
DO217865	CURTIS_H000425	PD9569	NA	2785	2303
DO217887	CURTIS_H000426	PD7208	NA	4157	2998
DO217907	CURTIS_H000427	PD6422	NA	6580	5903
DO217908	CURTIS_H000428	PD4266	NA	3621	3169
DO217931	CURTIS_H000429	PD9599	NA	4323	3650
DO217934	CURTIS_H000430	PD4963	NA	2276	1942
DO217939	CURTIS_H000431	PD4069	NA	2751	2117
DO217952	CURTIS_H000432	PD7433	NA	2843	2310
DO217953	CURTIS_H000433	PD7218	NA	1857	1500
DO217962	CURTIS_H000434	PD4982	NA	1903	1493
DO217987	CURTIS_H000435	PD4971	NA	3333	2998
DO218059	CURTIS_H000436	PD4613	NA	2484	2300
DO218060	CURTIS_H000437	PD4608	NA	2775	2538
DO218062	CURTIS_H000438	PD6044	NA	3200	2903
DO218065	CURTIS_H000439	PD4224	NA	8417	8476
DO218072	CURTIS_H000440	PD9570	NA	1803	1484
DO218121	CURTIS_H000441	PD4267	NA	2563	2240
DO218150	CURTIS_H000442	PD4959	NA	5445	4655
DO218159	CURTIS_H000443	PD9605	NA	4383	3289
DO218167	CURTIS_H000444	PD5961	NA	2998	2440
DO218168	CURTIS_H000445	PD5956	NA	5314	4363
DO218173	CURTIS_H000446	PD4072	NA	55930	55654
DO218174	CURTIS_H000447	PD7209	NA	2305	1785
DO218176	CURTIS_H000448	PD7219	NA	13242	12716
DO218182	CURTIS_H000449	PD4983	NA	2125	1843
DO218205	CURTIS_H000450	PD4967	NA	4160	3967
DO218212	CURTIS_H000451	PD4953	NA	8620	7599
DO218254	CURTIS_H000452	PD6417	NA	2127	1742
DO218269	CURTIS_H000453	PD4604	NA	10828	10260
DO218333	CURTIS_H000455	PD9000	NA	10738	9804
DO218347	CURTIS_H000456	PD7199	NA	1645	1255
DO218377	CURTIS_H000457	PD9589	NA	2071	1478
DO218384	CURTIS_H000458	PD9573	NA	2335	1775
DO218388	CURTIS_H000459	PD4986	NA	2640	1961
DO218404	CURTIS_H000460	PD6719	NA	4788	5449
DO218408	CURTIS_H000461	PD7210	NA	1818	1335
DO218419	CURTIS_H000462	PD4954	NA	6614	5791
DO218428	CURTIS_H000463	PD4968	NA	6091	5730
DO218457	CURTIS_H000464	PD7214	NA	2213	1863
DO218478	CURTIS_H000465	PD6418	NA	2554	2114
DO218488	CURTIS_H000466	PD8618	NA	2428	1803
DO218489	CURTIS_H000467	PD8623	NA	3431	2643
DO218502	CURTIS_H000468	PD4605	NA	3285	2867
DO218506	CURTIS_H000469	PD6041	NA	2524	1993
DO218553	CURTIS_H000470	PD9001	NA	3514	2845
DO218560	CURTIS_H000471	PD9572	NA	4886	4439
DO218573	CURTIS_H000472	PD9567	NA	4772	4167
DO218583	CURTIS_H000473	PD9574	NA	2212	1673
DO218605	CURTIS_H000474	PD7206	NA	5753	5234
DO218611	CURTIS_H000475	PD6720	NA	2423	2028
DO218621	CURTIS_H000476	PD7221	NA	2361	2062
DO218651	CURTIS_H000477	PD5947	NA	2138	2046
DO218656	CURTIS_H000478	PD5928	NA	8836	7616
DO218669	CURTIS_H000479	PD7215	NA	7061	6676
DO218684	CURTIS_H000480	PD6049	NA	10282	9003
DO218698	CURTIS_H000481	PD4606	NA	1326	1203
DO218709	CURTIS_H000482	PD6042	NA	8252	8178
DO218742	CURTIS_H000485	PD4315	NA	3504	3547
DO218770	CURTIS_H000486	PD7201	NA	2247	1712
DO218796	CURTIS_H000487	PD4962	NA	8844	9242
DO218827	CURTIS_H000488	PD4981	NA	2245	1892
DO218828	CURTIS_H000489	PD4976	NA	6805	6879
DO218831	CURTIS_H000490	PD6721	NA	2530	2405
DO220820	CURTIS_H000491	PD4985	NA	2597	2114
DO220821	CURTIS_H000492	PD4080	NA	3186	2628
DO220822	CURTIS_H000493	PD4225	NA	2557	2055
DO220823	CURTIS_H000494	PD6043	NA	24061	23237
DO220824	CURTIS_H000495	PD7207	NA	3408	2850
DO220825	CURTIS_H000496	PD8622	NA	2493	1768
DO220828	CURTIS_H000497	PD9002	NA	10255	8646
DO2222	CURTIS_H000498	NA	TCGA-AN-A04D	9693	7566
DO2252	CURTIS_H000499	NA	TCGA-AO-A0J2	10141	8206
DO2323	CURTIS_H000500	NA	TCGA-AN-A0G0	5615	3600
DO2341	CURTIS_H000501	NA	TCGA-EW-A3U0	22137	18803
DO2455	CURTIS_H000502	NA	TCGA-E2-A14P	9868	8393
