Sample	pcawg_sv	our_sv
CURTIS_H000378_T01_01_WG01	33	25
CURTIS_H000379_T01_01_WG01	277	329
CURTIS_H000380_T01_01_WG01	249	353
CURTIS_H000381_T01_01_WG01	175	174
CURTIS_H000382_T01_01_WG01	179	203
CURTIS_H000383_T01_01_WG01	258	248
CURTIS_H000385_T01_01_WG01	98	57
CURTIS_H000386_T01_01_WG01	89	63
CURTIS_H000387_T01_01_WG01	228	198
CURTIS_H000388_T01_01_WG01	240	183
CURTIS_H000389_T01_01_WG01	249	379
CURTIS_H000390_T01_01_WG01	426	434
CURTIS_H000391_T01_01_WG01	192	96
CURTIS_H000392_T01_01_WG01	33	27
CURTIS_H000393_T01_01_WG01	329	227
CURTIS_H000394_T01_01_WG01	107	105
CURTIS_H000395_T01_01_WG01	182	133
CURTIS_H000396_T01_01_WG01	803	748
CURTIS_H000397_T01_01_WG01	416	404
CURTIS_H000398_T01_01_WG01	NA	101
CURTIS_H000399_T01_01_WG01	552	594
CURTIS_H000400_T01_01_WG01	487	441
CURTIS_H000401_T01_01_WG01	226	310
CURTIS_H000402_T01_01_WG01	31	31
CURTIS_H000403_T01_01_WG01	763	908
CURTIS_H000404_T01_01_WG01	6	9
CURTIS_H000405_T01_01_WG01	740	647
CURTIS_H000406_T01_01_WG01	280	247
CURTIS_H000407_T01_01_WG01	256	241
CURTIS_H000408_T01_01_WG01	61	64
CURTIS_H000409_T01_01_WG01	530	488
CURTIS_H000410_T01_01_WG01	86	77
CURTIS_H000411_T01_01_WG01	460	358
CURTIS_H000412_T01_01_WG01	397	373
CURTIS_H000413_T01_01_WG01	227	217
CURTIS_H000414_T01_01_WG01	744	788
CURTIS_H000415_T01_01_WG01	320	294
CURTIS_H000416_T01_01_WG01	117	41
CURTIS_H000417_T01_01_WG01	59	30
CURTIS_H000418_T01_01_WG01	86	48
CURTIS_H000419_T01_01_WG01	46	43
CURTIS_H000420_T01_01_WG01	53	47
CURTIS_H000421_T01_01_WG01	155	138
CURTIS_H000422_T01_01_WG01	5	0
CURTIS_H000423_T01_01_WG01	21	21
CURTIS_H000424_T01_01_WG01	29	42
CURTIS_H000425_T01_01_WG01	72	67
CURTIS_H000426_T01_01_WG01	235	148
CURTIS_H000427_T01_01_WG01	529	392
CURTIS_H000428_T01_01_WG01	12	9
CURTIS_H000429_T01_01_WG01	180	143
CURTIS_H000430_T01_01_WG01	19	19
CURTIS_H000431_T01_01_WG01	6	7
CURTIS_H000432_T01_01_WG01	91	86
CURTIS_H000433_T01_01_WG01	1	5
CURTIS_H000434_T01_01_WG01	0	1
CURTIS_H000435_T01_01_WG01	473	401
CURTIS_H000436_T01_01_WG01	28	26
CURTIS_H000437_T01_01_WG01	95	86
CURTIS_H000438_T01_01_WG01	83	78
CURTIS_H000439_T01_01_WG01	46	35
CURTIS_H000440_T01_01_WG01	3	2
CURTIS_H000441_T01_01_WG01	1	5
CURTIS_H000442_T01_01_WG01	161	194
CURTIS_H000443_T01_01_WG01	66	78
CURTIS_H000444_T01_01_WG01	114	95
CURTIS_H000445_T01_01_WG01	828	719
CURTIS_H000446_T01_01_WG01	2	2
CURTIS_H000447_T01_01_WG01	1	2
CURTIS_H000448_T01_01_WG01	91	82
CURTIS_H000449_T01_01_WG01	0	3
CURTIS_H000450_T01_01_WG01	23	20
CURTIS_H000451_T01_01_WG01	249	263
CURTIS_H000452_T01_01_WG01	203	161
CURTIS_H000453_T01_01_WG01	344	409
CURTIS_H000455_T01_01_WG01	331	393
CURTIS_H000456_T01_01_WG01	82	72
CURTIS_H000457_T01_01_WG01	19	18
CURTIS_H000458_T01_01_WG01	45	37
CURTIS_H000459_T01_01_WG01	21	26
CURTIS_H000460_T01_01_WG01	144	117
CURTIS_H000461_T01_01_WG01	2	1
CURTIS_H000462_T01_01_WG01	178	211
CURTIS_H000463_T01_01_WG01	318	336
CURTIS_H000464_T01_01_WG01	27	27
CURTIS_H000465_T01_01_WG01	3	6
CURTIS_H000466_T01_01_WG01	22	14
CURTIS_H000467_T01_01_WG01	39	40
CURTIS_H000468_T01_01_WG01	149	128
CURTIS_H000469_T01_01_WG01	7	11
CURTIS_H000470_T01_01_WG01	45	40
CURTIS_H000471_T01_01_WG01	23	24
CURTIS_H000472_T01_01_WG01	161	139
CURTIS_H000473_T01_01_WG01	25	22
