Sample	our_fraction_cna	pcawg_pga
CURTIS_H000378_T01_01_WG01	0.85	80.06
CURTIS_H000378_T01_01_WG01	0.85	80.06
CURTIS_H000378_T01_01_WG01	0.85	80.06
CURTIS_H000378_T01_01_WG01	0.85	80.06
CURTIS_H000378_T01_01_WG01	0.85	80.06
CURTIS_H000379_T01_01_WG01	0.67	51.57
CURTIS_H000379_T01_01_WG01	0.67	51.57
CURTIS_H000379_T01_01_WG01	0.67	51.57
CURTIS_H000379_T01_01_WG01	0.67	51.57
CURTIS_H000379_T01_01_WG01	0.67	51.57
CURTIS_H000380_T01_01_WG01	0.38	30.68
CURTIS_H000380_T01_01_WG01	0.38	30.68
CURTIS_H000380_T01_01_WG01	0.38	30.68
CURTIS_H000380_T01_01_WG01	0.38	30.68
CURTIS_H000380_T01_01_WG01	0.38	30.68
CURTIS_H000381_T01_01_WG01	0.72	40.02
CURTIS_H000381_T01_01_WG01	0.72	40.02
CURTIS_H000381_T01_01_WG01	0.72	40.02
CURTIS_H000381_T01_01_WG01	0.72	40.02
CURTIS_H000381_T01_01_WG01	0.72	40.02
CURTIS_H000382_T01_01_WG01	0.99	82.32
CURTIS_H000382_T01_01_WG01	0.99	82.32
CURTIS_H000382_T01_01_WG01	0.99	82.32
CURTIS_H000382_T01_01_WG01	0.99	82.32
CURTIS_H000382_T01_01_WG01	0.99	82.32
CURTIS_H000383_T01_01_WG01	0.58	48.99
CURTIS_H000383_T01_01_WG01	0.58	48.99
CURTIS_H000383_T01_01_WG01	0.58	48.99
CURTIS_H000383_T01_01_WG01	0.58	48.99
CURTIS_H000383_T01_01_WG01	0.58	48.99
CURTIS_H000385_T01_01_WG01	0.87	94.62
CURTIS_H000385_T01_01_WG01	0.87	94.62
CURTIS_H000385_T01_01_WG01	0.87	94.62
CURTIS_H000385_T01_01_WG01	0.87	94.62
CURTIS_H000385_T01_01_WG01	0.87	94.62
CURTIS_H000386_T01_01_WG01	1	44.44
CURTIS_H000386_T01_01_WG01	1	44.44
CURTIS_H000386_T01_01_WG01	1	44.44
CURTIS_H000386_T01_01_WG01	1	44.44
CURTIS_H000386_T01_01_WG01	1	44.44
CURTIS_H000387_T01_01_WG01	0.31	28.32
CURTIS_H000387_T01_01_WG01	0.31	28.32
CURTIS_H000387_T01_01_WG01	0.31	28.32
CURTIS_H000387_T01_01_WG01	0.31	28.32
CURTIS_H000387_T01_01_WG01	0.31	28.32
CURTIS_H000388_T01_01_WG01	0.89	73.02
CURTIS_H000388_T01_01_WG01	0.89	73.02
CURTIS_H000388_T01_01_WG01	0.89	73.02
