reference	metrics	value	model	set
iC10 DNA+RNA	F1 IC1	0.666666666666667	ENiClust	validation
iC10 DNA+RNA	F1 IC2	0.714285714285714	ENiClust	validation
iC10 DNA+RNA	F1 IC6	0.777777777777778	ENiClust	validation
iC10 DNA+RNA	F1 IC9	0.64	ENiClust	validation
iC10 DNA+RNA	F1 Typical	0.894230769230769	ENiClust	validation
iC10 DNA+RNA	F1 IC5	0.823529411764706	ENiClust	validation
iC10 DNA+RNA	F1 IC10	0.771929824561403	ENiClust	validation
iC10 DNA+RNA	F1 IC4ER-	0.4	ENiClust	validation
iC10 DNA+RNA	F1 TNBC	0.883116883116883	ENiClust	validation
iC10 DNA+RNA	P IC1	0.714285714285714	ENiClust	validation
iC10 DNA+RNA	P IC2	0.625	ENiClust	validation
iC10 DNA+RNA	P IC6	0.777777777777778	ENiClust	validation
iC10 DNA+RNA	P IC9	0.727272727272727	ENiClust	validation
iC10 DNA+RNA	P Typical	0.911764705882353	ENiClust	validation
iC10 DNA+RNA	P IC5	0.736842105263158	ENiClust	validation
iC10 DNA+RNA	P IC10	0.733333333333333	ENiClust	validation
iC10 DNA+RNA	P IC4ER-	0.4	ENiClust	validation
iC10 DNA+RNA	P TNBC	0.85	ENiClust	validation
iC10 DNA+RNA	R IC1	0.625	ENiClust	validation
iC10 DNA+RNA	R IC2	0.833333333333333	ENiClust	validation
iC10 DNA+RNA	R IC6	0.777777777777778	ENiClust	validation
iC10 DNA+RNA	R IC9	0.571428571428571	ENiClust	validation
iC10 DNA+RNA	R Typical	0.877358490566038	ENiClust	validation
iC10 DNA+RNA	R IC5	0.933333333333333	ENiClust	validation
iC10 DNA+RNA	R IC10	0.814814814814815	ENiClust	validation
iC10 DNA+RNA	R IC4ER-	0.4	ENiClust	validation
iC10 DNA+RNA	R TNBC	0.918918918918919	ENiClust	validation
iC10 DNA+RNA	PR AUC IC1	0.823291776424769	ENiClust	validation
iC10 DNA+RNA	PR AUC IC2	0.828273809523809	ENiClust	validation
iC10 DNA+RNA	PR AUC IC6	0.870055715889049	ENiClust	validation
iC10 DNA+RNA	PR AUC IC9	0.749910531289399	ENiClust	validation
iC10 DNA-only	F1 IC1	0.648648648648649	ENiClust	validation
iC10 DNA-only	F1 IC2	0.777777777777778	ENiClust	validation
iC10 DNA-only	F1 IC6	1	ENiClust	validation
iC10 DNA-only	F1 IC9	0.486486486486487	ENiClust	validation
iC10 DNA-only	F1 Typical	0.81	ENiClust	validation
iC10 DNA-only	F1 IC5	0.8	ENiClust	validation
iC10 DNA-only	F1 IC10	0.478260869565217	ENiClust	validation
iC10 DNA-only	F1 IC4ER-	0.4	ENiClust	validation
iC10 DNA-only	F1 TNBC	0.557377049180328	ENiClust	validation
iC10 DNA-only	P IC1	0.857142857142857	ENiClust	validation
iC10 DNA-only	P IC2	0.875	ENiClust	validation
iC10 DNA-only	P IC6	1	ENiClust	validation
iC10 DNA-only	P IC9	0.818181818181818	ENiClust	validation
iC10 DNA-only	P Typical	0.794117647058823	ENiClust	validation
iC10 DNA-only	P IC5	0.736842105263158	ENiClust	validation
iC10 DNA-only	P IC10	0.366666666666667	ENiClust	validation
iC10 DNA-only	P IC4ER-	0.3	ENiClust	validation
iC10 DNA-only	P TNBC	0.425	ENiClust	validation
iC10 DNA-only	R IC1	0.521739130434783	ENiClust	validation
iC10 DNA-only	R IC2	0.7	ENiClust	validation
iC10 DNA-only	R IC6	1	ENiClust	validation
iC10 DNA-only	R IC9	0.346153846153846	ENiClust	validation
iC10 DNA-only	R Typical	0.826530612244898	ENiClust	validation
iC10 DNA-only	R IC5	0.875	ENiClust	validation
iC10 DNA-only	R IC10	0.6875	ENiClust	validation
iC10 DNA-only	R IC4ER-	0.6	ENiClust	validation
iC10 DNA-only	R TNBC	0.80952380952381	ENiClust	validation
iC10 DNA-only	PR AUC IC1	0.8317833700776	ENiClust	validation
iC10 DNA-only	PR AUC IC2	0.89359934086629	ENiClust	validation
iC10 DNA-only	PR AUC IC6	1	ENiClust	validation
iC10 DNA-only	PR AUC IC9	0.699866003352931	ENiClust	validation
iC10 DNA+RNA	F1 IC1	0.583333333333333	rand_59_cv_noLOW_v14	icgc
iC10 DNA+RNA	F1 IC2	0.615384615384615	rand_59_cv_noLOW_v14	icgc
iC10 DNA+RNA	F1 IC6	0.888888888888889	rand_59_cv_noLOW_v14	icgc
iC10 DNA+RNA	F1 IC9	0.615384615384615	rand_59_cv_noLOW_v14	icgc
iC10 DNA+RNA	F1 Typical	0.904761904761905	rand_59_cv_noLOW_v14	icgc
iC10 DNA+RNA	F1 IC5	0.4	rand_59_cv_noLOW_v14	icgc
iC10 DNA+RNA	F1 IC10	0.764705882352941	rand_59_cv_noLOW_v14	icgc
iC10 DNA+RNA	F1 IC4ER-	0.666666666666667	rand_59_cv_noLOW_v14	icgc
iC10 DNA+RNA	F1 TNBC	0.85	rand_59_cv_noLOW_v14	icgc
iC10 DNA+RNA	P IC1	0.875	rand_59_cv_noLOW_v14	icgc
iC10 DNA+RNA	P IC2	1	rand_59_cv_noLOW_v14	icgc
iC10 DNA+RNA	P IC6	0.8	rand_59_cv_noLOW_v14	icgc
iC10 DNA+RNA	P IC9	1	rand_59_cv_noLOW_v14	icgc
iC10 DNA+RNA	P Typical	0.832116788321168	rand_59_cv_noLOW_v14	icgc
iC10 DNA+RNA	P IC5	1	rand_59_cv_noLOW_v14	icgc
iC10 DNA+RNA	P IC10	0.722222222222222	rand_59_cv_noLOW_v14	icgc
iC10 DNA+RNA	P IC4ER-	0.666666666666667	rand_59_cv_noLOW_v14	icgc
iC10 DNA+RNA	P TNBC	0.80952380952381	rand_59_cv_noLOW_v14	icgc
iC10 DNA+RNA	R IC1	0.4375	rand_59_cv_noLOW_v14	icgc
iC10 DNA+RNA	R IC2	0.444444444444444	rand_59_cv_noLOW_v14	icgc
iC10 DNA+RNA	R IC6	1	rand_59_cv_noLOW_v14	icgc
iC10 DNA+RNA	R IC9	0.444444444444444	rand_59_cv_noLOW_v14	icgc
iC10 DNA+RNA	R Typical	0.991304347826087	rand_59_cv_noLOW_v14	icgc
iC10 DNA+RNA	R IC5	0.25	rand_59_cv_noLOW_v14	icgc
iC10 DNA+RNA	R IC10	0.8125	rand_59_cv_noLOW_v14	icgc
iC10 DNA+RNA	R IC4ER-	0.666666666666667	rand_59_cv_noLOW_v14	icgc
iC10 DNA+RNA	R TNBC	0.894736842105263	rand_59_cv_noLOW_v14	icgc
iC10 DNA+RNA	PR AUC IC1	0.726111943552411	rand_59_cv_noLOW_v14	icgc
iC10 DNA+RNA	PR AUC IC2	0.823042929292929	rand_59_cv_noLOW_v14	icgc
iC10 DNA+RNA	PR AUC IC6	0.871924603174603	rand_59_cv_noLOW_v14	icgc
iC10 DNA+RNA	PR AUC IC9	0.747992234532912	rand_59_cv_noLOW_v14	icgc
iC10 DNA-only	F1 IC1	0.636363636363636	rand_59_cv_noLOW_v14	icgc
iC10 DNA-only	F1 IC2	0.545454545454545	rand_59_cv_noLOW_v14	icgc
iC10 DNA-only	F1 IC6	0.947368421052632	rand_59_cv_noLOW_v14	icgc
iC10 DNA-only	F1 IC9	0.432432432432432	rand_59_cv_noLOW_v14	icgc
iC10 DNA-only	F1 Typical	0.87843137254902	rand_59_cv_noLOW_v14	icgc
iC10 DNA-only	F1 IC5	0.5	rand_59_cv_noLOW_v14	icgc
iC10 DNA-only	F1 IC10	0.538461538461539	rand_59_cv_noLOW_v14	icgc
iC10 DNA-only	F1 IC4ER-	0.5	rand_59_cv_noLOW_v14	icgc
iC10 DNA-only	F1 TNBC	0.6	rand_59_cv_noLOW_v14	icgc
iC10 DNA-only	P IC1	0.875	rand_59_cv_noLOW_v14	icgc
iC10 DNA-only	P IC2	0.75	rand_59_cv_noLOW_v14	icgc
iC10 DNA-only	P IC6	0.9	rand_59_cv_noLOW_v14	icgc
iC10 DNA-only	P IC9	1	rand_59_cv_noLOW_v14	icgc
iC10 DNA-only	P Typical	0.817518248175182	rand_59_cv_noLOW_v14	icgc
iC10 DNA-only	P IC5	1	rand_59_cv_noLOW_v14	icgc
