varexpl	t_ratio	total_var	k	nb.PCs	nb.archetypes	dataset
0.529798700391154	NA	0.157434487195869	2	2	2	Primary
0.99592020163972	0.710957554218677	0.0126783654822655	3	2	3	Primary
0.998070871645724	NA	0.345469567554872	4	2	4	Primary
0.999499308810405	NA	0.0558828355037759	5	2	5	Primary
0.999604114350436	NA	0.222607285795412	6	2	6	Primary
0.38051130231713	NA	0.285868464414364	2	3	2	Primary
0.711570805548156	0.511244426100066	0.671282007737339	3	3	3	Primary
0.963254484969211	0.329980302009674	0.0377036710019376	4	3	4	Primary
0.983686202285588	NA	0.230069690814322	5	3	5	Primary
0.992504884846372	NA	0.0758453718864672	6	3	6	Primary
0.313181820326928	NA	0.0733485204835468	2	4	2	Primary
0.579977302412069	0.515665903760682	0.297794895634609	3	4	3	Primary
0.77667311450282	0.271551242635903	0.447872378990092	4	4	4	Primary
0.921874747820282	0.133576906817317	0.0845777604239987	5	4	5	Primary
0.962230467243731	NA	0.042054036784307	6	4	6	Primary
0.264699487810127	NA	0.0704191036689052	2	5	2	Primary
0.491161166068487	0.469934423272732	0.133161694193931	3	5	3	Primary
0.650002585823323	0.199885217537154	0.767640974993343	4	5	4	Primary
0.77501699009751	0.0657782023302402	0.542064744592091	5	5	5	Primary
0.882435015182914	0.0494145282386677	0.283054716417471	6	5	6	Primary
0.231232671339539	NA	0.0108964243515667	2	6	2	Primary
0.426552075011512	0.43931900855547	0.0903023642016623	3	6	3	Primary
0.565303501994506	0.148905237274414	0.528361718922407	4	6	4	Primary
0.680677821787179	0.0438770577148039	0.787761738319051	5	6	5	Primary
0.785910546762605	0.0283206131271838	0.438119347129897	6	6	6	Primary
0.205447889046192	NA	0.0171607692232632	2	7	2	Primary
0.374392131946689	0.397976982556989	0.594525731921757	3	7	3	Primary
0.500628023721304	0.0788785945435106	0.917623112694512	4	7	4	Primary
0.60830420679437	0.0274439065962982	0.668083220008064	5	7	5	Primary
0.703096334166957	0.0205106386685164	0.727536525785327	6	7	6	Primary
0.185122219326622	NA	0.0264879218918679	2	8	2	Primary
0.318105635260763	0.2377400164567	1.55959289785405	3	8	3	Primary
0.449834346364168	0.0618049187763155	0.893169891638666	4	8	4	Primary
0.554711543318816	0.0211373348228981	0.844810863498434	5	8	5	Primary
0.642797921481153	0.0165367444929224	0.905048468327498	6	8	6	Primary
0.146634513223016	NA	1.05140232748968	2	9	2	Primary
0.2833043369547	0.222034479322256	1.37071428771618	3	9	3	Primary
0.41040981242868	0.0518208155351879	1.0119596772199	4	9	4	Primary
0.506757774154946	0.0158962993990544	1.01084305777091	5	9	5	Primary
0.589625923762377	0.0150213092106908	1.08454126002139	6	9	6	Primary
0.134413852542652	NA	0.963439383959445	2	10	2	Primary
0.265199016903449	0.254638394889414	1.30011752442197	3	10	3	Primary
0.378261939052784	0.0534300339418101	0.943414838316183	4	10	4	Primary
0.465810657934185	0.0133774653596399	1.02227148162197	5	10	5	Primary
0.545703797260877	0.0141242521379955	1.2761585798243	6	10	6	Primary
0.533436341156456	NA	0.25136846696287	2	2	2	Metastatic
0.985305498049949	0.523717028246901	0.195754899194661	3	2	3	Metastatic
0.995854791352726	NA	1.02043306142485	4	2	4	Metastatic
0.99940710765676	NA	0.317991533918639	5	2	5	Metastatic
0.999750096612875	NA	0.30812799898099	6	2	6	Metastatic
