rho	p	nmf_lf	feature	fdr	stage	code
0.148972262600819	0.000197114487437897	LF1	bfb	0.000318415710476603	primary	1. TNBC -enriched
-0.329451561375178	3.66969627417142e-17	LF2	bfb	1.6223920370021e-16	primary	2. ER+ Typical -enriched
0.232393072867986	4.76401991745514e-09	LF3	bfb	1.33392557688744e-08	primary	3. HER2+/ER+ High -enriched
0.0655682606084409	0.102869768913448	LF1	chromoplexy	0.121705078714502	primary	1. TNBC -enriched
-0.213569117695304	7.91022885397908e-08	LF2	chromoplexy	1.95429183451248e-07	primary	2. ER+ Typical -enriched
0.227043011518054	1.08587870174196e-08	LF3	chromoplexy	2.85043159207265e-08	primary	3. HER2+/ER+ High -enriched
0.0174789905730413	0.664013783102421	LF1	chromothripsis	0.715091766417992	primary	1. TNBC -enriched
-0.147057304251282	0.00023850005968399	LF2	chromothripsis	0.000371000092841762	primary	2. ER+ Typical -enriched
0.171326370828442	1.7936954610046e-05	LF3	chromothripsis	3.27544388531274e-05	primary	3. HER2+/ER+ High -enriched
0.541915290435799	1.29903245530138e-48	LF1	del	1.81864543742193e-47	primary	1. TNBC -enriched
-0.384472590047304	2.82989022710668e-23	LF2	del	1.58473852717974e-22	primary	2. ER+ Typical -enriched
-0.203051922164652	3.41524070339247e-07	LF3	del	7.75351943472885e-07	primary	3. HER2+/ER+ High -enriched
0.232027405542394	5.04324483756684e-09	LF1	dm	1.36655666566327e-08	primary	1. TNBC -enriched
-0.33076996636257	2.70300899417974e-17	LF2	dm	1.26140419728388e-16	primary	2. ER+ Typical -enriched
0.136414929585495	0.000659745001478415	LF3	dm	0.000955492760761842	primary	3. HER2+/ER+ High -enriched
0.563200186782622	3.56367717320091e-53	LF1	dup	5.98697765097753e-52	primary	1. TNBC -enriched
-0.403323911160698	1.18064438170431e-25	LF2	dup	7.08386629022584e-25	primary	2. ER+ Typical -enriched
-0.233521401315716	3.99378061173931e-09	LF3	dup	1.15681921167621e-08	primary	3. HER2+/ER+ High -enriched
0.138726863472351	0.000532080482621423	LF1	inv	0.000784118605968414	primary	1. TNBC -enriched
-0.107672287188594	0.00728749414699766	LF2	inv	0.00971665886266355	primary	2. ER+ Typical -enriched
-0.00858956138429506	0.830975450782558	LF3	inv	0.872524223321686	primary	3. HER2+/ER+ High -enriched
0.152007107182201	0.000145041790488495	LF1	invdup	0.00023889236080458	primary	1. TNBC -enriched
-0.111624626296628	0.00539381475370127	LF2	invdup	0.00730774902114365	primary	2. ER+ Typical -enriched
-0.0680120679553816	0.0906404509124362	LF3	invdup	0.108768541094923	primary	3. HER2+/ER+ High -enriched
0.167382945272311	2.80212054453777e-05	LF1	pyrgo	5.00804522853558e-05	primary	1. TNBC -enriched
-0.0738820031300271	0.0659964484277731	LF2	pyrgo	0.0815250245284256	primary	2. ER+ Typical -enriched
