term	model	estimate	std.error	conf.low	conf.high	p.value	Function	dataset	axis
ER+ High	Arc1	0.271566519681956	0.0163298616886904	0.239504501509684	0.303628537854228	1.69616144759513e-52	lm()	Primary	1
ER+ High	Arc2	0.274712224278098	0.0171875933312846	0.240966137493608	0.308458311062589	3.5566338260283e-49	lm()	Primary	2
ER+ High	Arc3	0.453721256039946	0.0164630241905959	0.421397786874557	0.486044725205334	2.0144466800374e-113	lm()	Primary	3
ER+ High	LF1	0.548460692189552	0.0387389305298818	0.472400752534113	0.624520631844991	3.79638787041452e-40	lm()	Primary	1
ER+ High	LF2	0.319729647165543	0.0361787559062672	0.248696349307282	0.390762945023803	8.02483803241459e-18	lm()	Primary	2
ER+ High	LF3	0.656693208098817	0.0316508708655355	0.594549950782568	0.718836465415065	1.00844700780588e-74	lm()	Primary	3
ER+ Typical	Arc1	-0.0746540996089993	0.0196285018658622	-0.113192661387119	-0.0361155378308793	0.000155365147941164	lm()	Primary	1
ER+ Typical	Arc2	0.205392991334215	0.0206594957265592	0.164830178247215	0.245955804421216	7.36403846092415e-22	lm()	Primary	2
ER+ Typical	Arc3	-0.130738891725216	0.0197885632593354	-0.169591717727005	-0.0918860657234272	7.83771112988002e-11	lm()	Primary	3
ER+ Typical	LF1	-0.246362482333625	0.0465642137504395	-0.337786567601789	-0.154938397065461	1.63595918068988e-07	lm()	Primary	1
ER+ Typical	LF2	0.405016285498299	0.04348688258043	0.31963422616862	0.490398344827977	1.61442726759533e-19	lm()	Primary	2
ER+ Typical	LF3	-0.204222267001397	0.0380443625110796	-0.278918493181165	-0.129526040821629	1.08765456944472e-07	lm()	Primary	3
HER2+	Arc1	-0.0493269242725554	0.0280813937468907	-0.104461877267233	0.00580802872212247	0.0794334623470279	lm()	Primary	1
HER2+	Arc2	-0.0413281219695486	0.0295563786820991	-0.0993590574714901	0.0167028135323929	0.162476667916242	lm()	Primary	2
HER2+	Arc3	0.090655046242104	0.02831038458096	0.0350704930962932	0.146239599387915	0.00142635361677635	lm()	Primary	3
HER2+	LF1	-0.138490987160973	0.066616801922852	-0.269286284423556	-0.00769568989839026	0.0379925256298333	lm()	Primary	1
HER2+	LF2	0.00732550687210943	0.0622142372816395	-0.114825803673249	0.129476817417468	0.906302711891622	lm()	Primary	2
HER2+	LF3	0.137716221799768	0.0544279298962252	0.0308525317894287	0.244579911810107	0.0116188147483034	lm()	Primary	3
IC10	Arc1	0.300699392845387	0.0228897176610121	0.255757766419131	0.345641019271642	2.35348304501342e-35	lm()	Primary	1
IC10	Arc2	-0.012613815271906	0.0240920080111805	-0.0599160161959937	0.0346883856521816	0.600746354221454	lm()	Primary	2
IC10	Arc3	-0.288085577573481	0.023076372767452	-0.333393682266896	-0.242777472880066	2.11375251749221e-32	lm()	Primary	3
IC10	LF1	0.472901244749176	0.0543007160270485	0.366287326198208	0.579515163300144	2.24299345222777e-17	lm()	Primary	1
IC10	LF2	-0.035332320453203	0.0507120956569194	-0.134900348860463	0.0642357079540568	0.486209673796066	lm()	Primary	2
IC10	LF3	-0.459826357207359	0.0443653174563637	-0.546933133836686	-0.372719580578032	1.69615873277845e-23	lm()	Primary	3
IC4ER-	Arc1	0.134257366517686	0.0343509809723831	0.0668127183529875	0.201702014682385	0.000102042427424923	lm()	Primary	1
IC4ER-	Arc2	0.102249819432786	0.0361552781486765	0.0312626177573882	0.173237021108184	0.0048183117157759	lm()	Primary	2
IC4ER-	Arc3	-0.236507185950472	0.0346310974030299	-0.304501814161602	-0.168512557739343	1.86954815120125e-11	lm()	Primary	3
IC4ER-	LF1	0.136054603857911	0.0814899899883452	-0.023942681463501	0.296051889179323	0.0954534259985904	lm()	Primary	1
IC4ER-	LF2	0.173480769240112	0.0761044875598299	0.0240573687452607	0.322904169734964	0.0229404697151939	lm()	Primary	2
IC4ER-	LF3	-0.356782644635375	0.0665797716838201	-0.487505236799814	-0.226060052470936	1.14266357193813e-07	lm()	Primary	3
ER+ High	Arc1	0.289052391376386	0.0120550190113566	0.265384527978076	0.312720254774696	1.81077118798917e-93	lm()	Metastatic	1
ER+ High	Arc2	0.261321852095927	0.0156052303588049	0.230683786732163	0.291959917459691	2.82531657318128e-53	lm()	Metastatic	2
ER+ High	Arc3	0.449625756527687	0.0133579384761273	0.423399844910445	0.475851668144929	4.63376045910784e-149	lm()	Metastatic	3
ER+ High	LF1	0.458718475527776	0.0322534759462882	0.395394571840997	0.522042379214555	1.46608232332488e-40	lm()	Metastatic	1
ER+ High	LF2	0.532972034668793	0.036050620180033	0.462193120671098	0.603750948666488	2.66646401521336e-43	lm()	Metastatic	2
ER+ High	LF3	0.493544712191376	0.0454814598619961	0.404250039312356	0.582839385070396	1.7470274955043e-25	lm()	Metastatic	3
