donor	sample	myc_rna	tissue	myc_cn
TCGA-3C-AAAU	TCGA-3C-AAAU-01A-11R-A41B-07	2223.74	01A	3
TCGA-3C-AALI	TCGA-3C-AALI-01A-11R-A41B-07	176.726	01A	4
TCGA-3C-AALJ	TCGA-3C-AALJ-01A-31R-A41B-07	1214.87	01A	7
TCGA-3C-AALK	TCGA-3C-AALK-01A-11R-A41B-07	1405.88	01A	2
TCGA-4H-AAAK	TCGA-4H-AAAK-01A-12R-A41B-07	4137.45	01A	5
TCGA-5L-AAT0	TCGA-5L-AAT0-01A-12R-A41B-07	1586.16	01A	2
TCGA-5L-AAT1	TCGA-5L-AAT1-01A-12R-A41B-07	1141.81	01A	2
TCGA-5T-A9QA	TCGA-5T-A9QA-01A-11R-A41B-07	1612.97	01A	4
TCGA-A1-A0SD	TCGA-A1-A0SD-01A-11R-A115-07	2210.9	01A	3
TCGA-A1-A0SE	TCGA-A1-A0SE-01A-11R-A084-07	2149.57	01A	3
TCGA-A1-A0SF	TCGA-A1-A0SF-01A-11R-A144-07	1777.45	01A	3
TCGA-A1-A0SG	TCGA-A1-A0SG-01A-11R-A144-07	435.244	01A	4
TCGA-A1-A0SH	TCGA-A1-A0SH-01A-11R-A084-07	665.965	01A	3
TCGA-A1-A0SI	TCGA-A1-A0SI-01A-11R-A144-07	418.776	01A	2
TCGA-A1-A0SJ	TCGA-A1-A0SJ-01A-11R-A084-07	1566.71	01A	5
TCGA-A1-A0SK	TCGA-A1-A0SK-01A-12R-A084-07	5105.89	01A	8
TCGA-A1-A0SM	TCGA-A1-A0SM-01A-11R-A084-07	449.495	01A	2
TCGA-A1-A0SN	TCGA-A1-A0SN-01A-11R-A144-07	1158.76	01A	5
TCGA-A1-A0SO	TCGA-A1-A0SO-01A-22R-A084-07	3414.02	01A	2
TCGA-A1-A0SP	TCGA-A1-A0SP-01A-11R-A084-07	4907.7	01A	5
TCGA-A1-A0SQ	TCGA-A1-A0SQ-01A-21R-A144-07	999.697	01A	2
TCGA-A2-A04N	TCGA-A2-A04N-01A-11R-A115-07	1467.91	01A	5
TCGA-A2-A04P	TCGA-A2-A04P-01A-31R-A034-07	852.697	01A	3
TCGA-A2-A04Q	TCGA-A2-A04Q-01A-21R-A034-07	2423.06	01A	4
TCGA-A2-A04R	TCGA-A2-A04R-01A-41R-A109-07	3549.76	01A	3
TCGA-A2-A04T	TCGA-A2-A04T-01A-21R-A034-07	2826.74	01A	7
TCGA-A2-A04U	TCGA-A2-A04U-01A-11R-A115-07	3018.57	01A	4
TCGA-A2-A04V	TCGA-A2-A04V-01A-21R-A034-07	1749.44	01A	3
TCGA-A2-A04W	TCGA-A2-A04W-01A-31R-A115-07	861.273	01A	3
TCGA-A2-A04X	TCGA-A2-A04X-01A-21R-A034-07	646.301	01A	2
TCGA-A2-A04Y	TCGA-A2-A04Y-01A-21R-A034-07	1215.12	01A	26
TCGA-A2-A0CK	TCGA-A2-A0CK-01A-11R-A22K-07	3161.62	01A	2
TCGA-A2-A0CL	TCGA-A2-A0CL-01A-11R-A115-07	1779.1	01A	3
TCGA-A2-A0CM	TCGA-A2-A0CM-01A-31R-A034-07	8041.08	01A	5
TCGA-A2-A0CO	TCGA-A2-A0CO-01A-13R-A22K-07	5483.45	01A	2
TCGA-A2-A0CP	TCGA-A2-A0CP-01A-11R-A034-07	1703.08	01A	7
TCGA-A2-A0CQ	TCGA-A2-A0CQ-01A-21R-A034-07	429.12	01A	6
TCGA-A2-A0CR	TCGA-A2-A0CR-01A-11R-A22K-07	1596.7	01A	2
TCGA-A2-A0CS	TCGA-A2-A0CS-01A-11R-A115-07	331.334	01A	4
TCGA-A2-A0CT	TCGA-A2-A0CT-01A-31R-A056-07	4670.99	01A	8
TCGA-A2-A0CU	TCGA-A2-A0CU-01A-12R-A034-07	1247.04	01A	4
TCGA-A2-A0CV	TCGA-A2-A0CV-01A-31R-A115-07	2062.42	01A	4
TCGA-A2-A0CW	TCGA-A2-A0CW-01A-21R-A115-07	711.596	01A	6
TCGA-A2-A0CX	TCGA-A2-A0CX-01A-21R-A00Z-07	3121.38	01A	4
TCGA-A2-A0D0	TCGA-A2-A0D0-01A-11R-A00Z-07	3435.34	01A	4
TCGA-A2-A0D1	TCGA-A2-A0D1-01A-11R-A034-07	135.138	01A	5
TCGA-A2-A0D2	TCGA-A2-A0D2-01A-21R-A034-07	2637.59	01A	0
TCGA-A2-A0D3	TCGA-A2-A0D3-01A-11R-A115-07	1610.83	01A	3
TCGA-A2-A0D4	TCGA-A2-A0D4-01A-11R-A00Z-07	1444.66	01A	12
TCGA-A2-A0EM	TCGA-A2-A0EM-01A-11R-A034-07	901.278	01A	0
TCGA-A2-A0EN	TCGA-A2-A0EN-01A-13R-A084-07	920.717	01A	0
TCGA-A2-A0EO	TCGA-A2-A0EO-01A-11R-A034-07	2805.6	01A	0
TCGA-A2-A0EP	TCGA-A2-A0EP-01A-52R-A22U-07	2503.66	01A	2
TCGA-A2-A0EQ	TCGA-A2-A0EQ-01A-11R-A034-07	882.487	01A	0
TCGA-A2-A0ER	TCGA-A2-A0ER-01A-21R-A034-07	690.409	01A	2
TCGA-A2-A0ES	TCGA-A2-A0ES-01A-11R-A115-07	3887.81	01A	2
TCGA-A2-A0ET	TCGA-A2-A0ET-01A-31R-A034-07	2225.89	01A	3
TCGA-A2-A0EU	TCGA-A2-A0EU-01A-22R-A056-07	2519.48	01A	6
TCGA-A2-A0EV	TCGA-A2-A0EV-01A-11R-A034-07	339.649	01A	3
TCGA-A2-A0EW	TCGA-A2-A0EW-01A-21R-A115-07	3300.39	01A	2
TCGA-A2-A0EX	TCGA-A2-A0EX-01A-21R-A034-07	3915.94	01A	9
TCGA-A2-A0EY	TCGA-A2-A0EY-01A-11R-A034-07	556.531	01A	5
TCGA-A2-A0SU	TCGA-A2-A0SU-01A-11R-A084-07	2111.92	01A	2
TCGA-A2-A0SV	TCGA-A2-A0SV-01A-11R-A084-07	4214.29	01A	7
TCGA-A2-A0SW	TCGA-A2-A0SW-01A-11R-A084-07	367.653	01A	6
TCGA-A2-A0SX	TCGA-A2-A0SX-01A-12R-A084-07	3312.46	01A	5
TCGA-A2-A0SY	TCGA-A2-A0SY-01A-31R-A084-07	2342.86	01A	2
TCGA-A2-A0T0	TCGA-A2-A0T0-01A-22R-A084-07	9947.38	01A	11
TCGA-A2-A0T1	TCGA-A2-A0T1-01A-21R-A084-07	623.229	01A	3
TCGA-A2-A0T2	TCGA-A2-A0T2-01A-11R-A084-07	838.163	01A	4
TCGA-A2-A0T3	TCGA-A2-A0T3-01A-21R-A115-07	3521.84	01A	4
TCGA-A2-A0T4	TCGA-A2-A0T4-01A-31R-A084-07	2812.59	01A	2
TCGA-A2-A0T5	TCGA-A2-A0T5-01A-21R-A084-07	3475.52	01A	3
TCGA-A2-A0T6	TCGA-A2-A0T6-01A-11R-A084-07	2239.72	01A	3
TCGA-A2-A0T7	TCGA-A2-A0T7-01A-21R-A084-07	1773.38	01A	8
TCGA-A2-A0YC	TCGA-A2-A0YC-01A-11R-A109-07	1004.56	01A	2
TCGA-A2-A0YD	TCGA-A2-A0YD-01A-11R-A109-07	1597.55	01A	2
TCGA-A2-A0YE	TCGA-A2-A0YE-01A-11R-A109-07	591.255	01A	4
TCGA-A2-A0YF	TCGA-A2-A0YF-01A-21R-A109-07	1727.68	01A	2
TCGA-A2-A0YG	TCGA-A2-A0YG-01A-21R-A109-07	625.102	01A	5
TCGA-A2-A0YH	TCGA-A2-A0YH-01A-11R-A109-07	2319.11	01A	11
TCGA-A2-A0YI	TCGA-A2-A0YI-01A-31R-A10J-07	1106.14	01A	2
TCGA-A2-A0YJ	TCGA-A2-A0YJ-01A-11R-A109-07	6341.74	01A	7
TCGA-A2-A0YK	TCGA-A2-A0YK-01A-22R-A109-07	2109.85	01A	2
TCGA-A2-A0YL	TCGA-A2-A0YL-01A-21R-A109-07	4008.33	01A	2
TCGA-A2-A0YM	TCGA-A2-A0YM-01A-11R-A109-07	6827.05	01A	6
TCGA-A2-A0YT	TCGA-A2-A0YT-01A-11R-A109-07	1303.22	01A	14
TCGA-A2-A1FV	TCGA-A2-A1FV-01A-11R-A13Q-07	5181.47	01A	5
TCGA-A2-A1FW	TCGA-A2-A1FW-01A-11R-A13Q-07	2242.27	01A	6
TCGA-A2-A1FX	TCGA-A2-A1FX-01A-11R-A13Q-07	1721.48	01A	8
TCGA-A2-A1FZ	TCGA-A2-A1FZ-01A-51R-A14D-07	986.347000000001	01A	2
TCGA-A2-A1G0	TCGA-A2-A1G0-01A-11R-A13Q-07	3113.08	01A	5
TCGA-A2-A1G1	TCGA-A2-A1G1-01A-21R-A13Q-07	2474.61	01A	4
TCGA-A2-A1G4	TCGA-A2-A1G4-01A-11R-A13Q-07	1532.03	01A	3
TCGA-A2-A1G6	TCGA-A2-A1G6-01A-11R-A13Q-07	2705.14	01A	2
TCGA-A2-A259	TCGA-A2-A259-01A-11R-A16F-07	4345.08	01A	9
TCGA-A2-A25A	TCGA-A2-A25A-01A-12R-A16F-07	2537.59	01A	2
TCGA-A2-A25B	TCGA-A2-A25B-01A-11R-A169-07	1526.68	01A	7
TCGA-A2-A25C	TCGA-A2-A25C-01A-11R-A169-07	989.413000000001	01A	2
TCGA-A2-A25D	TCGA-A2-A25D-01A-12R-A16F-07	7635.19	01A	5
TCGA-A2-A25E	TCGA-A2-A25E-01A-11R-A169-07	3309.75	01A	4
TCGA-A2-A25F	TCGA-A2-A25F-01A-11R-A169-07	2114.86	01A	2
TCGA-A2-A3KC	TCGA-A2-A3KC-01A-11R-A213-07	4124.98	01A	2
TCGA-A2-A3KD	TCGA-A2-A3KD-01A-12R-A213-07	2482.4	01A	3
TCGA-A2-A3XS	TCGA-A2-A3XS-01A-11R-A22U-07	2707.81	01A	8
TCGA-A2-A3XT	TCGA-A2-A3XT-01A-11R-A22U-07	6165.49	01A	6
TCGA-A2-A3XU	TCGA-A2-A3XU-01A-12R-A22U-07	18166	01A	5
TCGA-A2-A3XV	TCGA-A2-A3XV-01A-21R-A239-07	1482.15	01A	2
TCGA-A2-A3XW	TCGA-A2-A3XW-01A-11R-A239-07	11149.9	01A	2
TCGA-A2-A3XX	TCGA-A2-A3XX-01A-21R-A239-07	7233.66	01A	10
