donor	sample	myc_cn	myc_rna
CURTIS_H004004	CURTIS_H004004_T01_01_WG01	13	11.0567146294189
CURTIS_H004005	CURTIS_H004005_T01_01_WG01	3	10.3890452461916
CURTIS_H004006	CURTIS_H004006_T01_01_WG01	6	10.5196212420745
CURTIS_H004007	CURTIS_H004007_T01_01_WG01	11	11.5460260446933
CURTIS_H004008	CURTIS_H004008_T02_01_WG01	4	9.57388403146077
CURTIS_H004009	CURTIS_H004009_T01_01_WG01	8	12.6606837233886
CURTIS_H004010	CURTIS_H004010_T01_01_WG01	4	9.65694357084283
CURTIS_H004011	CURTIS_H004011_T01_01_WG01	2	8.30067098358687
CURTIS_H004012	CURTIS_H004012_T01_01_WG01	11	10.0094858911719
CURTIS_H004014	CURTIS_H004014_T01_01_WG01	12	10.3638214196412
CURTIS_H004017	CURTIS_H004017_T01_01_WG01	18	9.11988542782736
CURTIS_H004019	CURTIS_H004019_T01_01_WG01	4	7.86945684451138
CURTIS_H004021	CURTIS_H004021_T01_01_WG01	3	9.22315604147053
CURTIS_H004023	CURTIS_H004023_T01_01_WG01	2	10.1657294217373
CURTIS_H004024	CURTIS_H004024_T01_01_WG01	6	10.4380231046055
CURTIS_H004025	CURTIS_H004025_T01_01_WG01	6	11.580549345275
CURTIS_H004028	CURTIS_H004028_T01_01_WG01	4	10.7036829851315
CURTIS_H004030	CURTIS_H004030_T01_01_WG01	2	9.1180235540283
CURTIS_H004031	CURTIS_H004031_T01_01_WG01	4	10.1157990365207
CURTIS_H004032	CURTIS_H004032_T01_01_WG01	4	10.4863318530795
CURTIS_H004033	CURTIS_H004033_T01_01_WG01	4	8.04128906060327
CURTIS_H004034	CURTIS_H004034_T01_01_WG01	2	7.0098151068779
CURTIS_H004035	CURTIS_H004035_T01_01_WG01	2	9.25894411290991
CURTIS_H004037	CURTIS_H004037_T01_01_WG01	2	11.424006965618
CURTIS_H004038	CURTIS_H004038_T01_01_WG01	5	10.8169444659813
CURTIS_H004039	CURTIS_H004039_T01_01_WG01	5	9.84188380103536
CURTIS_H004040	CURTIS_H004040_T01_01_WG01	3	7.41605952908065
CURTIS_H004041	CURTIS_H004041_T01_01_WG01	11	12.61984694456
CURTIS_H004042	CURTIS_H004042_T01_01_WG01	11	10.2080829572052
CURTIS_H004043	CURTIS_H004043_T01_01_WG01	4	9.60663916211224
CURTIS_H004044	CURTIS_H004044_T01_01_WG01	6	11.0571545275927
CURTIS_H004046	CURTIS_H004046_T01_01_WG01	14	9.87686347661136
CURTIS_H004048	CURTIS_H004048_T01_01_WG01	6	11.4111515226341
CURTIS_H004050	CURTIS_H004050_T01_01_WG01	10	11.4412318270598
CURTIS_H004051	CURTIS_H004051_T01_01_WG01	4	10.5031621139262
CURTIS_H004056	CURTIS_H004056_T01_01_WG01	4	10.9437661529418
CURTIS_H004070	CURTIS_H004070_T02_01_WG01	4	9.75468130500573
CURTIS_H004076	CURTIS_H004076_T01_01_WG01	6	9.78437140386078
CURTIS_H004079	CURTIS_H004079_T01_01_WG01	2	8.0440478400185
CURTIS_H004082	CURTIS_H004082_T02_01_WG01	3	10.8566525530049
CURTIS_H004090	CURTIS_H004090_T02_01_WG01	4	7.87493197294287
CURTIS_H004093	CURTIS_H004093_T02_01_WG01	9	10.3120646015272
CURTIS_H004094	CURTIS_H004094_T01_01_WG01	4	9.04137063515793
CURTIS_H004095	CURTIS_H004095_T01_01_WG01	6	12.1380443773703
CURTIS_H004097	CURTIS_H004097_T01_01_WG01	5	9.30696236659496
CURTIS_H004098	CURTIS_H004098_T02_01_WG01	4	9.86046527478916
CURTIS_H004099	CURTIS_H004099_T01_01_WG01	3	7.39109351899859
CURTIS_H004100	CURTIS_H004100_T01_01_WG01	10	12.4682254015832
CURTIS_H004101	CURTIS_H004101_T01_01_WG01	2	7.94895061224298
CURTIS_H004102	CURTIS_H004102_T01_01_WG01	5	10.8891729253848
