Sample,group,cohort,ecdna,FGFR1,MYC,CCND1,ERBB2,MSI2,PPM1D,TypeI_IFN,Cohort,SampleToJoin,label
CURTIS_H000400,ER+ High,PCAWG,TRUE,2.1,2.1,2.1,2.1,2.1,2.1,-0.0499276145648346,TCGA,TCGA-BH-A0DG,ic1
CURTIS_H000401,IC10,PCAWG,FALSE,1.7,1.7,1.7,1.7,1.7,1.7,-0.182606166856332,TCGA,TCGA-D8-A27F,IC10
CURTIS_H000402,ER+ High,PCAWG,TRUE,3,3,3,3,3,3,-0.13527978207831,TCGA,TCGA-AR-A2LK,ic9
CURTIS_H000403,IC10,PCAWG,FALSE,2.8,2.8,2.8,2.8,2.8,2.8,-0.0262468167133297,TCGA,TCGA-AO-A124,IC10
CURTIS_H000406,IC10,PCAWG,FALSE,3.7,3.7,3.7,3.7,3.7,3.7,0.326400854320532,TCGA,TCGA-BH-A0B3,IC10
CURTIS_H000407,IC10,PCAWG,TRUE,3.9,3.9,3.9,3.9,3.9,3.9,-0.249017991792956,TCGA,TCGA-AC-A2BK,IC10
CURTIS_H000408,IC10,PCAWG,FALSE,1.5,1.5,1.5,1.5,1.5,1.5,-0.272362652372169,TCGA,TCGA-BH-A0E0,IC10
CURTIS_H000411,IC10,PCAWG,FALSE,3.9,3.9,3.9,3.9,3.9,3.9,0.166342254819009,TCGA,TCGA-AO-A0J4,IC10
CURTIS_H000412,HER2+,PCAWG,TRUE,2,2,2,2,2,2,0.0745713073833747,TCGA,TCGA-AR-A0TX,HER2+
CURTIS_H000413,IC10,PCAWG,FALSE,3.6,3.6,3.6,3.6,3.6,3.6,-0.181951163722515,TCGA,TCGA-B6-A0RU,IC10
CURTIS_H000414,IC10,PCAWG,FALSE,3.3,3.3,3.3,3.3,3.3,3.3,-0.0860333250311197,TCGA,TCGA-C8-A12L,IC10
CURTIS_H000415,ER+ High,PCAWG,TRUE,2.2,2.2,2.2,2.2,2.2,2.2,-0.135633392136035,TCGA,TCGA-BH-A18R,ic1
CURTIS_H000416,ER+ High,PCAWG,FALSE,2.7,2.7,2.7,2.7,2.7,2.7,-0.24023901996218,TCGA,TCGA-BH-A0H6,ic6
CURTIS_H000418,ER+ High,PCAWG,FALSE,2,2,2,2,2,2,-0.242180278483165,TCGA,TCGA-BH-A0H0,ic9
CURTIS_H000429,ER+ High,PCAWG,TRUE,1.9,1.9,1.9,1.9,1.9,1.9,0.321109185581081,Nik-Zainal,CURTIS_H000429,ic6
CURTIS_H000435,ER+ High,PCAWG,TRUE,3.5,3.5,3.5,3.5,3.5,3.5,0.256986853622219,Nik-Zainal,CURTIS_H000435,ic9
CURTIS_H000451,ER+ High,PCAWG,FALSE,2,2,2,2,2,2,-0.258295308838954,Nik-Zainal,CURTIS_H000451,ic9
CURTIS_H000477,ER+ High,PCAWG,TRUE,2.1,2.1,2.1,2.1,2.1,2.1,-0.0240486730275264,Nik-Zainal,CURTIS_H000477,ic1
CURTIS_H000478,ER+ High,PCAWG,FALSE,2.1,2.1,2.1,2.1,2.1,2.1,-0.318516908269775,Nik-Zainal,CURTIS_H000478,ic9
CURTIS_H000487,HER2+,PCAWG,FALSE,3.4,3.4,3.4,3.4,3.4,3.4,-0.0283996105899712,Nik-Zainal,CURTIS_H000487,HER2+
CURTIS_H000489,ER+ High,PCAWG,FALSE,3.1,3.1,3.1,3.1,3.1,3.1,0.0320126358833322,Nik-Zainal,CURTIS_H000489,ic6
CURTIS_H000498,IC10,PCAWG,FALSE,2.2,2.2,2.2,2.2,2.2,2.2,-0.474394350016814,TCGA,TCGA-AN-A04D,IC10
CURTIS_H000499,ER+ High,PCAWG,FALSE,3.6,3.6,3.6,3.6,3.6,3.6,0.323656356295452,TCGA,TCGA-AO-A0J2,ic1
CURTIS_H000500,ER+ High,PCAWG,TRUE,3.2,3.2,3.2,3.2,3.2,3.2,-0.114698934240238,TCGA,TCGA-AN-A0G0,ic2
CURTIS_H000501,IC10,PCAWG,TRUE,2,2,2,2,2,2,0.0131745333406848,TCGA,TCGA-EW-A3U0,IC10
