sample	ampliconID	Freq	width	FreqNorm	tf	type	group
CURTIS_H003222_T01_01_WG01	amplicon1	107	6722818	15.9159447719691	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004006_T01_01_WG01	amplicon1	40	5624615	7.11159786047578	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004012_T01_01_WG01	amplicon1	9	2131147	4.22307799508903	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004017_T01_01_WG01	amplicon1	113	22150041	5.10157069235222	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004020_T01_01_WG01	amplicon1	145	17156327	8.45169248639292	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004024_T01_01_WG01	amplicon1	79	9409814	8.39549007026069	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004026_T01_01_WG01	amplicon1	680	27250271	24.9538802751723	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004028_T01_01_WG01	amplicon1	114	5974366	19.0815226251622	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004050_T01_01_WG01	amplicon1	190	15665643	12.1284520526863	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004068_T01_01_WG01	amplicon1	14	2243289	6.24083655739408	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004069_T01_01_WG01	amplicon1	350	52595650	6.65454272359026	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004070_T02_01_WG01	amplicon1	105	10883487	9.64764325992212	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004071_T01_01_WG01	amplicon1	230	18997998	12.106538804773	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004073_T01_01_WG01	amplicon1	27	5668173	4.76343964801357	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004074_T01_01_WG01	amplicon1	184	25917304	7.09950386814925	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004081_T01_01_WG01	amplicon1	218	29554087	7.3763063633128	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004083_T01_01_WG01	amplicon1	260	34471772	7.54240310013654	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004084_T01_01_WG01	amplicon1	309	12277312	25.1683756183764	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004086_T01_01_WG01	amplicon1	82	7656464	10.709904728867	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004088_T01_01_WG01	amplicon1	420	24149380	17.391750844121	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004092_T02_01_WG01	amplicon1	286	25830453	11.0722022567703	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004114_T01_01_WG01	amplicon1	443	15121852	29.295353505642	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004117_T01_01_WG01	amplicon1	150	13348971	11.2368211752052	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004123_T01_01_WG01	amplicon1	498	29839296	16.6894017874953	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004131_T01_01_WG01	amplicon1	44	10637543	4.13629350311439	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004164_T01_01_WG01	amplicon1	124	10130066	12.2407889543859	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004171_T01_01_WG01	amplicon1	218	15061966	14.4735421657438	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004175_T01_01_WG01	amplicon1	76	3808315	19.9563323937227	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004177_T01_01_WG01	amplicon1	372	14688209	25.3264370080791	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004189_T01_01_WG01	amplicon1	177	29797208	5.94015385602571	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004202_T01_01_WG01	amplicon1	106	30298851	3.49848250021098	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004203_T01_01_WG01	amplicon1	143	23179801	6.16916426504266	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004205_T01_01_WG01	amplicon1	37	9128357	4.0533033491131	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004207_T01_01_WG01	amplicon1	371	23256619	15.9524477741154	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004219_T01_01_WG01	amplicon1	628	35098646	17.8924281010726	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004230_T01_01_WG01	amplicon1	209	21404901	9.76411897443487	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004237_T01_01_WG01	amplicon1	115	11897248	9.66610093359406	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004238_T01_01_WG01	amplicon1	118	10004918	11.7941996126305	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004244_T02_01_WG01	amplicon1	4	1481848	2.69933218521738	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004246_T01_01_WG01	amplicon1	549	22007545	24.945990113845	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004256_T01_01_WG01	amplicon1	9	5741270	1.56759741311591	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004260_T01_01_WG01	amplicon1	41	4195539	9.77228432389736	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004285_T01_01_WG01	amplicon1	133	12774321	10.4115122831186	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004294_T01_01_WG01	amplicon1	27	4710906	5.73138160685015	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004305_T01_01_WG01	amplicon1	95	16069351	5.91187534580581	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004310_T01_01_WG01	amplicon1	126	17519490	7.19199017779627	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004313_T01_01_WG01	amplicon1	160	11605951	13.7860309766946	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004321_T01_01_WG01	amplicon1	21	3563997	5.89226085207142	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004330_T01_01_WG01	amplicon1	72	17871969	4.02865515265833	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004334_T01_01_WG01	amplicon1	171	19031506	8.98510081125477	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004338_T01_01_WG01	amplicon1	147	26665582	5.51272423005806	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004341_T01_01_WG01	amplicon1	60	8270844	7.25439870465457	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004344_T01_01_WG01	amplicon1	167	20301279	8.22608270148891	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004345_T01_01_WG01	amplicon1	628	42502161	14.7757192863676	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004351_T01_01_WG01	amplicon1	181	26078159	6.9406739946635	APOBEC3B	cyclic	APOBEC3B_cyclic
CURTIS_H004353_T01_01_WG01	amplicon1	265	16265872	16.2917795000477	APOBEC3B	cyclic	APOBEC3B_cyclic
