Freq	Experiment	code
21	ecdna	a
83	ecdna	a
40	ecdna	a
58	ecdna	a
46	ecdna	a
98	ecdna	a
94	ecdna	a
-27	ecdna	a
119	ecdna	a
161	ecdna	a
-9	ecdna	a
3	ecdna	a
23	ecdna	a
14	ecdna	a
-22	ecdna	a
110	ecdna	a
82	ecdna	a
13	ecdna	a
26	ecdna	a
106	ecdna	a
44	ecdna	a
103	ecdna	a
21	ecdna	a
74	ecdna	a
72	ecdna	a
120	ecdna	a
51	ecdna	a
50	ecdna	a
2	ecdna	a
1	ecdna	a
131	ecdna	a
11	ecdna	a
43	ecdna	a
15	ecdna	a
-5	ecdna	a
22	ecdna	a
18	ecdna	a
86	ecdna	a
3	ecdna	a
51	ecdna	a
1	ecdna	a
48	ecdna	a
-5	ecdna	a
204	ecdna	a
34	ecdna	a
113	ecdna	a
83	ecdna	a
86	ecdna	a
188	ecdna	a
32	ecdna	a
19	ecdna	a
-27	ecdna	a
217	ecdna	a
95	ecdna	a
49	ecdna	a
61	ecdna	a
121	ecdna	a
59	ecdna	a
142	ecdna	a
12	ecdna	a
64	ecdna	a
51	ecdna	a
15	ecdna	a
91	ecdna	a
-12	ecdna	a
29	ecdna	a
48	ecdna	a
33	ecdna	a
46	ecdna	a
54	ecdna	a
198	ecdna	a
84	ecdna	a
77	ecdna	a
-49	ecdna	a
11	ecdna	a
57	ecdna	a
-12	ecdna	a
35	ecdna	a
24	ecdna	a
116	ecdna	a
158	ecdna	a
-8	ecdna	a
35	ecdna	a
54	ecdna	a
34	ecdna	a
54	ecdna	a
23	ecdna	a
76	ecdna	a
28	ecdna	a
94	ecdna	a
6	ecdna	a
71	ecdna	a
267	ecdna	a
157	ecdna	a
237	ecdna	a
126	ecdna	a
94	ecdna	a
171	ecdna	a
35	ecdna	a
272	ecdna	a
-43	ecdna	a
2	ecdna	a
4	ecdna	a
51	ecdna	a
9	ecdna	a
17	ecdna	a
203	ecdna	a
134	ecdna	a
31	ecdna	a
200	ecdna	a
20	ecdna	a
98	ecdna	a
191	ecdna	a
-12	ecdna	a
101	ecdna	a
118	ecdna	a
19	ecdna	a
3	ecdna	a
109	ecdna	a
41	ecdna	a
11	ecdna	a
-125	ecdna	a
54	ecdna	a
13	ecdna	a
63	ecdna	a
7	ecdna	a
14	ecdna	a
87	ecdna	a
107	ecdna	a
83	ecdna	a
66	ecdna	a
123	ecdna	a
-2	ecdna	a
90	ecdna	a
-14	ecdna	a
20	ecdna	a
119	ecdna	a
18	ecdna	a
-31	ecdna	a
-5	ecdna	a
22	ecdna	a
-102	ecdna	a
53	ecdna	a
177	ecdna	a
-25	ecdna	a
35	ecdna	a
29	ecdna	a
12	ecdna_baseline	b
77	ecdna_baseline	b
-47	ecdna_baseline	b
-22	ecdna_baseline	b
-21	ecdna_baseline	b
111	ecdna_baseline	b
68	ecdna_baseline	b
-1	ecdna_baseline	b
115	ecdna_baseline	b
43	ecdna_baseline	b
3	ecdna_baseline	b
19	ecdna_baseline	b
72	ecdna_baseline	b
22	ecdna_baseline	b
20	ecdna_baseline	b
-45	ecdna_baseline	b
34	ecdna_baseline	b
27	ecdna_baseline	b
-18	ecdna_baseline	b
-11	ecdna_baseline	b
30	ecdna_baseline	b
154	ecdna_baseline	b
14	ecdna_baseline	b
-2	ecdna_baseline	b
-13	ecdna_baseline	b
29	ecdna_baseline	b
56	ecdna_baseline	b
-30	ecdna_baseline	b
11	ecdna_baseline	b
2	ecdna_baseline	b
64	ecdna_baseline	b
-1	ecdna_baseline	b
62	ecdna_baseline	b
30	ecdna_baseline	b
8	ecdna_baseline	b
24	ecdna_baseline	b
-29	ecdna_baseline	b
71	ecdna_baseline	b
3	ecdna_baseline	b
52	ecdna_baseline	b
1	ecdna_baseline	b
45	ecdna_baseline	b
0	ecdna_baseline	b
-38	ecdna_baseline	b
0	ecdna_baseline	b
23	ecdna_baseline	b
9	ecdna_baseline	b
-101	ecdna_baseline	b
142	ecdna_baseline	b
42	ecdna_baseline	b
33	ecdna_baseline	b
19	ecdna_baseline	b
-22	ecdna_baseline	b
-20	ecdna_baseline	b
67	ecdna_baseline	b
40	ecdna_baseline	b
150	ecdna_baseline	b
-7	ecdna_baseline	b
-96	ecdna_baseline	b
55	ecdna_baseline	b
-57	ecdna_baseline	b
49	ecdna_baseline	b
16	ecdna_baseline	b
110	ecdna_baseline	b
-2	ecdna_baseline	b
-44	ecdna_baseline	b
-12	ecdna_baseline	b
18	ecdna_baseline	b
-20	ecdna_baseline	b
-2	ecdna_baseline	b
104	ecdna_baseline	b
58	ecdna_baseline	b
50	ecdna_baseline	b
22	ecdna_baseline	b
-7	ecdna_baseline	b
39	ecdna_baseline	b
107	ecdna_baseline	b
44	ecdna_baseline	b
17	ecdna_baseline	b
20	ecdna_baseline	b
-47	ecdna_baseline	b
21	ecdna_baseline	b
-57	ecdna_baseline	b
59	ecdna_baseline	b
-28	ecdna_baseline	b
44	ecdna_baseline	b
17	ecdna_baseline	b
22	ecdna_baseline	b
-36	ecdna_baseline	b
112	ecdna_baseline	b
0	ecdna_baseline	b
98	ecdna_baseline	b
168	ecdna_baseline	b
-31	ecdna_baseline	b
91	ecdna_baseline	b
-69	ecdna_baseline	b
-109	ecdna_baseline	b
88	ecdna_baseline	b
40	ecdna_baseline	b
215	ecdna_baseline	b
-38	ecdna_baseline	b
1	ecdna_baseline	b
15	ecdna_baseline	b
69	ecdna_baseline	b
-4	ecdna_baseline	b
6	ecdna_baseline	b
-78	ecdna_baseline	b
-12	ecdna_baseline	b
-22	ecdna_baseline	b
42	ecdna_baseline	b
10	ecdna_baseline	b
-61	ecdna_baseline	b
66	ecdna_baseline	b
-6	ecdna_baseline	b
36	ecdna_baseline	b
-14	ecdna_baseline	b
7	ecdna_baseline	b
5	ecdna_baseline	b
23	ecdna_baseline	b
15	ecdna_baseline	b
18	ecdna_baseline	b
109	ecdna_baseline	b
38	ecdna_baseline	b
19	ecdna_baseline	b
-52	ecdna_baseline	b
-8	ecdna_baseline	b
13	ecdna_baseline	b
72	ecdna_baseline	b
14	ecdna_baseline	b
-6	ecdna_baseline	b
30	ecdna_baseline	b
14	ecdna_baseline	b
-3	ecdna_baseline	b
130	ecdna_baseline	b
30	ecdna_baseline	b
54	ecdna_baseline	b
-19	ecdna_baseline	b
10	ecdna_baseline	b
5	ecdna_baseline	b
-2	ecdna_baseline	b
29	ecdna_baseline	b
42	ecdna_baseline	b
-33	ecdna_baseline	b
-65	ecdna_baseline	b
66	ecdna_baseline	b
43	ecdna_baseline	b
27	ecdna_baseline	b
11	complex	c
0	complex	c
39	complex	c
21	complex	c
19	complex	c
0	complex	c
8	complex	c
67	complex	c
122	complex	c
7	complex	c
-5	complex	c
34	complex	c
-5	complex	c
-29	complex	c
35	complex	c
107	complex	c
7	complex	c
2	complex	c
-39	complex	c
54	complex	c
37	complex	c
1	complex	c
26	complex	c
60	complex	c
-1	complex	c
17	complex	c
-57	complex	c
27	complex	c
-67	complex	c
11	complex	c
17	complex	c
-2	complex	c
39	complex	c
9	complex	c
11	complex	c
55	complex	c
5	complex	c
68	complex	c
-30	complex	c
4	complex	c
2	complex	c
1	complex	c
5	complex	c
-11	complex	c
-6	complex	c
42	complex	c
1	complex	c
0	complex	c
24	complex	c
-11	complex	c
36	complex	c
-7	complex	c
6	complex	c
79	complex	c
6	complex	c
-52	complex	c
45	complex	c
106	complex	c
16	complex	c
57	complex	c
-1	complex	c
-3	complex	c
4	complex	c
95	complex	c
-17	complex	c
9	complex	c
58	complex	c
-5	complex	c
-2	complex	c
-13	complex	c
12	complex	c
22	complex	c
-6	complex	c
22	complex	c
29	complex	c
100	complex	c
8	complex	c
-3	complex	c
22	complex	c
39	complex	c
-3	complex	c
-2	complex	c
-2	complex	c
