TME_subtype	Subtype	Total_Samples	Proportion
D	ER+ High	324	0.478395061728395
D	ER+ Typical	1114	0.412028725314183
D	HER2+	177	0.418079096045198
D	IC10	189	0.253968253968254
D	IC4ER-	90	0.122222222222222
F	ER+ High	324	0.169753086419753
F	ER+ Typical	1114	0.26032315978456
F	HER2+	177	0.141242937853107
F	IC10	189	0.19047619047619
F	IC4ER-	90	0.211111111111111
IE	ER+ High	324	0.29320987654321
IE	ER+ Typical	1114	0.162477558348294
IE	HER2+	177	0.305084745762712
IE	IC10	189	0.507936507936508
IE	IC4ER-	90	0.455555555555556
IE/F	ER+ High	324	0.058641975308642
IE/F	ER+ Typical	1114	0.165170556552962
IE/F	HER2+	177	0.135593220338983
IE/F	IC10	189	0.0476190476190476
IE/F	IC4ER-	90	0.211111111111111
