Immune_Phenotype	Subtype	Total_Samples	Proportion
1	ER+ High	222	0.328828828828829
1	ER+ Typical	535	0.274766355140187
1	HER2+	78	0.205128205128205
1	IC10	139	0.194244604316547
1	IC4ER-	40	0.05
2	ER+ High	222	0.193693693693694
2	ER+ Typical	535	0.153271028037383
2	HER2+	78	0.217948717948718
2	IC10	139	0.194244604316547
2	IC4ER-	40	0.1
3	ER+ High	222	0.198198198198198
3	ER+ Typical	535	0.203738317757009
3	HER2+	78	0.166666666666667
3	IC10	139	0.115107913669065
3	IC4ER-	40	0.1
4	ER+ High	222	0.0990990990990991
4	ER+ Typical	535	0.125233644859813
4	HER2+	78	0.179487179487179
4	IC10	139	0.151079136690647
4	IC4ER-	40	0.1
5	ER+ High	222	0.0855855855855856
5	ER+ Typical	535	0.138317757009346
5	HER2+	78	0.0384615384615385
5	IC10	139	0.136690647482014
5	IC4ER-	40	0.225
6	ER+ High	222	0.0945945945945946
6	ER+ Typical	535	0.104672897196262
6	HER2+	78	0.192307692307692
6	IC10	139	0.20863309352518
6	IC4ER-	40	0.425
