Immune_Phenotype	ENiClust	Total_Samples	Proportion
1	IC1	76	0.223684210526316
1	IC2	34	0.411764705882353
1	IC6	46	0.521739130434783
1	IC9	66	0.272727272727273
2	IC1	76	0.210526315789474
2	IC2	34	0.205882352941176
2	IC6	46	0.130434782608696
2	IC9	66	0.212121212121212
3	IC1	76	0.210526315789474
3	IC2	34	0.147058823529412
3	IC6	46	0.173913043478261
3	IC9	66	0.227272727272727
4	IC1	76	0.144736842105263
4	IC6	46	0.0652173913043478
4	IC9	66	0.121212121212121
5	IC1	76	0.105263157894737
5	IC2	34	0.117647058823529
5	IC6	46	0.0869565217391304
5	IC9	66	0.0454545454545455
6	IC1	76	0.105263157894737
6	IC2	34	0.117647058823529
6	IC6	46	0.0217391304347826
6	IC9	66	0.121212121212121
