Sample	Subtype	Cohort	Cell type	Proportion
TCGA-A1-A0SO	IC10	TCGA	CAFs	0.0968691622770541
TCGA-A1-A0SO	IC10	TCGA	T-cells	0.160950222738683
TCGA-A1-A0SP	IC10	TCGA	CAFs	0.19560580507919
TCGA-A1-A0SP	IC10	TCGA	T-cells	0.182945554177862
TCGA-A2-A04P	IC10	TCGA	CAFs	0.0934690240970962
TCGA-A2-A04P	IC10	TCGA	T-cells	0.153963089898232
TCGA-A2-A04Q	IC10	TCGA	CAFs	0.127211473720719
TCGA-A2-A04Q	IC10	TCGA	T-cells	0.131837260123642
TCGA-A2-A04T	IC10	TCGA	CAFs	0.0606868291760405
TCGA-A2-A04T	IC10	TCGA	T-cells	0.120286084756049
TCGA-A2-A04U	IC10	TCGA	CAFs	0.277740701713339
TCGA-A2-A04U	IC10	TCGA	T-cells	0.125945843866779
TCGA-A2-A0CM	IC10	TCGA	CAFs	0.288655414006023
TCGA-A2-A0CM	IC10	TCGA	T-cells	0.204233995092762
TCGA-A2-A0D0	IC10	TCGA	CAFs	0.0437415849968291
TCGA-A2-A0D0	IC10	TCGA	T-cells	0.0534394284584789
TCGA-A2-A0D2	IC10	TCGA	CAFs	0.283852786867645
TCGA-A2-A0D2	IC10	TCGA	T-cells	0.197017324073087
TCGA-A2-A0EQ	IC4ER-	TCGA	CAFs	0.106070312198219
TCGA-A2-A0EQ	IC4ER-	TCGA	T-cells	0.194127732770155
TCGA-A2-A0SX	IC10	TCGA	CAFs	0.366076193985268
TCGA-A2-A0SX	IC10	TCGA	T-cells	0.203277190376533
TCGA-A2-A0T0	IC10	TCGA	CAFs	0.318268534411964
TCGA-A2-A0T0	IC10	TCGA	T-cells	0.123501130096839
TCGA-A2-A0T2	IC10	TCGA	CAFs	0.136000739541236
TCGA-A2-A0T2	IC10	TCGA	T-cells	0.0817788458097838
TCGA-A2-A0YE	IC4ER-	TCGA	CAFs	0.244182236554271
TCGA-A2-A0YE	IC4ER-	TCGA	T-cells	0.0753207849690012
TCGA-A2-A0YM	IC10	TCGA	CAFs	0.175183814073829
TCGA-A2-A0YM	IC10	TCGA	T-cells	0.19992845718096
TCGA-A2-A1G6	IC4ER-	TCGA	CAFs	0.0437249289550665
TCGA-A2-A1G6	IC4ER-	TCGA	T-cells	0.0530226801702893
TCGA-A2-A25F	IC4ER-	TCGA	CAFs	0.206639453181909
TCGA-A2-A25F	IC4ER-	TCGA	T-cells	0.265614259995223
TCGA-A2-A3XS	IC10	TCGA	CAFs	0.163454472316308
TCGA-A2-A3XS	IC10	TCGA	T-cells	0.105786597140784
TCGA-A2-A3XT	IC10	TCGA	CAFs	0.141960724369304
TCGA-A2-A3XT	IC10	TCGA	T-cells	0.191086308785029
TCGA-A2-A3XY	IC10	TCGA	CAFs	0.368134403296899
TCGA-A2-A3XY	IC10	TCGA	T-cells	0.159724186559796
TCGA-A2-A3Y0	IC10	TCGA	CAFs	0.0918973399726431
TCGA-A2-A3Y0	IC10	TCGA	T-cells	0.200672897291656
TCGA-A7-A0CE	IC10	TCGA	CAFs	0.0928878017043671
TCGA-A7-A0CE	IC10	TCGA	T-cells	0.103589897771213
TCGA-A7-A0DA	IC10	TCGA	CAFs	0.393211116224066
TCGA-A7-A0DA	IC10	TCGA	T-cells	0.137703019997919
TCGA-A7-A26G	IC10	TCGA	CAFs	0.506377893169931
TCGA-A7-A26G	IC10	TCGA	T-cells	0.124677028352859
TCGA-A7-A4SD	IC10	TCGA	CAFs	0.320057086480592
TCGA-A7-A4SD	IC10	TCGA	T-cells	0.0450689939148096
TCGA-A7-A4SE	IC10	TCGA	CAFs	0.465642526138751
TCGA-A7-A4SE	IC10	TCGA	T-cells	0.101345675285648
TCGA-A7-A6VV	IC10	TCGA	CAFs	0.413433915389391
TCGA-A7-A6VV	IC10	TCGA	T-cells	0.130317252938113
TCGA-A7-A6VW	IC10	TCGA	CAFs	0.16197939246812
TCGA-A7-A6VW	IC10	TCGA	T-cells	0.0794226949459001
TCGA-A7-A6VY	IC10	TCGA	CAFs	0.333115507691044
TCGA-A7-A6VY	IC10	TCGA	T-cells	0.054548803784035
TCGA-A8-A07O	IC10	TCGA	CAFs	0.254152885195779
TCGA-A8-A07O	IC10	TCGA	T-cells	0.182179690134361
TCGA-A8-A07U	IC10	TCGA	CAFs	0.184014265060552
TCGA-A8-A07U	IC10	TCGA	T-cells	0.1055232750874
TCGA-A8-A08R	IC10	TCGA	CAFs	0.21589347907797
TCGA-A8-A08R	IC10	TCGA	T-cells	0.0957564852945414
TCGA-A8-A09X	IC4ER-	TCGA	CAFs	0.214436360353521
TCGA-A8-A09X	IC4ER-	TCGA	T-cells	0.0519433804007651
TCGA-AC-A2BK	IC10	TCGA	CAFs	0.0670546350099855
TCGA-AC-A2BK	IC10	TCGA	T-cells	0.114272500990553
TCGA-AC-A2QJ	IC4ER-	TCGA	CAFs	NA
TCGA-AC-A2QJ	IC4ER-	TCGA	T-cells	NA
TCGA-AC-A62X	IC10	TCGA	CAFs	0.0182758821427893
TCGA-AC-A62X	IC10	TCGA	T-cells	0.0394576915600447
TCGA-AC-A6IW	IC10	TCGA	CAFs	0.0184919174812995
TCGA-AC-A6IW	IC10	TCGA	T-cells	0.0359302007806885
TCGA-AC-A7VC	IC4ER-	TCGA	CAFs	0.590726244757852
TCGA-AC-A7VC	IC4ER-	TCGA	T-cells	0.108554299799416
TCGA-AC-A8OQ	IC10	TCGA	CAFs	0.296186306514601
TCGA-AC-A8OQ	IC10	TCGA	T-cells	0.0635556509517333
TCGA-AN-A04D	IC10	TCGA	CAFs	0.0355059161622189
TCGA-AN-A04D	IC10	TCGA	T-cells	0.108418503069673
TCGA-AN-A0AL	IC4ER-	TCGA	CAFs	0.317305198737367
TCGA-AN-A0AL	IC4ER-	TCGA	T-cells	0.19355810101461
TCGA-AN-A0AR	IC10	TCGA	CAFs	0.0818379323010426
TCGA-AN-A0AR	IC10	TCGA	T-cells	0.0850187336326318
TCGA-AN-A0AT	IC10	TCGA	CAFs	0.160842547442784
TCGA-AN-A0AT	IC10	TCGA	T-cells	0.259878737127646
TCGA-AN-A0FJ	IC10	TCGA	CAFs	0.168605467980667
TCGA-AN-A0FJ	IC10	TCGA	T-cells	0.180216432826301
TCGA-AN-A0FX	IC10	TCGA	CAFs	0.288371925357719
