group,Sample,Gene_symbol,gencode_start_hg19,gencode_end_hg19,Cytoband_hg19,IC
HER2+,CURTIS_H002080,POLD4,67118248,67124443,11q13,IC2
HER2+,CURTIS_H002080,EIF2C2,141530255,141645718,8q24,IC9
HER2+,CURTIS_H002080,C8orf82,145751117,145754516,8q24,IC9
HER2+,CURTIS_H002080,TAF2,120743015,120845103,8q24,IC9
HER2+,CURTIS_H002080,C8orf55,143808621,143818345,8q24,IC9
HER2+,CURTIS_H002080,EEF1D,144661867,144681711,8q24,IC9
HER2+,CURTIS_H002080,DGAT1,145538247,145550573,8q24,IC9
HER2+,CURTIS_H002080,DSCC1,120846216,120868250,8q24,IC9
HER2+,CURTIS_H002080,ZC3H3,144519825,144623623,8q24,IC9
HER2+,CURTIS_H002080,HSF1,145515273,145538385,8q24,IC9
HER2+,CURTIS_H002080,ADCK5,145596790,145618457,8q24,IC9
HER2+,CURTIS_H002080,PPP1CA,67165654,67188654,11q13,IC2
HER2+,CURTIS_H002080,FBXL6,145579091,145583036,8q24,IC9
HER2+,CURTIS_H002080,LRRC14,145743376,145750562,8q24,IC9
HER2+,CURTIS_H002080,FGF4,69585784,69590171,11q13,IC2
HER2+,CURTIS_H002080,ZNF16,146155744,146176274,8q24,IC9
HER2+,CURTIS_H002080,PUF60,144898514,144912029,8q24,IC9
HER2+,CURTIS_H002080,RPS6KB2,67195931,67202879,11q13,IC2
HER2+,CURTIS_H002080,GPR172A,145577795,145584946,8q24,IC9
HER2+,CURTIS_H002080,RPL8,146015150,146017972,8q24,IC9
HER2+,CURTIS_H002080,COMMD5,146066427,146079121,8q24,IC9
HER2+,CURTIS_H002080,GRINA,145064226,145067583,8q24,IC9
HER2+,CURTIS_H002080,CYC1,145149930,145152428,8q24,IC9
HER2+,CURTIS_H002080,ZNF251,145946292,145981802,8q24,IC9
HER2+,CURTIS_H002080,WDYHV1,124428965,124482268,8q24,IC9
HER2+,CURTIS_H002080,EFR3A,132916335,133025889,8q24,IC9
HER2+,CURTIS_H002080,NSMCE2,126103921,126379362,8q24,IC9
HER2+,CURTIS_H002080,SHARPIN,145153536,145163027,8q24,IC9
HER2+,CURTIS_H002080,CYHR1,145674965,145691060,8q24,IC9
HER2+,CURTIS_H002080,ZNF707,144766622,144796068,8q24,IC9
HER2+,CURTIS_H002080,GLI4,144349603,144359101,8q24,IC9
HER2+,CURTIS_H002080,PHF20L1,133787604,133861052,8q24,IC9
HER2+,CURTIS_H002080,DERL1,124025404,124054663,8q24,IC9
HER2+,CURTIS_H002080,FAM84B,127564687,127570638,8q24,IC9
HER2+,CURTIS_H002080,TOP1MT,144386554,144442149,8q24,IC9
HER2+,CURTIS_H002080,KIAA1688,145754563,145831201,8q24,IC9
HER2+,CURTIS_H002080,CCND1,69455855,69469242,11q13,IC2
HER2+,CURTIS_H002080,VPS28,145648984,145653946,8q24,IC9
HER2+,CURTIS_H002080,PPP1R16A,145703352,145727504,8q24,IC9
HER2+,CURTIS_H002080,SCRIB,144873090,144897549,8q24,IC9
HER2+,CURTIS_H002080,PTK2,141667999,142012315,8q24,IC9
HER2+,CURTIS_H002080,MFSD3,145734457,145736596,8q24,IC9
HER2+,CURTIS_H002080,EXOSC4,145133529,145135550,8q24,IC9
HER2+,CURTIS_H002080,FAM83H,144806103,144815971,8q24,IC9
HER2+,CURTIS_H002080,PPFIA1,70116806,70231418,11q13,IC2
HER2+,CURTIS_H002080,WDR67,124054208,124164393,8q24,IC9
HER2+,CURTIS_H002080,CTTN,70244510,70282690,11q13,IC2
HER2+,CURTIS_H002080,BOP1,145486055,145515082,8q24,IC9
HER2+,CURTIS_H002080,CPSF1,145618444,145634733,8q24,IC9
HER2+,CURTIS_H002080,MAL2,120177273,120257913,8q24,IC9
HER2+,CURTIS_H002080,SQLE,126010739,126034525,8q24,IC9
HER2+,CURTIS_H002080,ZNF250,146101882,146127553,8q24,IC9
HER2+,CURTIS_H002080,RAD9A,67085342,67165881,11q13,IC2
HER2+,CURTIS_H002080,MRPL13,121393000,121457642,8q24,IC9
HER2+,CURTIS_H002080,DUSP4,29190581,29208185,8p12,IC6
HER2+,CURTIS_H002080,FAM91A1,124780696,124827692,8q24,IC9
HER2+,CURTIS_H002080,ATAD2,124332090,124428590,8q24,IC9
HER2+,CURTIS_H002080,MAF1,145159402,145162514,8q24,IC9
HER2+,CURTIS_H002080,CCS,66360292,66373490,11q13,IC2
HER2+,CURTIS_H002080,TRAPPC9,140739968,141468678,8q24,IC9
HER2+,CURTIS_H002080,DQ894708,118532952,118552501,8q24,IC9
HER2+,CURTIS_H002080,C8orf76,124232197,124253638,8q24,IC9
HER2+,CURTIS_H002080,UTP23,117778742,117861702,8q24,IC9
HER2+,CURTIS_H002080,MTL5,68474908,68519032,11q13,IC2
HER2+,CURTIS_H002080,ZNF7,146052849,146072894,8q24,IC9
HER2+,CURTIS_H002080,RECQL4,145736671,145743229,8q24,IC9
HER2+,CURTIS_H002080,GPAA1,145137493,145141119,8q24,IC9
HER2+,CURTIS_H002080,MTBP,121457640,121554373,8q24,IC9
HER2+,CURTIS_H002080,RAD21,117858174,117887105,8q24,IC9
HER2+,CURTIS_H002080,SSH3,67070919,67080078,11q13,IC2
HER2+,CURTIS_H002080,ZNF34,145998499,146012730,8q24,IC9
HER2+,CURTIS_H002080,ST3GAL1,134467091,134584183,8q24,IC9
HER2+,CURTIS_H002080,MYC,128747680,128753680,8q24,IC9
HER2+,CURTIS_H001733,TAF2,120743015,120845103,8q24,IC9
HER2+,CURTIS_H001733,DSCC1,120846216,120868250,8q24,IC9
HER2+,CURTIS_H001733,WDYHV1,124428965,124482268,8q24,IC9
HER2+,CURTIS_H001733,EFR3A,132916335,133025889,8q24,IC9
HER2+,CURTIS_H001733,PHF20L1,133787604,133861052,8q24,IC9
HER2+,CURTIS_H001733,DERL1,124025404,124054663,8q24,IC9
HER2+,CURTIS_H001733,FAM84B,127564687,127570638,8q24,IC9
HER2+,CURTIS_H001733,WDR67,124054208,124164393,8q24,IC9
HER2+,CURTIS_H001733,MAL2,120177273,120257913,8q24,IC9
HER2+,CURTIS_H001733,SQLE,126010739,126034525,8q24,IC9
HER2+,CURTIS_H001733,MRPL13,121393000,121457642,8q24,IC9
HER2+,CURTIS_H001733,FAM91A1,124780696,124827692,8q24,IC9
HER2+,CURTIS_H001733,ATAD2,124332090,124428590,8q24,IC9
HER2+,CURTIS_H001733,DQ894708,118532952,118552501,8q24,IC9
HER2+,CURTIS_H001733,C8orf76,124232197,124253638,8q24,IC9
HER2+,CURTIS_H001733,UTP23,117778742,117861702,8q24,IC9
HER2+,CURTIS_H001733,MTBP,121457640,121554373,8q24,IC9
HER2+,CURTIS_H001733,RAD21,117858174,117887105,8q24,IC9
HER2+,CURTIS_H001733,ST3GAL1,134467091,134584183,8q24,IC9
HER2+,CURTIS_H001733,MYC,128747680,128753680,8q24,IC9
HER2+,CURTIS_H001721,TAF2,120743015,120845103,8q24,IC9
HER2+,CURTIS_H001721,DSCC1,120846216,120868250,8q24,IC9
HER2+,CURTIS_H001721,MAL2,120177273,120257913,8q24,IC9
HER2+,CURTIS_H001721,MRPL13,121393000,121457642,8q24,IC9
HER2+,CURTIS_H001698,HEATR6,58120555,58156292,17q23,IC1
HER2+,CURTIS_H001698,TMEM49,57784553,57919616,17q23,IC1
HER2+,CURTIS_H001698,PPM1D,58677544,58743641,17q23,IC1
HER2+,CURTIS_H001698,DHX40,57642886,57685706,17q23,IC1
HER2+,CURTIS_H001698,POLG2,62473902,62493154,17q23,IC1
HER2+,CURTIS_H001698,TUBD1,57936843,57970306,17q23,IC1
HER2+,CURTIS_H001698,FGF4,69585784,69590171,11q13,IC2
HER2+,CURTIS_H001698,CA4,58227297,58248260,17q23,IC1
HER2+,CURTIS_H001698,CCDC45,62502706,62538579,17q23,IC1
HER2+,CURTIS_H001698,DQ893774,62495734,62504317,17q23,IC1
HER2+,CURTIS_H001698,CCND1,69455855,69469242,11q13,IC2
HER2+,CURTIS_H001698,PTRH2,57751997,57784987,17q23,IC1
HER2+,CURTIS_H001698,RNFT1,58029601,58042122,17q23,IC1
HER2+,CURTIS_H001698,TLK2,60536019,60692842,17q23,IC1
HER2+,CURTIS_H001698,RPS6KB1,57970407,58027925,17q23,IC1
HER2+,CURTIS_H001698,CLTC,57697050,57774317,17q23,IC1
HER2+,CURTIS_H001698,APPBP2,58520510,58603580,17q23,IC1
HER2+,CURTIS_H001698,USP32,58256455,58499831,17q23,IC1
HER2+,CURTIS_H001698,CYB561,61509665,61523739,17q23,IC1
HER2+,CURTIS_H001690,HEATR6,58120555,58156292,17q23,IC1
HER2+,CURTIS_H001690,TMEM49,57784553,57919616,17q23,IC1
HER2+,CURTIS_H001690,PPM1D,58677544,58743641,17q23,IC1
HER2+,CURTIS_H001690,DHX40,57642886,57685706,17q23,IC1
HER2+,CURTIS_H001690,TUBD1,57936843,57970306,17q23,IC1
HER2+,CURTIS_H001690,INTS2,59942728,60005377,17q23,IC1
HER2+,CURTIS_H001690,CA4,58227297,58248260,17q23,IC1
HER2+,CURTIS_H001690,PTRH2,57751997,57784987,17q23,IC1
HER2+,CURTIS_H001690,RNFT1,58029601,58042122,17q23,IC1
HER2+,CURTIS_H001690,MED13,60019966,60142643,17q23,IC1
HER2+,CURTIS_H001690,RPS6KB1,57970407,58027925,17q23,IC1
HER2+,CURTIS_H001690,CLTC,57697050,57774317,17q23,IC1
HER2+,CURTIS_H001690,APPBP2,58520510,58603580,17q23,IC1
HER2+,CURTIS_H001690,USP32,58256455,58499831,17q23,IC1
HER2+,CURTIS_H001689,FGF4,69585784,69590171,11q13,IC2
HER2+,CURTIS_H001689,CCND1,69455855,69469242,11q13,IC2
HER2+,CURTIS_H001689,PPFIA1,70116806,70231418,11q13,IC2
HER2+,CURTIS_H001689,CTTN,70244510,70282690,11q13,IC2
HER2+,CURTIS_H001689,MTL5,68474908,68519032,11q13,IC2
HER2+,CURTIS_H001689,NADSYN1,71164155,71235153,11q13,IC2
HER2+,CURTIS_H001687,HEATR6,58120555,58156292,17q23,IC1
HER2+,CURTIS_H001687,TMEM49,57784553,57919616,17q23,IC1
HER2+,CURTIS_H001687,PPM1D,58677544,58743641,17q23,IC1
HER2+,CURTIS_H001687,DHX40,57642886,57685706,17q23,IC1
HER2+,CURTIS_H001687,TUBD1,57936843,57970306,17q23,IC1
HER2+,CURTIS_H001687,CCDC44,61678231,61685725,17q23,IC1
HER2+,CURTIS_H001687,FGF4,69585784,69590171,11q13,IC2
HER2+,CURTIS_H001687,CA4,58227297,58248260,17q23,IC1
HER2+,CURTIS_H001687,FTSJ3,61896793,61907372,17q23,IC1
HER2+,CURTIS_H001687,WDR68,61627822,61671628,17q23,IC1
HER2+,CURTIS_H001687,CD79B,62006100,62009714,17q23,IC1
HER2+,CURTIS_H001687,CCND1,69455855,69469242,11q13,IC2
HER2+,CURTIS_H001687,PTRH2,57751997,57784987,17q23,IC1
HER2+,CURTIS_H001687,PAAF1,73587744,73642169,11q13,IC2
HER2+,CURTIS_H001687,RNFT1,58029601,58042122,17q23,IC1
HER2+,CURTIS_H001687,TLK2,60536019,60692842,17q23,IC1
HER2+,CURTIS_H001687,PPFIA1,70116806,70231418,11q13,IC2
HER2+,CURTIS_H001687,RPS6KB1,57970407,58027925,17q23,IC1
HER2+,CURTIS_H001687,CTTN,70244510,70282690,11q13,IC2
HER2+,CURTIS_H001687,PPME1,73882144,73965748,11q13,IC2
HER2+,CURTIS_H001687,CLTC,57697050,57774317,17q23,IC1
HER2+,CURTIS_H001687,POLD3,74204896,74380162,11q13,IC2
HER2+,CURTIS_H001687,APPBP2,58520510,58603580,17q23,IC1
HER2+,CURTIS_H001687,STRADA,61759696,61819346,17q23,IC1
HER2+,CURTIS_H001687,DDX42,61850963,61896677,17q23,IC1
HER2+,CURTIS_H001687,USP32,58256455,58499831,17q23,IC1
HER2+,CURTIS_H001687,MTL5,68474908,68519032,11q13,IC2
HER2+,CURTIS_H001687,CCDC47,61822610,61853711,17q23,IC1
HER2+,CURTIS_H001687,SMARCD2,61909441,61920425,17q23,IC1
HER2+,CURTIS_H001687,CHCHD8,73583712,73588033,11q13,IC2
HER2+,CURTIS_H001687,CYB561,61509665,61523739,17q23,IC1
HER2+,CURTIS_H001684,HEATR6,58120555,58156292,17q23,IC1
HER2+,CURTIS_H001684,TMEM49,57784553,57919616,17q23,IC1
HER2+,CURTIS_H001684,DHX40,57642886,57685706,17q23,IC1
HER2+,CURTIS_H001684,TUBD1,57936843,57970306,17q23,IC1
HER2+,CURTIS_H001684,PTRH2,57751997,57784987,17q23,IC1
HER2+,CURTIS_H001684,RNFT1,58029601,58042122,17q23,IC1
HER2+,CURTIS_H001684,RPS6KB1,57970407,58027925,17q23,IC1
HER2+,CURTIS_H001684,CLTC,57697050,57774317,17q23,IC1
HER2+,CURTIS_H001682,HEATR6,58120555,58156292,17q23,IC1
HER2+,CURTIS_H001682,TMEM49,57784553,57919616,17q23,IC1
HER2+,CURTIS_H001682,PPM1D,58677544,58743641,17q23,IC1
HER2+,CURTIS_H001682,DHX40,57642886,57685706,17q23,IC1
HER2+,CURTIS_H001682,POLG2,62473902,62493154,17q23,IC1
HER2+,CURTIS_H001682,TUBD1,57936843,57970306,17q23,IC1
