group,Sample,Gene_symbol,TransformedCN,Ensembl_ID,Alias,gencode_seqnames_hg19,gencode_start_hg19,gencode_end_hg19,Cytoband_hg19,IC
HER2+,CURTIS_H004724_T01_01_WG01,TAF2,5,ENSG00000064313,,chr8,120743015,120845103,8q24,IC9
HER2+,CURTIS_H004724_T01_01_WG01,HEATR6,3,ENSG00000068097,,chr17,58120555,58156292,17q23,IC1
HER2+,CURTIS_H004724_T01_01_WG01,TMEM49,3,ENSG00000062716,VMP1,chr17,57784553,57919616,17q23,IC1
HER2+,CURTIS_H004724_T01_01_WG01,PPM1D,3,ENSG00000170836,,chr17,58677544,58743641,17q23,IC1
HER2+,CURTIS_H004724_T01_01_WG01,DHX40,3,ENSG00000108406,,chr17,57642886,57685706,17q23,IC1
HER2+,CURTIS_H004724_T01_01_WG01,DSCC1,5,ENSG00000136982,,chr8,120846216,120868250,8q24,IC9
HER2+,CURTIS_H004724_T01_01_WG01,TUBD1,3,ENSG00000108423,,chr17,57936843,57970306,17q23,IC1
HER2+,CURTIS_H004724_T01_01_WG01,CA4,3,,,chr17,58227297,58248260,17q23,IC1
HER2+,CURTIS_H004724_T01_01_WG01,PTRH2,3,ENSG00000214225,,chr17,57751997,57784987,17q23,IC1
HER2+,CURTIS_H004724_T01_01_WG01,RNFT1,3,ENSG00000189050,,chr17,58029601,58042122,17q23,IC1
HER2+,CURTIS_H004724_T01_01_WG01,RPS6KB1,3,ENSG00000108443,,chr17,57970407,58027925,17q23,IC1
HER2+,CURTIS_H004724_T01_01_WG01,MAL2,5,ENSG00000147676,,chr8,120177273,120257913,8q24,IC9
HER2+,CURTIS_H004724_T01_01_WG01,CLTC,3,ENSG00000141367,,chr17,57697050,57774317,17q23,IC1
HER2+,CURTIS_H004724_T01_01_WG01,MRPL13,2,ENSG00000172172,,chr8,121393000,121457642,8q24,IC9
HER2+,CURTIS_H004724_T01_01_WG01,APPBP2,3,ENSG00000062725,,chr17,58520510,58603580,17q23,IC1
HER2+,CURTIS_H004724_T01_01_WG01,USP32,3,ENSG00000170832,,chr17,58256455,58499831,17q23,IC1
HER2+,CURTIS_H004724_T01_01_WG01,MTBP,2,ENSG00000172167,,chr8,121457640,121554373,8q24,IC9
HER2+,CURTIS_H004724_T01_01_WG01,MYC,4,,,chr8,128747680,128753680,8q24,IC9
HER2+,CURTIS_H004719_T01_01_WG01,HEATR6,2,ENSG00000068097,,chr17,58120555,58156292,17q23,IC1
HER2+,CURTIS_H004719_T01_01_WG01,CA4,2,,,chr17,58227297,58248260,17q23,IC1
HER2+,CURTIS_H004719_T01_01_WG01,APPBP2,2,ENSG00000062725,,chr17,58520510,58603580,17q23,IC1
HER2+,CURTIS_H004719_T01_01_WG01,USP32,2,ENSG00000170832,,chr17,58256455,58499831,17q23,IC1
HER2+,CURTIS_H004702_T01_01_WG01,FAM84B,2,ENSG00000168672,,chr8,127564687,127570638,8q24,IC9
HER2+,CURTIS_H004702_T01_01_WG01,SQLE,2,ENSG00000104549,,chr8,126010739,126034525,8q24,IC9
HER2+,CURTIS_H004657_T01_01_WG01,EIF2C2,4,ENSG00000123908,AGO2,chr8,141530255,141645718,8q24,IC9
HER2+,CURTIS_H004657_T01_01_WG01,C8orf82,2,ENSG00000213563,,chr8,145751117,145754516,8q24,IC9
HER2+,CURTIS_H004657_T01_01_WG01,POLG2,2,ENSG00000136480,,chr17,62473902,62493154,17q23,IC1
