sample	ampliconID	subtype	oncogene	amplicon_length	count	count_mbp	index
CURTIS_H000394_T01_01_WG01	amplicon1	HER2+/ER-	ERBB2|CDK12|IKZF3	5542614	3	0.541260856339626	1
CURTIS_H000502_T01_01_WG01	amplicon1	HER2+/ER-	RARA|ERBB2|DDX5|CLTC|PPM1D|RNF43|BRIP1|CD79B|IKZF3|PRKAR1A|CDK12|SUZ12|MSI2	22286852	13	0.583303554939029	1
CURTIS_H001404_T01_01_WG01	amplicon1	HER2+/ER-	ERBB2|RARA|SUZ12|CDK12|CCR7|TAF15|IKZF3	7103085	7	0.985487291789413	1
CURTIS_H001442_T01_01_WG01	amplicon1	HER2+/ER-	ERBB2|KAT7|DDX5|CRTC1|CLTC|PPM1D|RNF43|BRIP1|CD79B|IKZF3|ELL|PRKAR1A|COL1A1|AXIN2|CDK12|SPOP|MSI2	28732327	17	0.591668053896226	1
CURTIS_H001462_T01_01_WG01	amplicon1	HER2+/ER-	ERBB2|RARA|CDK12|CCR7|NF1|IKZF3	7938662	6	0.755794868203231	1
CURTIS_H001483_T01_01_WG01	amplicon2	HER2+/ER-	ERBB2|RARA|CDK12|CCR7|IKZF3	3508768	5	1.42500159600179	1
CURTIS_H001484_T01_01_WG01	amplicon1	HER2+/ER-	CCR7|IKZF3|RARA|CDK12|ERBB2|SPOP|KAT7|COL1A1	10231203	8	0.781921734912307	1
CURTIS_H001581_T01_01_WG01	amplicon2	HER2+/ER-	FAT1|FBXW7	28703065	2	0.0696789698243027	1
CURTIS_H001596_T01_01_WG01	amplicon1	HER2+/ER-	TAF15|IKZF3|CDK12|ERBB2|SPOP|KAT7|COL1A1	8996477	7	0.77808235379249	1
CURTIS_H001651_T01_01_WG01	amplicon1	HER2+/ER-	ERBB2|RARA|CDK12|IKZF3	3927768	4	1.01839008821295	1
CURTIS_H001656_T01_01_WG01	amplicon1	HER2+/ER-	CLTC|CCR7|IKZF3|RARA|PPM1D|CDK12|ERBB2	9238398	7	0.75770712627882	1
CURTIS_H001658_T01_01_WG01	amplicon1	HER2+/ER-	PDGFRA|EPHA7|FOXO3|KAT7|IKZF3|MYCN|CDK12|KDR|ERBB2|SPOP|CCDC6|KIT|FAT1|PRDM1|COL1A1	50207042	15	0.298762870754266	1
CURTIS_H001684_T01_01_WG01	amplicon1	HER2+/ER-	CLTC|IKZF3|RARA|CDK12|SUZ12|SETDB1|ERBB2|MSI2|ARNT	13412655	9	0.671008089002513	1
CURTIS_H001700_T01_01_WG01	amplicon1	HER2+/ER-	IKZF3|CDK12|NF1|ERBB2|SPOP|KAT7|COL1A1	8736165	7	0.801266917463212	1
CURTIS_H004018_T01_01_WG01	amplicon1	HER2+/ER-	CLTC|CCR7|BRIP1|CD79B|IKZF3|RARA|PPM1D|AXIN2|CDK12|ERBB2|SPOP|KAT7|DDX5|COL1A1	13671560	14	1.02402359350359	1
CURTIS_H004066_T01_01_WG01	amplicon1	HER2+/ER-	BRIP1|IKZF3|MSI2|CDK12|ERBB2|SPOP|KAT7|COL1A1	8824896	8	0.906526263878917	1
CURTIS_H004158_T01_01_WG01	amplicon1	HER2+/ER-	RARA|ERBB2|KAT7|DDX5|CLTC|PPM1D|RNF43|CCR7|BRIP1|CD79B|IKZF3|COL1A1|CDK12|SPOP|MSI2	19685786	15	0.761971099350567	1
CURTIS_H004389_T01_01_WG01	amplicon1	HER2+/ER-	ERBB2|RARA|NF1|CDK12|TAF15|IKZF3	10110969	6	0.593414933820883	1
CURTIS_H000392_T01_01_WG01	amplicon1	HER2+/ER+	ERBB2|RARA|CDK12|CCR7|MAP2K4|IKZF3	3140447	6	1.91055604504709	2
CURTIS_H000393_T01_01_WG01	amplicon1	HER2+/ER+	CLTC|IKZF3|PPM1D|MSI2|RNF43	9440122	5	0.529654171842271	2
CURTIS_H000412_T01_01_WG01	amplicon2	HER2+/ER+	NFATC2|PTK6|TAF15|SUZ12|SALL4|MDM2|PTPRT|GNAS|SDC4|PTPRB	33516483	10	0.298360660335394	2
CURTIS_H000520_T01_01_WG01	amplicon1	HER2+/ER+	ERBB2|RARA|CCND1|CDK12|IKZF3	4868885	5	1.02692916345323	2
CURTIS_H000524_T01_01_WG01	amplicon3	HER2+/ER+	RARA|ERBB2|DDX5|CLTC|PPM1D|NF1|RNF43|BRIP1|CD79B|IKZF3|PRKAR1A|AXIN2|CDK12|SUZ12|MSI2	22773204	15	0.658668846070145	2
CURTIS_H000530_T01_01_WG01	amplicon2	HER2+/ER+	ERBB2|RARA|CDK12|CCR7|IKZF3	6346278	5	0.787863374406227	2
CURTIS_H000558_T01_01_WG01	amplicon3	HER2+/ER+	IKBKB|IKZF3|ERBB2|FGFR1|CDK12|KAT6A	13791268	6	0.435057893153842	2
CURTIS_H000558_T01_01_WG01	amplicon2	HER2+/ER+	EGFR	1769804	1	0.565034320184608	2
CURTIS_H000587_T01_01_WG01	amplicon1	HER2+/ER+	DDX5|CLTC|KAT7|PPM1D|RNF43|BRIP1|CD79B|PRKAR1A|COL1A1|SUZ12|SPOP|MSI2|SRSF2	21620105	13	0.601292176888133	2
CURTIS_H000587_T01_01_WG01	amplicon2	HER2+/ER+	ERBB2|RARA|CDK12|CCR7|IKZF3	7764407	5	0.643964181681872	2
CURTIS_H001399_T01_01_WG01	amplicon1	HER2+/ER+	ERBB2|CDK12|CRNKL1|IKZF3	3272230	4	1.22240796032064	2
CURTIS_H001401_T01_01_WG01	amplicon3	HER2+/ER+	MYC|EXT1	14611045	2	0.136882748632969	2
CURTIS_H001401_T01_01_WG01	amplicon1	HER2+/ER+	BRCA1|CCR7|BRIP1|IKZF3|RARA|CDK12|NCOR1|ERBB2|SPOP|DDX5|COL1A1	10639127	11	1.03391941838837	2
CURTIS_H001440_T01_01_WG01	amplicon1	HER2+/ER+	IKZF3|AXIN2|SRSF2|CDK12|NF1|ERBB2|CANT1|PRKAR1A	19943322	8	0.401136781525164	2
CURTIS_H001441_T01_01_WG01	amplicon1	HER2+/ER+	NFATC2|CLTC|BRIP1|IKZF3|PPM1D|CDK12|ERBB2|SALL4|GNAS|KAT7	18850825	10	0.530480761452085	2
CURTIS_H001488_T01_01_WG01	amplicon1	HER2+/ER+	EPHA3|IKBKB|CCR7|IKZF3|RARA|ERBB2|HOOK3|FGFR1|CDK12|KAT6A	11443886	10	0.873829047230984	2
CURTIS_H001489_T01_01_WG01	amplicon1	HER2+/ER+	USP8|NFATC2|B2M|CCR7|IKZF3|RARA|CDK12|ERBB2|SALL4|MYO5A	18114778	10	0.552035470707949	2
CURTIS_H001545_T01_01_WG01	amplicon3	HER2+/ER+	RNF43|CLTC|BRIP1|IKZF3|PPM1D|MSI2|CDK12|NF1|ERBB2|SPOP|KAT7|COL1A1	19684175	12	0.609626768711414	2
CURTIS_H001545_T01_01_WG01	amplicon4	HER2+/ER+	No oncogene	8489398	0	0	2
CURTIS_H001545_T01_01_WG01	amplicon2	HER2+/ER+	NDRG1|MYC|EXT1|RAD21|PTPRK	19922584	5	0.25097146032864	2
CURTIS_H001547_T01_01_WG01	amplicon1	HER2+/ER+	ERBB2|RARA|CDK12|TAF15|CCR7|IKZF3	5475658	6	1.09575871977395	2
CURTIS_H001556_T01_01_WG01	amplicon1	HER2+/ER+	IKZF3|RARA|ERBB2|FGFR1|CDK12	6733451	5	0.742561280983555	2
CURTIS_H001627_T01_01_WG01	amplicon1	HER2+/ER+	No oncogene	875674	0	0	2
CURTIS_H001637_T01_01_WG01	amplicon1	HER2+/ER+	CLTC|TAF15|IKZF3|RARA|PPM1D|CDK12|NF1|ERBB2|COL1A1	19205042	9	0.468626936613833	2
CURTIS_H001637_T01_01_WG01	amplicon2	HER2+/ER+	PABPC1|RUNX1T1|NDRG1|NBN|MYC|COX6C|EXT1|RAD21|CNBD1	44631595	9	0.201650870868496	2
CURTIS_H001673_T01_01_WG01	amplicon1	HER2+/ER+	EIF3E|MYC|FGFR1|ERBB2|EXT1|MDM2|UBR5|DDX5|NFATC2|PABPC1|CLTC|PPM1D|COX6C|BRIP1|CD79B|IKZF3|SALL4|SUZ12|RAD21|MSI2|PTPRB	78837465	21	0.26637081747872	2
CURTIS_H001687_T01_01_WG01	amplicon1	HER2+/ER+	RARA|FADD|CCND1|KAT7|DDX5|RNF213|CLTC|PPM1D|RNF43|TAF15|CCR7|BRIP1|CD79B|IKZF3|COL1A1|ERBB2|AXIN2|CDK12|SPOP|MSI2|CANT1	30223886	21	0.694814690605966	2
CURTIS_H001688_T01_01_WG01	amplicon1	HER2+/ER+	ERBB2|RARA|CDK12|IKZF3	2824450	4	1.41620492485263	2
CURTIS_H001690_T01_01_WG01	amplicon1	HER2+/ER+	RNF43|CLTC|CCR7|BRIP1|IKZF3|RARA|PPM1D|MSI2|CDK12|ERBB2|SPOP|MDM2|KAT7|PTPRB|COL1A1	27372912	15	0.547987002625077	2
CURTIS_H001695_T01_01_WG01	amplicon1	HER2+/ER+	HIP1|IKZF3|CDK12|MSI2|ERBB2	11172293	5	0.447535702831997	2
CURTIS_H001698_T01_01_WG01	amplicon1	HER2+/ER+	RARA|ERBB2|KAT7|DDX5|CLTC|PPM1D|RNF43|SDC4|CCR7|BRIP1|CD79B|IKZF3|PTPRT|PRKAR1A|COL1A1|GNAS|PTK6|AXIN2|CDK12|SPOP|MSI2	47368480	21	0.443332781630316	2
CURTIS_H001698_T01_01_WG01	amplicon2	HER2+/ER+	CCND1|FADD	2373447	2	0.842656271658899	2
CURTIS_H004221_T01_01_WG01	amplicon1	HER2+/ER+	IKZF3|CDK12|ERBB2|SPOP|KAT7|COL1A1	8262709	6	0.726154097887267	2
CURTIS_H004281_T01_01_WG01	amplicon1	HER2+/ER+	NDRG1|IKZF3|RARA|FAM135B|ERBB2|COL1A1	18444148	6	0.325306433238337	2
CURTIS_H004304_T01_01_WG01	amplicon2	HER2+/ER+	FOXO3|PRDM1|DCC	11430378	3	0.262458511870736	2
CURTIS_H004369_T01_01_WG01	amplicon2	HER2+/ER+	SOCS1|CIITA|GRIN2A|TSC2|CREBBP	13450925	5	0.371721647395997	2
CURTIS_H004369_T01_01_WG01	amplicon5	HER2+/ER+	FH|ELF3|IKZF3|BTG2|CDK12|NTRK1|CHEK2|ERBB2|RARA|SLC45A3|SRGAP3|MDM4|BCL9|SDHC	24568518	14	0.569834940796999	2
CURTIS_H000387_T01_01_WG01	amplicon1	ic1	DDX5|CLTC|KAT7|PPM1D|RNF43|BRIP1|CD79B|PRKAR1A|COL1A1|AXIN2|SPOP|MSI2	20718901	12	0.579181299239762	3
CURTIS_H000400_T01_01_WG01	amplicon1	ic1	KAT7|CLTC|PPM1D|RNF43|COL1A1|SPOP|MSI2	31635757	7	0.221268610705285	3
CURTIS_H000415_T01_01_WG01	amplicon1	ic1	RARA|FADD|ERBB2|CCND1|DDX5|CLTC|PPM1D|NF1|RNF43|BRIP1|CD79B|IKZF3|PRKAR1A|AXIN2|CDK12|MSI2	22538926	16	0.709882982001893	3
CURTIS_H000477_T01_01_WG01	amplicon2	ic1	IDH2|CHD2|NTRK3	20089748	3	0.149329897020112	3
CURTIS_H000511_T01_01_WG01	amplicon1	ic1	USP8|ARHGAP5|NKX2-1|FOXA1|CHD2|SUZ12|SPOP|IDH2|KAT7|COL1A1	23253823	10	0.430036815881844	3
CURTIS_H000553_T01_01_WG01	amplicon3	ic1	FLCN|DDX5|RNF213|KAT7|SRSF2|GNAS|NCOR1|PRKAR1A|COL1A1|PTK6|MAP2K4|AXIN2|SUZ12|SPOP|CANT1	39905968	15	0.375883627230894	3
CURTIS_H000553_T01_01_WG01	amplicon1	ic1	IKBKB|HOOK3|FGFR1|KAT6A	6261241	4	0.638850988166723	3
CURTIS_H000593_T01_01_WG01	amplicon2	ic1	SUZ12|MAP3K1|IL6ST|PTPRD|JAK2|PIK3R1|PDCD1LG2	32110676	7	0.217996033468744	3
CURTIS_H001394_T01_01_WG01	amplicon2	ic1	IKBKB|HOOK3|FGFR1|KAT6A	6443453	4	0.620785159758285	3
CURTIS_H001395_T01_01_WG01	amplicon1	ic1	STAT6|ARID2|KMT2D|CDK4|SMARCD1	6344080	5	0.788136341281951	3
CURTIS_H001395_T01_01_WG01	amplicon2	ic1	FADD|CCND1	3887697	2	0.514443383833668	3
CURTIS_H001400_T01_01_WG01	amplicon5	ic1	MYC	6169379	1	0.162090868465043	3
CURTIS_H001400_T01_01_WG01	amplicon3	ic1	CLTC|BRIP1|CD79B|IKZF3|PPM1D|AXIN2|CDK12|NF1|MSI2|ERBB2|SUZ12|RNF43|DDX5	20828704	13	0.624138688609719	3
CURTIS_H001417_T01_01_WG01	amplicon1	ic1	MDM2|IDH2|DDX5|CLTC|CHD2|RNF43|BRIP1|CD79B|PRKAR1A|CDK4|FOXO3|AXIN2|PTPRB|PPM1D|SRSF2	51417272	15	0.291730763156785	3
CURTIS_H001459_T01_01_WG01	amplicon1	ic1	MDM4|NIN|DDX5|CLTC|KAT7|PPM1D|RNF43|BRIP1|CD79B|BTG2|PRKAR1A|COL1A1|AXIN2|SPOP|MSI2	51285157	15	0.292482286833986	3
CURTIS_H001478_T01_01_WG01	amplicon1	ic1	CCND1|DDX5|RNF213|CLTC|PPM1D|RNF43|BRIP1|CD79B|CANT1|ERCC2|PRKAR1A|AXIN2|BCL2L12|CNOT3|MSI2|SRSF2	34926082	16	0.458110360045538	3
CURTIS_H001486_T01_01_WG01	amplicon3	ic1	No oncogene	10943911	0	0	3
