Chromosome	Proportion	CN	Segment_location	Segment_length	Subgroup	Stage
chr16	-0.0447761194029851	<2	125000.5	249999	ER+ High	DCIS
chr16	-0.0447761194029851	<2	275000.5	49999	ER+ High	DCIS
chr20	-0.0447761194029851	<2	225000.5	349999	ER+ High	DCIS
chr12	-0.104477611940299	<2	275000.5	349999	ER+ High	DCIS
chr3	-0.208955223880597	<2	275000.5	449999	ER+ High	DCIS
chr2	-0.149253731343284	<2	275000.5	549999	ER+ High	DCIS
chr4	-0.0746268656716418	<2	350000.5	399999	ER+ High	DCIS
chr19	-0.104477611940299	<2	400000.5	299999	ER+ High	DCIS
chr18	-0.149253731343284	<2	425000.5	549999	ER+ High	DCIS
chr11	-0.223880597014925	<2	450000.5	499999	ER+ High	DCIS
chr4	-0.0746268656716418	<2	650000.5	199999	ER+ High	DCIS
chr11	-0.223880597014925	<2	725000.5	49999	ER+ High	DCIS
chr10	-0.0746268656716418	<2	450000.5	699999	ER+ High	DCIS
chr16	-0.0298507462686567	<2	550000.5	499999	ER+ High	DCIS
chr10	-0.0746268656716418	<2	825000.5	49999	ER+ High	DCIS
chr17	-0.671641791044776	<2	525000.5	749999	ER+ High	DCIS
chr6	-0.0298507462686567	<2	525000.5	749999	ER+ High	DCIS
chr8	-0.597014925373134	<2	550000.5	699999	ER+ High	DCIS
chr11	-0.223880597014925	<2	850000.5	199999	ER+ High	DCIS
chr10	-0.0597014925373134	<2	900000.5	99999	ER+ High	DCIS
chr8	-0.597014925373134	<2	950000.5	99999	ER+ High	DCIS
chr2	-0.164179104477612	<2	800000.5	499999	ER+ High	DCIS
chr8	-0.597014925373134	<2	1050000.5	99999	ER+ High	DCIS
chr2	-0.149253731343284	<2	1075000.5	49999	ER+ High	DCIS
chr5	-0.0298507462686567	<2	600000.5	1099999	ER+ High	DCIS
chr18	-0.149253731343284	<2	925000.5	449999	ER+ High	DCIS
chr6	-0.0298507462686567	<2	1025000.5	249999	ER+ High	DCIS
chr10	-0.0597014925373134	<2	1075000.5	249999	ER+ High	DCIS
chr7	-0.0746268656716418	<2	675000.5	1249999	ER+ High	DCIS
chr1	-0.164179104477612	<2	1075000.5	449999	ER+ High	DCIS
chr3	-0.208955223880597	<2	925000.5	849999	ER+ High	DCIS
chr16	-0.0298507462686567	<2	1075000.5	549999	ER+ High	DCIS
chr17	-0.671641791044776	<2	1150000.5	499999	ER+ High	DCIS
chr10	-0.0597014925373134	<2	1300000.5	199999	ER+ High	DCIS
chr6	-0.0298507462686567	<2	1300000.5	299999	ER+ High	DCIS
chr7	-0.0746268656716418	<2	1375000.5	149999	ER+ High	DCIS
chr17	-0.686567164179104	<2	1450000.5	99999	ER+ High	DCIS
chr5	-0.0149253731343284	<2	1350000.5	399999	ER+ High	DCIS
chr16	-0.0149253731343284	<2	1450000.5	199999	ER+ High	DCIS
chr10	-0.0597014925373134	<2	1475000.5	149999	ER+ High	DCIS
chr6	-0.0298507462686567	<2	1500000.5	99999	ER+ High	DCIS
chr8	-0.597014925373134	<2	1350000.5	499999	ER+ High	DCIS
chr17	-0.671641791044776	<2	1550000.5	99999	ER+ High	DCIS
chr10	-0.0597014925373134	<2	1575000.5	49999	ER+ High	DCIS
chr6	-0.0447761194029851	<2	1575000.5	49999	ER+ High	DCIS
chr2	-0.149253731343284	<2	1375000.5	549999	ER+ High	DCIS
chr5	-0.0149253731343284	<2	1600000.5	99999	ER+ High	DCIS
chr10	-0.0597014925373134	<2	1625000.5	49999	ER+ High	DCIS
chr6	-0.0597014925373134	<2	1625000.5	49999	ER+ High	DCIS
chr8	-0.597014925373134	<2	1625000.5	49999	ER+ High	DCIS
chr10	-0.0597014925373134	<2	1725000.5	149999	ER+ High	DCIS
chr5	-0.0149253731343284	<2	1725000.5	149999	ER+ High	DCIS
chr18	-0.149253731343284	<2	1500000.5	699999	ER+ High	DCIS
chr5	-0.0149253731343284	<2	1825000.5	49999	ER+ High	DCIS
chr10	-0.0597014925373134	<2	1850000.5	99999	ER+ High	DCIS
chr18	-0.149253731343284	<2	1875000.5	49999	ER+ High	DCIS
chr17	-0.671641791044776	<2	1825000.5	449999	ER+ High	DCIS
chr8	-0.597014925373134	<2	1850000.5	399999	ER+ High	DCIS
chr11	-0.208955223880597	<2	1525000.5	1149999	ER+ High	DCIS
chr2	-0.164179104477612	<2	1875000.5	449999	ER+ High	DCIS
chr5	-0.0149253731343284	<2	1975000.5	249999	ER+ High	DCIS
chr17	-0.656716417910448	<2	2075000.5	49999	ER+ High	DCIS
chr8	-0.611940298507463	<2	2075000.5	49999	ER+ High	DCIS
chr19	-0.104477611940299	<2	1350000.5	1599999	ER+ High	DCIS
chr4	-0.0746268656716418	<2	1450000.5	1399999	ER+ High	DCIS
chr2	-0.164179104477612	<2	2125000.5	49999	ER+ High	DCIS
chr19	-0.104477611940299	<2	2175000.5	49999	ER+ High	DCIS
chr7	-0.0597014925373134	<2	1850000.5	799999	ER+ High	DCIS
chr16	-0.0149253731343284	<2	1925000.5	749999	ER+ High	DCIS
chr4	-0.0895522388059701	<2	2225000.5	149999	ER+ High	DCIS
chr19	-0.104477611940299	<2	2250000.5	99999	ER+ High	DCIS
chr11	-0.223880597014925	<2	2250000.5	299999	ER+ High	DCIS
chr8	-0.611940298507463	<2	2250000.5	299999	ER+ High	DCIS
chr2	-0.164179104477612	<2	2325000.5	349999	ER+ High	DCIS
chr8	-0.582089552238806	<2	2450000.5	99999	ER+ High	DCIS
chr20	-0.0447761194029851	<2	1475000.5	2149999	ER+ High	DCIS
chr1	-0.17910447761194	<2	1925000.5	1249999	ER+ High	DCIS
chr1	-0.194029850746269	<2	2575000.5	49999	ER+ High	DCIS
chr17	-0.656716417910448	<2	2375000.5	549999	ER+ High	DCIS
chr1	-0.194029850746269	<2	2625000.5	49999	ER+ High	DCIS
chr20	-0.0298507462686567	<2	2625000.5	149999	ER+ High	DCIS
chr6	-0.0597014925373134	<2	2200000.5	1099999	ER+ High	DCIS
chr7	-0.0597014925373134	<2	2500000.5	499999	ER+ High	DCIS
chr5	-0.0149253731343284	<2	2450000.5	699999	ER+ High	DCIS
chr11	-0.238805970149254	<2	2600000.5	399999	ER+ High	DCIS
chr1	-0.194029850746269	<2	2725000.5	149999	ER+ High	DCIS
chr7	-0.0746268656716418	<2	2800000.5	99999	ER+ High	DCIS
chr1	-0.194029850746269	<2	2825000.5	49999	ER+ High	DCIS
chr3	-0.208955223880597	<2	2125000.5	1549999	ER+ High	DCIS
chr19	-0.0895522388059701	<2	2600000.5	599999	ER+ High	DCIS
chr4	-0.0895522388059701	<2	2600000.5	599999	ER+ High	DCIS
chr17	-0.671641791044776	<2	2775000.5	249999	ER+ High	DCIS
chr7	-0.0746268656716418	<2	2875000.5	49999	ER+ High	DCIS
chr10	-0.0597014925373134	<2	2425000.5	1049999	ER+ High	DCIS
chr2	-0.164179104477612	<2	2750000.5	499999	ER+ High	DCIS
chr10	-0.0597014925373134	<2	3000000.5	99999	ER+ High	DCIS
chr10	-0.0597014925373134	<2	3075000.5	49999	ER+ High	DCIS
chr16	-0.0149253731343284	<2	2725000.5	849999	ER+ High	DCIS
chr10	-0.0597014925373134	<2	3125000.5	49999	ER+ High	DCIS
chr2	-0.149253731343284	<2	3100000.5	199999	ER+ High	DCIS
chr18	-0.149253731343284	<2	2575000.5	1349999	ER+ High	DCIS
chr19	-0.104477611940299	<2	3075000.5	349999	ER+ High	DCIS
chr3	-0.208955223880597	<2	3125000.5	449999	ER+ High	DCIS
chr10	-0.0895522388059701	<2	3250000.5	199999	ER+ High	DCIS
chr16	-0.0149253731343284	<2	3250000.5	199999	ER+ High	DCIS
chr2	-0.149253731343284	<2	3275000.5	149999	ER+ High	DCIS
chr12	-0.104477611940299	<2	1925000.5	2949999	ER+ High	DCIS
chr4	-0.0895522388059701	<2	3150000.5	499999	ER+ High	DCIS
chr16	-0.0149253731343284	<2	3400000.5	99999	ER+ High	DCIS
chr1	-0.194029850746269	<2	3200000.5	699999	ER+ High	DCIS
chr19	-0.0895522388059701	<2	3400000.5	299999	ER+ High	DCIS
chr4	-0.0895522388059701	<2	3475000.5	149999	ER+ High	DCIS
chr16	-0.0149253731343284	<2	3500000.5	99999	ER+ High	DCIS
chr17	-0.686567164179104	<2	3250000.5	699999	ER+ High	DCIS
chr2	-0.149253731343284	<2	3500000.5	299999	ER+ High	DCIS
chr1	-0.208955223880597	<2	3600000.5	99999	ER+ High	DCIS
chr6	-0.0746268656716418	<2	3225000.5	949999	ER+ High	DCIS
chr10	-0.0895522388059701	<2	3525000.5	349999	ER+ High	DCIS
chr7	-0.0746268656716418	<2	3325000.5	849999	ER+ High	DCIS
chr2	-0.149253731343284	<2	3700000.5	99999	ER+ High	DCIS
chr1	-0.208955223880597	<2	3725000.5	149999	ER+ High	DCIS
chr10	-0.0895522388059701	<2	3775000.5	149999	ER+ High	DCIS
chr1	-0.208955223880597	<2	3825000.5	49999	ER+ High	DCIS
chr11	-0.253731343283582	<2	3350000.5	1099999	ER+ High	DCIS
chr12	-0.0895522388059701	<2	3650000.5	499999	ER+ High	DCIS
chr7	-0.0746268656716418	<2	3825000.5	149999	ER+ High	DCIS
chr1	-0.208955223880597	<2	3875000.5	49999	ER+ High	DCIS
chr10	-0.0746268656716418	<2	3875000.5	49999	ER+ High	DCIS
chr19	-0.0746268656716418	<2	3750000.5	399999	ER+ High	DCIS
chr1	-0.208955223880597	<2	3925000.5	49999	ER+ High	DCIS
chr12	-0.0895522388059701	<2	3925000.5	49999	ER+ High	DCIS
chr8	-0.597014925373134	<2	3275000.5	1549999	ER+ High	DCIS
chr20	-0.0298507462686567	<2	3375000.5	1349999	ER+ High	DCIS
chr20	-0.0298507462686567	<2	4100000.5	99999	ER+ High	DCIS
chr3	-0.208955223880597	<2	3775000.5	849999	ER+ High	DCIS
chr2	-0.149253731343284	<2	3975000.5	449999	ER+ High	DCIS
chr16	-0.0149253731343284	<2	3900000.5	699999	ER+ High	DCIS
chr4	-0.0895522388059701	<2	3900000.5	699999	ER+ High	DCIS
chr6	-0.0597014925373134	<2	3975000.5	549999	ER+ High	DCIS
chr19	-0.0746268656716418	<2	4100000.5	299999	ER+ High	DCIS
chr3	-0.208955223880597	<2	4225000.5	49999	ER+ High	DCIS
chr12	-0.0895522388059701	<2	4125000.5	349999	ER+ High	DCIS
chr6	-0.0597014925373134	<2	4275000.5	49999	ER+ High	DCIS
chr18	-0.149253731343284	<2	3825000.5	1149999	ER+ High	DCIS
chr17	-0.701492537313433	<2	4000000.5	799999	ER+ High	DCIS
chr1	-0.208955223880597	<2	4175000.5	449999	ER+ High	DCIS
chr16	-0.0149253731343284	<2	4325000.5	149999	ER+ High	DCIS
chr3	-0.253731343283582	<2	4325000.5	149999	ER+ High	DCIS
chr5	-0.0149253731343284	<2	3625000.5	1649999	ER+ High	DCIS
chr11	-0.238805970149254	<2	4175000.5	549999	ER+ High	DCIS
chr1	-0.223880597014925	<2	4425000.5	49999	ER+ High	DCIS
chr3	-0.26865671641791	<2	4425000.5	49999	ER+ High	DCIS
chr7	-0.0746268656716418	<2	4225000.5	649999	ER+ High	DCIS
chr18	-0.164179104477612	<2	4475000.5	149999	ER+ High	DCIS
chr9	-0.373134328358209	<2	2400000.5	4399999	ER+ High	DCIS
chr10	-0.0597014925373134	<2	4250000.5	699999	ER+ High	DCIS
chr8	-0.611940298507463	<2	4325000.5	549999	ER+ High	DCIS
chr7	-0.0746268656716418	<2	4575000.5	49999	ER+ High	DCIS
chr3	-0.26865671641791	<2	4550000.5	199999	ER+ High	DCIS
chr7	-0.0746268656716418	<2	4625000.5	49999	ER+ High	DCIS
chr16	-0.0149253731343284	<2	4575000.5	349999	ER+ High	DCIS
chr20	-0.0298507462686567	<2	4475000.5	649999	ER+ High	DCIS
chr10	-0.0597014925373134	<2	4700000.5	199999	ER+ High	DCIS
chr3	-0.283582089552239	<2	4725000.5	149999	ER+ High	DCIS
chr12	-0.104477611940299	<2	4600000.5	599999	ER+ High	DCIS
chr11	-0.238805970149254	<2	4675000.5	449999	ER+ High	DCIS
chr16	-0.0149253731343284	<2	4825000.5	149999	ER+ High	DCIS
chr19	-0.0746268656716418	<2	4600000.5	699999	ER+ High	DCIS
chr20	-0.0298507462686567	<2	4875000.5	149999	ER+ High	DCIS
chr16	-0.0149253731343284	<2	4925000.5	49999	ER+ High	DCIS
chr2	-0.149253731343284	<2	4600000.5	799999	ER+ High	DCIS
chr3	-0.298507462686567	<2	4900000.5	199999	ER+ High	DCIS
chr16	-0.0298507462686567	<2	4975000.5	49999	ER+ High	DCIS
chr3	-0.283582089552239	<2	5025000.5	49999	ER+ High	DCIS
chr3	-0.283582089552239	<2	5075000.5	49999	ER+ High	DCIS
