sample_name,amplicon_number,feature,gene,gene_cn,truncated,Ensembl_ID,Alias,gencode_seqnames_hg19,gencode_start_hg19,gencode_end_hg19,Cytoband_hg19,IC,amplicon_decomposition_class,ecDNA+,BFB+,ecDNA_amplicons
CURTIS_H000393,amplicon1,ecDNA_1,APPBP2,7.45466168236,None,ENSG00000062725,,chr17,58520510,58603580,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000393,amplicon1,ecDNA_1,CA4,4.16064539361,None,,,chr17,58227297,58248260,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000393,amplicon1,ecDNA_1,HEATR6,4.97046350672,None,ENSG00000068097,,chr17,58120555,58156292,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000393,amplicon1,ecDNA_1,PPM1D,8.17661046212,None,ENSG00000170836,,chr17,58677544,58743641,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000393,amplicon1,ecDNA_1,RNFT1,4.7637197468400005,None,ENSG00000189050,,chr17,58029601,58042122,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000393,amplicon1,ecDNA_1,RPS6KB1,4.7637197468400005,None,ENSG00000108443,,chr17,57970407,58027925,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000393,amplicon1,ecDNA_1,TMEM49,4.88514701198,5p,ENSG00000062716,VMP1,chr17,57784553,57919616,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000393,amplicon1,ecDNA_1,TUBD1,4.7637197468400005,None,ENSG00000108423,,chr17,57936843,57970306,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000393,amplicon1,ecDNA_1,USP32,5.61427657329,None,ENSG00000170832,,chr17,58256455,58499831,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000502,amplicon1,unknown_1,APPBP2,7.23251663768,None,ENSG00000062725,,chr17,58520510,58603580,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000502,amplicon1,unknown_1,CA4,7.23251663768,None,,,chr17,58227297,58248260,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000502,amplicon1,unknown_1,CCDC45,6.817865794689999,None,ENSG00000141325,CEP95,chr17,62502706,62538579,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000502,amplicon1,unknown_1,CCDC47,5.95755618747,None,ENSG00000108588,,chr17,61822610,61853711,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000502,amplicon1,unknown_1,CD79B,5.95755618747,None,,,chr17,62006100,62009714,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000502,amplicon1,unknown_1,CLTC,7.29494624616,None,ENSG00000141367,,chr17,57697050,57774317,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000502,amplicon1,unknown_1,CYB561,5.95755618747,None,ENSG00000008283,,chr17,61509665,61523739,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000502,amplicon1,unknown_1,DDX42,5.95755618747,None,ENSG00000198231,,chr17,61850963,61896677,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000502,amplicon1,unknown_1,DHX40,7.29494624616,None,ENSG00000108406,,chr17,57642886,57685706,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000502,amplicon1,unknown_1,FTSJ3,5.95755618747,None,ENSG00000108592,,chr17,61896793,61907372,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000502,amplicon1,unknown_1,HEATR6,7.23251663768,None,ENSG00000068097,,chr17,58120555,58156292,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000502,amplicon1,unknown_1,INTS2,3.2261084949199996,None,ENSG00000108506,,chr17,59942728,60005377,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000502,amplicon1,unknown_1,MED13,5.32511260409,None,ENSG00000108510,,chr17,60019966,60142643,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000502,amplicon1,unknown_1,POLG2,6.817865794689999,None,ENSG00000136480,,chr17,62473902,62493154,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000502,amplicon1,unknown_1,PPM1D,7.23251663768,None,ENSG00000170836,,chr17,58677544,58743641,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000502,amplicon1,unknown_1,PTRH2,7.29494624616,None,ENSG00000214225,,chr17,57751997,57784987,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000502,amplicon1,unknown_1,RNFT1,7.29494624616,None,ENSG00000189050,,chr17,58029601,58042122,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000502,amplicon1,unknown_1,RPS6KB1,7.29494624616,None,ENSG00000108443,,chr17,57970407,58027925,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000502,amplicon1,unknown_1,SMARCD2,5.95755618747,None,ENSG00000108604,,chr17,61909441,61920425,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000502,amplicon1,unknown_1,STRADA,5.95755618747,None,ENSG00000125695,,chr17,61759696,61819346,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000502,amplicon1,unknown_1,TLK2,5.32511260409,None,ENSG00000146872,,chr17,60536019,60692842,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000502,amplicon1,unknown_1,TMEM49,7.29494624616,None,ENSG00000062716,VMP1,chr17,57784553,57919616,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000502,amplicon1,unknown_1,TUBD1,7.29494624616,None,ENSG00000108423,,chr17,57936843,57970306,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000502,amplicon1,unknown_1,USP32,7.23251663768,None,ENSG00000170832,,chr17,58256455,58499831,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000518,amplicon1,ecDNA_1,ACER3,8.02075065718,None,ENSG00000078124,,chr11,76571911,76737841,11q13,IC2,Cyclic,Positive,None detected,1
CURTIS_H000518,amplicon1,ecDNA_1,UVRAG,11.4220857445,None,ENSG00000198382,,chr11,75526212,75854239,11q13,IC2,Cyclic,Positive,None detected,1
CURTIS_H000520,amplicon1,unknown_1,FGF4,1.46484553134,None,,,chr11,69585784,69590171,11q13,IC2,Cyclic,Positive,None detected,1
CURTIS_H000524,amplicon3,ecDNA_3,APPBP2,34.6739692366,5p,ENSG00000062725,,chr17,58520510,58603580,17q23,IC1,Cyclic,Positive,None detected,3
CURTIS_H000524,amplicon3,ecDNA_3,CA4,34.592636059600004,None,,,chr17,58227297,58248260,17q23,IC1,Cyclic,Positive,None detected,3
CURTIS_H000524,amplicon3,ecDNA_3,CLTC,15.8808786303,None,ENSG00000141367,,chr17,57697050,57774317,17q23,IC1,Cyclic,Positive,None detected,3
CURTIS_H000524,amplicon3,ecDNA_3,DHX40,15.0321488555,None,ENSG00000108406,,chr17,57642886,57685706,17q23,IC1,Cyclic,Positive,None detected,3
CURTIS_H000524,amplicon3,ecDNA_3,HEATR6,45.65515906,None,ENSG00000068097,,chr17,58120555,58156292,17q23,IC1,Cyclic,Positive,None detected,3
CURTIS_H000524,amplicon3,ecDNA_3,PTRH2,15.8808786303,None,ENSG00000214225,,chr17,57751997,57784987,17q23,IC1,Cyclic,Positive,None detected,3
CURTIS_H000524,amplicon3,ecDNA_3,RNFT1,6.64049480201,None,ENSG00000189050,,chr17,58029601,58042122,17q23,IC1,Cyclic,Positive,None detected,3
CURTIS_H000524,amplicon3,ecDNA_3,RPS6KB1,16.0698555294,None,ENSG00000108443,,chr17,57970407,58027925,17q23,IC1,Cyclic,Positive,None detected,3
CURTIS_H000524,amplicon3,ecDNA_3,TMEM49,15.8808786303,None,ENSG00000062716,VMP1,chr17,57784553,57919616,17q23,IC1,Cyclic,Positive,None detected,3
CURTIS_H000524,amplicon3,ecDNA_3,TUBD1,16.0698555294,None,ENSG00000108423,,chr17,57936843,57970306,17q23,IC1,Cyclic,Positive,None detected,3
CURTIS_H000524,amplicon3,ecDNA_3,USP32,34.4776325806,None,ENSG00000170832,,chr17,58256455,58499831,17q23,IC1,Cyclic,Positive,None detected,3
CURTIS_H000524,amplicon3,unknown_1,CCDC45,6.499137566080001,None,ENSG00000141325,CEP95,chr17,62502706,62538579,17q23,IC1,Cyclic,Positive,None detected,3
CURTIS_H000524,amplicon3,unknown_1,CYB561,8.94115114645,None,ENSG00000008283,,chr17,61509665,61523739,17q23,IC1,Cyclic,Positive,None detected,3
CURTIS_H000524,amplicon3,unknown_1,POLG2,6.499137566080001,None,ENSG00000136480,,chr17,62473902,62493154,17q23,IC1,Cyclic,Positive,None detected,3
CURTIS_H000524,amplicon3,unknown_1,TLK2,6.42237907834,None,ENSG00000146872,,chr17,60536019,60692842,17q23,IC1,Cyclic,Positive,None detected,3
CURTIS_H000587,amplicon1,unknown_1,APPBP2,6.715243812740001,None,ENSG00000062725,,chr17,58520510,58603580,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000587,amplicon1,unknown_1,CA4,5.5767374182800005,None,,,chr17,58227297,58248260,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000587,amplicon1,unknown_1,CCDC45,6.78710519207,None,ENSG00000141325,CEP95,chr17,62502706,62538579,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000587,amplicon1,unknown_1,CCDC47,6.362844518509999,None,ENSG00000108588,,chr17,61822610,61853711,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000587,amplicon1,unknown_1,CD79B,6.362844518509999,None,,,chr17,62006100,62009714,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000587,amplicon1,unknown_1,CLTC,6.058920119500001,None,ENSG00000141367,,chr17,57697050,57774317,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000587,amplicon1,unknown_1,CYB561,5.70184396572,None,ENSG00000008283,,chr17,61509665,61523739,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000587,amplicon1,unknown_1,DDX42,6.362844518509999,None,ENSG00000198231,,chr17,61850963,61896677,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000587,amplicon1,unknown_1,DHX40,6.058920119500001,None,ENSG00000108406,,chr17,57642886,57685706,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000587,amplicon1,unknown_1,FTSJ3,6.362844518509999,None,ENSG00000108592,,chr17,61896793,61907372,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000587,amplicon1,unknown_1,HEATR6,5.5767374182800005,None,ENSG00000068097,,chr17,58120555,58156292,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H000587,amplicon1,unknown_1,INTS2,6.77354736028,None,ENSG00000108506,,chr17,59942728,60005377,17q23,IC1,Cyclic,Positive,None detected,1
