sample_name,amplicon_number,feature,gene,gene_cn,truncated,Ensembl_ID,Alias,gencode_seqnames_hg19,gencode_start_hg19,gencode_end_hg19,Cytoband_hg19,IC,amplicon_decomposition_class,ecDNA+,BFB+,ecDNA_amplicons
CURTIS_H004123_T01_01_WG01,amplicon1,ecDNA_1,APPBP2,8.23919821717,None,ENSG00000062725,,chr17,58520510,58603580,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H004123_T01_01_WG01,amplicon1,ecDNA_1,CA4,10.489102893,None,,,chr17,58227297,58248260,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H004123_T01_01_WG01,amplicon1,ecDNA_1,CLTC,10.8973320985,None,ENSG00000141367,,chr17,57697050,57774317,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H004123_T01_01_WG01,amplicon1,ecDNA_1,DHX40,8.06849880587,None,ENSG00000108406,,chr17,57642886,57685706,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H004123_T01_01_WG01,amplicon1,ecDNA_1,HEATR6,10.489102893,None,ENSG00000068097,,chr17,58120555,58156292,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H004123_T01_01_WG01,amplicon1,ecDNA_1,PPM1D,9.753109996810002,None,ENSG00000170836,,chr17,58677544,58743641,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H004123_T01_01_WG01,amplicon1,ecDNA_1,PTRH2,10.489102893,None,ENSG00000214225,,chr17,57751997,57784987,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H004123_T01_01_WG01,amplicon1,ecDNA_1,RNFT1,10.489102893,None,ENSG00000189050,,chr17,58029601,58042122,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H004123_T01_01_WG01,amplicon1,ecDNA_1,RPS6KB1,10.489102893,None,ENSG00000108443,,chr17,57970407,58027925,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H004123_T01_01_WG01,amplicon1,ecDNA_1,TMEM49,10.489102893,None,ENSG00000062716,VMP1,chr17,57784553,57919616,17q23,IC1,Cyclic,Positive,None detected,1
CURTIS_H004123_T01_01_WG01,amplicon1,ecDNA_1,TUBD1,10.489102893,None,ENSG00000108423,,chr17,57936843,57970306,17q23,IC1,Cyclic,Positive,None detected,1
